sim_time, unit_box_Custom?world_linear_velocity/x
0.001, 4.70127e-17
0.002, 4.86884e-16
0.003, 4.06565e-18
0.004, 6.37033e-18
0.005, 2.81304e-18
0.006, 6.44999e-18
0.007, 4.66906e-18
0.008, 6.52966e-18
0.009, 4.30464e-18
0.01, 6.07643e-18
0.011, 4.91722e-18
0.012, 5.09028e-18
0.013, 5.17452e-18
0.014, 5.4364e-18
0.015, 6.14238e-18
0.016, 6.40426e-18
0.017, 4.62333e-18
0.018, 5.59575e-18
0.019, 6.12408e-18
0.02, 6.1195e-18
0.021, 3.09512e-18
0.022, 5.13336e-18
0.023, 5.92814e-18
0.024, 4.0584e-18
0.025, 5.47491e-18
0.026, 3.7828e-18
0.027, 5.02167e-18
0.028, 4.21773e-18
0.029, 6.61124e-18
0.03, 3.40921e-18
0.031, 6.86852e-18
0.032, 5.0876e-18
0.033, 5.26066e-18
0.034, 4.90082e-18
0.035, 4.18571e-18
0.036, 7.0233e-18
0.037, 5.33118e-18
0.038, 5.68188e-18
0.039, 3.90094e-18
0.04, 5.76155e-18
0.041, 4.77997e-18
0.042, 5.21948e-18
0.043, 6.28072e-18
0.044, 4.94387e-18
0.045, 4.58403e-18
0.046, 3.15837e-18
0.047, 5.99596e-18
0.048, 6.87956e-18
0.049, 4.29928e-18
0.05, 5.80459e-18
0.051, 5.00065e-18
0.052, 3.93026e-18
0.053, 5.5244e-18
0.054, 5.16456e-18
0.055, 4.36064e-18
0.056, 6.75414e-18
0.057, 3.64094e-18
0.058, 5.14627e-18
0.059, 5.49697e-18
0.06, 4.95948e-18
0.061, 5.13254e-18
0.062, 5.39442e-18
0.063, 5.56747e-18
0.064, 6.18462e-18
0.065, 4.22606e-18
0.066, 4.66558e-18
0.067, 4.74982e-18
0.068, 4.83406e-18
0.069, 5.36239e-18
0.07, 4.55845e-18
0.071, 4.82033e-18
0.072, 4.0164e-18
0.073, 7.03163e-18
0.074, 4.7178e-18
0.075, 5.42376e-18
0.076, 5.24156e-18
0.077, 5.76989e-18
0.078, 5.58768e-18
0.079, 3.27385e-18
0.08, 4.4239e-18
0.081, 6.2845e-18
0.082, 2.90484e-18
0.083, 6.89707e-18
0.084, 5.38259e-18
0.085, 5.82211e-18
0.086, 5.01816e-18
0.087, 5.36886e-18
0.088, 5.00901e-18
0.089, 3.67217e-18
0.09, 5.7104e-18
0.091, 4.64001e-18
0.092, 3.65845e-18
0.093, 5.7855e-18
0.094, 5.6921e-18
0.095, 3.99999e-18
0.096, 5.41651e-18
0.097, 3.99085e-18
0.098, 5.67382e-18
0.099, 4.78107e-18
0.1, 4.42122e-18
0.101, 5.83773e-18
0.102, 4.85615e-18
0.103, 3.25286e-18
0.104, 5.37991e-18
0.105, 5.64179e-18
0.106, 5.63721e-18
0.107, 4.03392e-18
0.108, 5.89451e-18
0.109, 4.46885e-18
0.11, 3.13201e-18
0.111, 6.76898e-18
0.112, 4.18868e-18
0.113, 6.31573e-18
0.114, 3.29135e-18
0.115, 6.04012e-18
0.116, 6.21318e-18
0.117, 6.20861e-18
0.118, 4.42767e-18
0.119, 5.84419e-18
0.12, 6.10606e-18
0.121, 4.6804e-18
0.122, 4.67583e-18
0.123, 5.55943e-18
0.124, 5.91012e-18
0.125, 5.81673e-18
0.126, 4.47988e-18
0.127, 4.20886e-18
0.128, 7.13527e-18
0.129, 4.02208e-18
0.13, 6.23795e-18
0.131, 2.68067e-18
0.132, 6.67289e-18
0.133, 6.75712e-18
0.134, 4.97619e-18
0.135, 4.17225e-18
0.136, 6.83221e-18
0.137, 3.54138e-18
0.138, 4.06971e-18
0.139, 5.04214e-18
0.14, 5.12638e-18
0.141, 4.14482e-18
0.142, 6.71595e-18
0.143, 3.06985e-18
0.144, 5.10808e-18
0.145, 4.92587e-18
0.146, 5.54302e-18
0.147, 5.53845e-18
0.148, 5.80032e-18
0.149, 5.79575e-18
0.15, 4.9918e-18
0.151, 2.41152e-18
0.152, 7.64719e-18
0.153, 5.33335e-18
0.154, 5.9505e-18
0.155, 5.14656e-18
0.156, 3.80972e-18
0.157, 5.67032e-18
0.158, 4.68875e-18
0.159, 4.86182e-18
0.16, 3.88025e-18
0.161, 6.45139e-18
0.162, 3.51584e-18
0.163, 6.97515e-18
0.164, 4.57249e-18
0.165, 4.21264e-18
0.166, 6.42851e-18
0.167, 4.02586e-18
0.168, 5.70883e-18
0.169, 4.72725e-18
0.17, 4.10096e-18
0.171, 6.31683e-18
0.172, 4.26945e-18
0.173, 5.95242e-18
0.174, 4.97085e-18
0.175, 5.23273e-18
0.176, 4.87289e-18
0.177, 6.11177e-18
0.178, 5.04138e-18
0.179, 3.61571e-18
0.18, 6.4533e-18
0.181, 4.13947e-18
0.182, 6.17771e-18
0.183, 5.81786e-18
0.184, 4.21456e-18
0.185, 5.09817e-18
0.186, 3.05078e-18
0.187, 5.79956e-18
0.188, 6.06144e-18
0.189, 4.81342e-18
0.19, 4.80884e-18
0.191, 4.71545e-18
0.192, 5.3326e-18
0.193, 5.6833e-18
0.194, 6.30045e-18
0.195, 2.4767e-18
0.196, 7.53475e-18
0.197, 4.42156e-18
0.198, 5.30516e-18
0.199, 4.50121e-18
0.2, 4.23018e-18
0.201, 6.62369e-18
0.202, 2.26704e-18
0.203, 6.34808e-18
0.204, 3.94542e-18
0.205, 5.62839e-18
0.206, 6.512e-18
0.207, 3.48762e-18
0.208, 4.63767e-18
0.209, 4.18901e-18
0.21, 6.67132e-18
0.211, 4.35748e-18
0.212, 6.57335e-18
0.213, 3.72662e-18
0.214, 5.14313e-18
0.215, 4.51683e-18
0.216, 4.95634e-18
0.217, 5.04059e-18
0.218, 4.05901e-18
0.219, 6.45252e-18
0.22, 3.87223e-18
0.221, 6.17692e-18
0.222, 5.4618e-18
0.223, 5.45722e-18
0.224, 3.6763e-18
0.225, 5.80335e-18
0.226, 4.73296e-18
0.227, 4.99484e-18
0.228, 5.25672e-18
0.229, 4.27515e-18
0.23, 6.04694e-18
0.231, 5.95355e-18
0.232, 5.50488e-18
0.233, 5.14504e-18
0.234, 3.36411e-18
0.235, 5.40235e-18
0.236, 5.93069e-18
0.237, 5.9261e-18
0.238, 4.7669e-18
0.239, 5.02877e-18
0.24, 5.20183e-18
0.241, 4.48672e-18
0.242, 5.37033e-18
0.243, 6.25393e-18
0.244, 5.18355e-18
0.245, 5.71188e-18
0.246, 5.1744e-18
0.247, 5.61391e-18
0.248, 4.80998e-18
0.249, 5.07184e-18
0.25, 5.24491e-18
0.251, 3.90807e-18
0.252, 6.74566e-18
0.253, 4.25418e-18
0.254, 7.00296e-18
0.255, 4.6003e-18
0.256, 3.88518e-18
0.257, 7.69978e-18
0.258, 4.85302e-18
0.259, 3.69382e-18
0.26, 5.90969e-18
0.261, 5.90511e-18
0.262, 3.7689e-18
0.263, 4.91896e-18
0.264, 4.38148e-18
0.265, 7.75198e-18
0.266, 3.92825e-18
0.267, 5.61121e-18
0.268, 4.80727e-18
0.269, 5.06915e-18
0.27, 5.6863e-18
0.271, 5.94818e-18
0.272, 6.21005e-18
0.273, 5.3173e-18
0.274, 5.04627e-18
0.275, 4.15352e-18
0.276, 6.72466e-18
0.277, 2.98974e-18
0.278, 5.6497e-18
0.279, 5.0234e-18
0.28, 5.46291e-18
0.281, 5.8136e-18
0.282, 4.56557e-18
0.283, 4.82745e-18
0.284, 5.08933e-18
0.285, 6.15057e-18
0.286, 6.146e-18
0.287, 5.34205e-18
0.288, 4.9822e-18
0.289, 4.00064e-18
0.29, 6.92706e-18
0.291, 3.99148e-18
0.292, 5.31918e-18
0.293, 5.75869e-18
0.294, 4.51067e-18
0.295, 3.70674e-18
0.296, 7.25488e-18
0.297, 5.29631e-18
0.298, 5.73583e-18
0.299, 5.19835e-18
0.3, 3.8615e-18
0.301, 6.07737e-18
0.302, 4.20762e-18
0.303, 5.09123e-18
0.304, 3.39912e-18
0.305, 6.14789e-18
0.306, 5.78805e-18
0.307, 4.36239e-18
0.308, 6.22298e-18
0.309, 5.24141e-18
0.31, 4.88156e-18
0.311, 5.14343e-18
0.312, 4.87241e-18
0.313, 4.77901e-18
