sim_time, unit_box_Custom?world_angular_velocity/y
0.245, 1.14058e-17
0.246, 1.03308e-17
0.247, 1.12099e-17
0.248, 9.60201e-18
0.249, 1.01257e-17
0.25, 1.04719e-17
0.251, 7.79818e-18
0.252, 1.34733e-17
0.253, 8.49042e-18
0.254, 1.3988e-17
0.255, 9.18264e-18
0.256, 7.75241e-18
0.257, 1.53816e-17
0.258, 9.6881e-18
0.259, 7.36967e-18
0.26, 1.18014e-17
0.261, 1.17922e-17
0.262, 7.51985e-18
0.263, 9.81998e-18
0.264, 8.745e-18
0.265, 1.5486e-17
0.266, 7.83854e-18
0.267, 1.12045e-17
0.268, 9.5966e-18
0.269, 1.01204e-17
0.27, 1.13547e-17
0.271, 1.18784e-17
0.272, 1.24022e-17
0.273, 1.06167e-17
0.274, 1.00746e-17
0.275, 8.28908e-18
0.276, 1.34314e-17
0.277, 5.96152e-18
0.278, 1.12814e-17
0.279, 1.00288e-17
0.28, 1.09079e-17
0.281, 1.16092e-17
0.282, 9.1132e-18
0.283, 9.63696e-18
0.284, 1.01607e-17
0.285, 1.22832e-17
0.286, 1.2274e-17
0.287, 1.06662e-17
0.288, 9.94647e-18
0.289, 7.98331e-18
0.29, 1.38361e-17
0.291, 7.96502e-18
0.292, 1.06204e-17
0.293, 1.14994e-17
0.294, 9.00338e-18
0.295, 7.39553e-18
0.296, 1.44918e-17
0.297, 1.05747e-17
0.298, 1.14537e-17
0.299, 1.03787e-17
0.3, 7.70505e-18
0.301, 1.21368e-17
0.302, 8.39731e-18
0.303, 1.01645e-17
0.304, 6.78026e-18
0.305, 1.22778e-17
0.306, 1.15581e-17
0.307, 8.70681e-18
0.308, 1.2428e-17
0.309, 1.04649e-17
0.31, 9.74519e-18
0.311, 1.02689e-17
0.312, 9.72687e-18
0.313, 9.54008e-18
0.314, 8.64275e-18
0.315, 1.36074e-17
0.316, 8.97973e-18
0.317, 1.2168e-17
0.318, 1.12707e-17
0.319, 1.01957e-17
0.32, 8.58783e-18
0.321, 1.49736e-17
0.322, 8.74717e-18
0.323, 1.12249e-17
0.324, 1.13934e-17
0.325, 9.43028e-18
0.326, 8.88821e-18
0.327, 1.01225e-17
0.328, 9.40283e-18
0.329, 9.92658e-18
0.33, 1.15161e-17
0.331, 7.95428e-18
0.332, 1.27413e-17
0.333, 6.87016e-18
0.334, 1.13019e-17
0.335, 1.07598e-17
0.336, 8.79671e-18
0.337, 1.23403e-17
0.338, 9.48894e-18
0.339, 6.10472e-18
0.34, 9.47066e-18
0.341, 1.12379e-17
0.342, 1.21169e-17
0.343, 1.35288e-17
0.344, 6.59188e-18
0.345, 9.95781e-18
0.346, 9.41574e-18
0.347, 1.11829e-17
0.348, 1.17067e-17
0.349, 1.02765e-17
0.35, 9.55678e-18
0.351, 1.09687e-17
0.352, 9.89375e-18
0.353, 8.9964e-18
0.354, 1.16518e-17
0.355, 1.1465e-17
0.356, 9.67952e-18
0.357, 7.71638e-18
0.358, 1.23258e-17
0.359, 1.28495e-17
0.36, 7.33363e-18
0.361, 1.24759e-17
0.362, 9.80223e-18
0.363, 1.0326e-17
0.364, 9.42866e-18
0.365, 9.59715e-18
0.366, 9.41036e-18
0.367, 1.18881e-17
0.368, 1.27671e-17
0.369, 5.65252e-18
0.37, 1.32817e-17
0.371, 9.5422e-18
0.372, 8.11194e-18
0.373, 1.21884e-17
0.374, 1.07582e-17
0.375, 8.43978e-18
0.376, 1.3582e-17
0.377, 8.06618e-18
0.378, 1.24979e-17
0.379, 7.33733e-18
0.38, 1.05256e-17
0.381, 1.01612e-17
0.382, 8.19806e-18
0.383, 1.19193e-17
0.384, 8.17977e-18
0.385, 1.11904e-17
0.386, 9.2273e-18
0.387, 8.68525e-18
0.388, 1.25841e-17
0.389, 6.18003e-18
0.39, 1.2921e-17
0.391, 1.13132e-17
0.392, 1.14817e-17
0.393, 8.27504e-18
0.394, 1.1641e-17
0.395, 1.02108e-17
0.396, 1.07345e-17
0.397, 9.48189e-18
0.398, 7.34112e-18
0.399, 1.31939e-17
0.4, 8.03335e-18
0.401, 1.03335e-17
0.402, 8.37033e-18
0.403, 1.22692e-17
0.404, 1.0306e-17
0.405, 6.74418e-18
0.406, 1.17088e-17
0.407, 9.03517e-18
0.408, 9.73654e-18
0.409, 9.54976e-18
0.41, 1.06064e-17
0.411, 1.13078e-17
0.412, 1.11211e-17
0.413, 1.07566e-17
0.414, 1.07475e-17
0.415, 9.85016e-18
0.416, 9.13046e-18
0.417, 7.34497e-18
0.418, 1.37307e-17
0.419, 8.57013e-18
0.42, 1.30019e-17
0.421, 8.37418e-18
0.422, 1.38717e-17
0.423, 6.40188e-18
0.424, 1.261e-17
0.425, 1.26008e-17
0.426, 7.97316e-18
0.427, 1.29378e-17
0.428, 8.843e-18
0.429, 1.23866e-17
0.43, 1.16669e-17
0.431, 9.52611e-18
0.432, 7.91822e-18
0.433, 1.09289e-17
0.434, 8.43284e-18
0.435, 1.0733e-17
0.436, 9.65801e-18
0.437, 8.22776e-18
0.438, 1.23042e-17
0.439, 9.27528e-18
0.44, 7.48978e-18
0.441, 1.26321e-17
0.442, 9.78073e-18
0.443, 9.59395e-18
0.444, 1.13612e-17
0.445, 1.22402e-17
0.446, 1.22311e-17
0.447, 8.84678e-18
0.448, 8.12711e-18
0.449, 9.89434e-18
0.45, 8.4641e-18
0.451, 1.27182e-17
0.452, 7.55763e-18
0.453, 1.11012e-17
0.454, 1.03815e-17
0.455, 1.14382e-17
0.456, 1.07185e-17
0.457, 8.75534e-18
0.458, 1.01673e-17
0.459, 1.0691e-17
0.46, 1.12148e-17
0.461, 1.04951e-17
0.462, 8.35432e-18
0.463, 1.06544e-17
0.464, 1.029e-17
0.465, 1.04585e-17
0.466, 1.04494e-17
0.467, 1.02626e-17
0.468, 1.09639e-17
0.469, 1.23759e-17
0.47, 9.70221e-18
0.471, 6.8509e-18
0.472, 1.28813e-17
0.473, 7.72076e-18
0.474, 1.17972e-17
0.475, 1.30315e-17
0.476, 9.11439e-18
0.477, 1.01711e-17
0.478, 1.06948e-17
0.479, 8.19876e-18
0.48, 1.17423e-17
0.481, 1.12002e-17
0.482, 8.52655e-18
0.483, 1.15372e-17
0.484, 9.92932e-18
0.485, 7.07801e-18
0.486, 9.91102e-18
0.487, 9.90188e-18
0.488, 1.09586e-17
0.489, 1.29034e-17
0.49, 1.07626e-17
0.491, 8.97711e-18
0.492, 1.05667e-17
0.493, 1.33997e-17
0.494, 8.94966e-18
0.495, 9.65105e-18
0.496, 1.12406e-17
0.497, 1.1942e-17
0.498, 1.15776e-17
0.499, 8.01577e-18
0.5, 1.15593e-17
0.501, 9.41854e-18
0.502, 1.11857e-17
0.503, 1.01108e-17
0.504, 1.11674e-17
0.505, 9.38194e-18
0.506, 7.59645e-18
0.507, 1.43375e-17
0.508, 7.75581e-18
0.509, 1.20099e-17
0.51, 1.11126e-17
0.511, 8.08362e-18
0.512, 1.18048e-17
0.513, 1.17957e-17
0.514, 7.52324e-18
0.515, 9.82337e-18
0.516, 9.10369e-18
0.517, 1.1759e-17
0.518, 1.1217e-17
0.519, 1.0142e-17
0.52, 9.59996e-18
0.521, 1.0479e-17
0.522, 1.3312e-17
0.523, 8.86199e-18
0.524, 1.13397e-17
0.525, 1.07976e-17
0.526, 1.07885e-17
0.527, 9.35824e-18
0.528, 8.28327e-18
0.529, 1.21821e-17
0.53, 1.14624e-17
0.531, 7.18997e-18
0.532, 9.13482e-18
0.533, 1.00138e-17
0.534, 1.036e-17
0.535, 1.15943e-17
0.536, 9.4535e-18
