sim_time, unit_box_Custom?world_pose/orientation/roll
0.001, -3.64236e-19
0.002, -6.41845e-19
0.003, -6.38532e-19
0.004, -6.40198e-19
0.005, -6.45606e-19
0.006, -6.39305e-19
0.007, -6.44387e-19
0.008, -6.42646e-19
0.009, -6.40202e-19
0.01, -6.39646e-19
0.011, -6.44255e-19
0.012, -6.39821e-19
0.013, -6.40552e-19
0.014, -6.45545e-19
0.015, -6.40419e-19
0.016, -6.44285e-19
0.017, -6.46211e-19
0.018, -6.40948e-19
0.019, -6.44848e-19
0.02, -6.41829e-19
0.021, -6.44677e-19
0.022, -6.43273e-19
0.023, -6.43466e-19
0.024, -6.42438e-19
0.025, -6.4028e-19
0.026, -6.41417e-19
0.027, -6.4e-19
0.028, -6.42338e-19
0.029, -6.40422e-19
0.03, -6.39583e-19
0.031, -6.4567e-19
0.032, -6.45634e-19
0.033, -6.44821e-19
0.034, -6.41624e-19
0.035, -6.43229e-19
0.036, -6.46002e-19
0.037, -6.41413e-19
0.038, -6.44467e-19
0.039, -6.44062e-19
0.04, -6.40644e-19
0.041, -6.44519e-19
0.042, -6.42903e-19
0.043, -6.45024e-19
0.044, -6.42815e-19
0.045, -6.4044e-19
0.046, -6.42328e-19
0.047, -6.46086e-19
0.048, -6.43276e-19
0.049, -6.40117e-19
0.05, -6.4151e-19
0.051, -6.44072e-19
0.052, -6.42552e-19
0.053, -6.43979e-19
0.054, -6.45592e-19
0.055, -6.45078e-19
0.056, -6.40663e-19
0.057, -6.46128e-19
0.058, -6.44768e-19
0.059, -6.40581e-19
0.06, -6.44573e-19
0.061, -6.46012e-19
0.062, -6.39294e-19
0.063, -6.41295e-19
0.064, -6.3993e-19
0.065, -6.40879e-19
0.066, -6.47695e-19
0.067, -6.41744e-19
0.068, -6.42735e-19
0.069, -6.44086e-19
0.07, -6.40833e-19
0.071, -6.41763e-19
0.072, -6.44564e-19
0.073, -6.39909e-19
0.074, -6.4423e-19
0.075, -6.45188e-19
0.076, -6.40288e-19
0.077, -6.42759e-19
0.078, -6.39201e-19
0.079, -6.38224e-19
0.08, -6.47742e-19
0.081, -6.45456e-19
0.082, -6.44597e-19
0.083, -6.39834e-19
0.084, -6.44065e-19
0.085, -6.43597e-19
0.086, -6.42779e-19
0.087, -6.40817e-19
0.088, -6.4445e-19
0.089, -6.45068e-19
0.09, -6.4578e-19
0.091, -6.43938e-19
0.092, -6.44154e-19
0.093, -6.42954e-19
0.094, -6.38021e-19
0.095, -6.44824e-19
0.096, -6.42122e-19
0.097, -6.43162e-19
0.098, -6.40025e-19
0.099, -6.38759e-19
0.1, -6.40697e-19
0.101, -6.44155e-19
0.102, -6.45658e-19
0.103, -6.43702e-19
0.104, -6.41936e-19
0.105, -6.43987e-19
0.106, -6.41247e-19
0.107, -6.43042e-19
0.108, -6.44504e-19
0.109, -6.41711e-19
0.11, -6.41234e-19
0.111, -6.42643e-19
0.112, -6.4113e-19
0.113, -6.40599e-19
0.114, -6.38481e-19
0.115, -6.43733e-19
0.116, -6.44638e-19
0.117, -6.42085e-19
0.118, -6.40958e-19
0.119, -6.43035e-19
0.12, -6.46981e-19
0.121, -6.42584e-19
0.122, -6.42279e-19
0.123, -6.46064e-19
0.124, -6.4417e-19
0.125, -6.39801e-19
0.126, -6.42802e-19
0.127, -6.41901e-19
0.128, -6.40744e-19
0.129, -6.42517e-19
0.13, -6.43496e-19
0.131, -6.44219e-19
0.132, -6.41211e-19
0.133, -6.39186e-19
0.134, -6.41251e-19
0.135, -6.4119e-19
0.136, -6.43443e-19
0.137, -6.44015e-19
0.138, -6.43348e-19
0.139, -6.41e-19
0.14, -6.42759e-19
0.141, -6.4426e-19
0.142, -6.45411e-19
0.143, -6.42659e-19
0.144, -6.41778e-19
0.145, -6.46321e-19
0.146, -6.41631e-19
0.147, -6.42365e-19
0.148, -6.4497e-19
0.149, -6.42783e-19
0.15, -6.3982e-19
0.151, -6.44687e-19
0.152, -6.40049e-19
0.153, -6.41278e-19
0.154, -6.39493e-19
0.155, -6.41354e-19
0.156, -6.44659e-19
0.157, -6.41933e-19
0.158, -6.44725e-19
0.159, -6.4645e-19
0.16, -6.42495e-19
0.161, -6.44408e-19
0.162, -6.42863e-19
0.163, -6.44521e-19
0.164, -6.41387e-19
0.165, -6.44565e-19
0.166, -6.44824e-19
0.167, -6.40462e-19
0.168, -6.44188e-19
0.169, -6.39127e-19
0.17, -6.43502e-19
0.171, -6.41495e-19
0.172, -6.41974e-19
0.173, -6.42991e-19
0.174, -6.4277e-19
0.175, -6.43531e-19
0.176, -6.44831e-19
0.177, -6.42244e-19
0.178, -6.41193e-19
0.179, -6.42548e-19
0.18, -6.4579e-19
0.181, -6.4213e-19
0.182, -6.44429e-19
0.183, -6.4016e-19
0.184, -6.39539e-19
0.185, -6.44785e-19
0.186, -6.40449e-19
0.187, -6.4082e-19
0.188, -6.43505e-19
0.189, -6.4719e-19
0.19, -6.39958e-19
0.191, -6.41703e-19
0.192, -6.43541e-19
0.193, -6.44603e-19
0.194, -6.40077e-19
0.195, -6.4053e-19
0.196, -6.38874e-19
0.197, -6.44509e-19
0.198, -6.41801e-19
0.199, -6.38759e-19
0.2, -6.42565e-19
0.201, -6.4158e-19
0.202, -6.41577e-19
0.203, -6.4389e-19
0.204, -6.41855e-19
0.205, -6.37694e-19
0.206, -6.44285e-19
0.207, -6.42977e-19
0.208, -6.42303e-19
0.209, -6.41893e-19
0.21, -6.42465e-19
0.211, -6.43132e-19
0.212, -6.43892e-19
0.213, -6.45636e-19
0.214, -6.417e-19
0.215, -6.4452e-19
0.216, -6.41217e-19
0.217, -6.42892e-19
0.218, -6.40316e-19
0.219, -6.38466e-19
0.22, -6.41687e-19
0.221, -6.42337e-19
0.222, -6.44857e-19
0.223, -6.4392e-19
0.224, -6.44059e-19
0.225, -6.43575e-19
0.226, -6.41426e-19
0.227, -6.42128e-19
0.228, -6.41591e-19
0.229, -6.40704e-19
0.23, -6.47906e-19
0.231, -6.45892e-19
0.232, -6.42748e-19
0.233, -6.41123e-19
0.234, -6.41368e-19
0.235, -6.40819e-19
0.236, -6.40364e-19
0.237, -6.43651e-19
0.238, -6.42318e-19
0.239, -6.44188e-19
0.24, -6.44836e-19
0.241, -6.38121e-19
0.242, -6.42159e-19
0.243, -6.42738e-19
0.244, -6.39875e-19
0.245, -6.44303e-19
0.246, -6.42608e-19
