Time,X Velocity,Y Velocity,Z Velocity,X Position,Y Position,Z Position,Roll,Yaw,Pitch,X Angular Velocity,Y Angular Velocity,Z Angular Velocity
0.001,4.70E-17,1,2.70E-11,-9.80E-14,0.001,0.5,-3.64E-19,-3.34E-22,-1.93E-18,3.89E-15,9.38E-17,1.05E-18
0.002,4.87E-16,1,2.70E-11,-9.80E-14,0.002,0.5,-6.42E-19,9.92E-23,-9.67E-19,-2.66E-16,9.74E-16,4.30E-19
0.003,4.07E-18,1,2.70E-11,-9.80E-14,0.003,0.5,-6.39E-19,5.32E-22,-9.69E-19,1.40E-17,8.11E-18,4.29E-19
0.004,6.37E-18,1,2.70E-11,-9.80E-14,0.004,0.5,-6.40E-19,9.65E-22,-9.68E-19,7.73E-18,1.27E-17,4.30E-19
0.005,2.81E-18,1,2.70E-11,-9.80E-14,0.005,0.5,-6.46E-19,1.40E-21,-9.73E-19,8.26E-18,5.61E-18,4.29E-19
0.006,6.45E-18,1,2.70E-11,-9.80E-14,0.006,0.5,-6.39E-19,1.83E-21,-9.70E-19,1.61E-17,1.29E-17,4.29E-19
0.007,4.67E-18,1,2.70E-11,-9.80E-14,0.007,0.5,-6.44E-19,2.26E-21,-9.71E-19,9.47E-18,9.32E-18,4.29E-19
0.008,6.53E-18,1,2.70E-11,-9.80E-14,0.008,0.5,-6.43E-19,2.70E-21,-9.68E-19,1.37E-17,1.30E-17,4.29E-19
0.009,4.30E-18,1,2.70E-11,-9.80E-14,0.009,0.5,-6.40E-19,3.13E-21,-9.70E-19,1.23E-17,8.59E-18,4.30E-19
0.01,6.08E-18,1,2.70E-11,-9.80E-14,0.01,0.5,-6.40E-19,3.56E-21,-9.66E-19,1.30E-17,1.21E-17,4.29E-19
0.011,4.92E-18,1,2.70E-11,-9.80E-14,0.011,0.5,-6.44E-19,4.00E-21,-9.68E-19,8.61E-18,9.82E-18,4.29E-19
0.012,5.09E-18,1,2.70E-11,-9.80E-14,0.012,0.5,-6.40E-19,4.43E-21,-9.69E-19,1.46E-17,1.02E-17,4.30E-19
0.013,5.17E-18,1,2.70E-11,-9.80E-14,0.013,0.5,-6.41E-19,4.86E-21,-9.70E-19,9.38E-18,1.03E-17,4.30E-19
