sim_time, unit_box_Custom?world_pose/orientation/pitch
0.001, -1.93011e-18
0.002, -9.66682e-19
0.003, -9.68718e-19
0.004, -9.67566e-19
0.005, -9.73174e-19
0.006, -9.69731e-19
0.007, -9.70916e-19
0.008, -9.68201e-19
0.009, -9.69582e-19
0.01, -9.65998e-19
0.011, -9.67575e-19
0.012, -9.69161e-19
0.013, -9.70045e-19
0.014, -9.69518e-19
0.015, -9.68821e-19
0.016, -9.6849e-19
0.017, -9.70654e-19
0.018, -9.68742e-19
0.019, -9.66839e-19
0.02, -9.64235e-19
0.021, -9.68745e-19
0.022, -9.68824e-19
0.023, -9.67135e-19
0.024, -9.68475e-19
0.025, -9.6645e-19
0.026, -9.67986e-19
0.027, -9.67755e-19
0.028, -9.69309e-19
0.029, -9.66432e-19
0.03, -9.71558e-19
0.031, -9.68876e-19
0.032, -9.69579e-19
0.033, -9.69581e-19
0.034, -9.69769e-19
0.035, -9.71743e-19
0.036, -9.68042e-19
0.037, -9.68435e-19
0.038, -9.66173e-19
0.039, -9.6996e-19
0.04, -9.68427e-19
0.041, -9.69745e-19
0.042, -9.70362e-19
0.043, -9.68323e-19
0.044, -9.6736e-19
0.045, -9.67649e-19
0.046, -9.71322e-19
0.047, -9.70386e-19
0.048, -9.67683e-19
0.049, -9.68186e-19
0.05, -9.66922e-19
0.051, -9.67621e-19
0.052, -9.68685e-19
0.053, -9.68869e-19
0.054, -9.69241e-19
0.055, -9.70154e-19
0.056, -9.66636e-19
0.057, -9.68633e-19
0.058, -9.68509e-19
0.059, -9.68926e-19
0.06, -9.7024e-19
0.061, -9.69432e-19
0.062, -9.68456e-19
0.063, -9.68732e-19
0.064, -9.66352e-19
0.065, -9.66469e-19
0.066, -9.67483e-19
0.067, -9.68684e-19
0.068, -9.69184e-19
0.069, -9.68271e-19
0.07, -9.69322e-19
0.071, -9.69138e-19
0.072, -9.7074e-19
0.073, -9.68621e-19
0.074, -9.69175e-19
0.075, -9.69739e-19
0.076, -9.68535e-19
0.077, -9.69117e-19
0.078, -9.65267e-19
0.079, -9.68709e-19
0.08, -9.70384e-19
0.081, -9.67272e-19
0.082, -9.72696e-19
0.083, -9.70313e-19
0.084, -9.70071e-19
0.085, -9.69127e-19
0.086, -9.68903e-19
0.087, -9.68155e-19
0.088, -9.68127e-19
0.089, -9.6953e-19
0.09, -9.68454e-19
0.091, -9.68453e-19
0.092, -9.70949e-19
0.093, -9.6919e-19
0.094, -9.67796e-19
0.095, -9.69431e-19
0.096, -9.66279e-19
0.097, -9.69175e-19
0.098, -9.67817e-19
0.099, -9.68245e-19
0.1, -9.68504e-19
0.101, -9.67174e-19
0.102, -9.67452e-19
0.103, -9.69693e-19
0.104, -9.68923e-19
0.105, -9.68162e-19
0.106, -9.66522e-19
0.107, -9.68445e-19
0.108, -9.65757e-19
0.109, -9.67165e-19
0.11, -9.70358e-19
0.111, -9.67876e-19
0.112, -9.69311e-19
0.113, -9.65781e-19
0.114, -9.69721e-19
0.115, -9.6923e-19
0.116, -9.68214e-19
0.117, -9.65432e-19
0.118, -9.67632e-19
0.119, -9.66822e-19
