sim_time, unit_box_Custom?world_pose/orientation/yaw
0.245, 1.05292e-19
0.246, 1.05725e-19
0.247, 1.06158e-19
0.248, 1.06591e-19
0.249, 1.07024e-19
0.25, 1.07457e-19
0.251, 1.0789e-19
0.252, 1.08323e-19
0.253, 1.08755e-19
0.254, 1.09188e-19
0.255, 1.09621e-19
0.256, 1.10054e-19
0.257, 1.10486e-19
0.258, 1.10919e-19
0.259, 1.11352e-19
0.26, 1.11785e-19
0.261, 1.12218e-19
0.262, 1.12651e-19
0.263, 1.13083e-19
0.264, 1.13516e-19
0.265, 1.13949e-19
0.266, 1.14382e-19
0.267, 1.14815e-19
0.268, 1.15248e-19
0.269, 1.15681e-19
0.27, 1.16114e-19
0.271, 1.16546e-19
0.272, 1.16979e-19
0.273, 1.17412e-19
0.274, 1.17845e-19
0.275, 1.18277e-19
0.276, 1.1871e-19
0.277, 1.19143e-19
0.278, 1.19577e-19
0.279, 1.20009e-19
0.28, 1.20442e-19
0.281, 1.20875e-19
0.282, 1.21308e-19
0.283, 1.21741e-19
0.284, 1.22174e-19
0.285, 1.22607e-19
0.286, 1.2304e-19
0.287, 1.23473e-19
0.288, 1.23906e-19
0.289, 1.24338e-19
0.29, 1.24771e-19
0.291, 1.25204e-19
0.292, 1.25637e-19
0.293, 1.2607e-19
0.294, 1.26503e-19
0.295, 1.26936e-19
0.296, 1.27368e-19
0.297, 1.27801e-19
0.298, 1.28234e-19
0.299, 1.28667e-19
0.3, 1.291e-19
0.301, 1.29533e-19
0.302, 1.29966e-19
0.303, 1.30399e-19
0.304, 1.30832e-19
0.305, 1.31265e-19
0.306, 1.31698e-19
0.307, 1.3213e-19
0.308, 1.32563e-19
0.309, 1.32996e-19
0.31, 1.33428e-19
0.311, 1.33861e-19
0.312, 1.34294e-19
0.313, 1.34727e-19
0.314, 1.3516e-19
0.315, 1.35593e-19
0.316, 1.36025e-19
0.317, 1.36458e-19
0.318, 1.36891e-19
0.319, 1.37324e-19
0.32, 1.37756e-19
0.321, 1.38189e-19
0.322, 1.38622e-19
0.323, 1.39055e-19
0.324, 1.39488e-19
0.325, 1.3992e-19
0.326, 1.40353e-19
0.327, 1.40786e-19
0.328, 1.41219e-19
0.329, 1.41652e-19
0.33, 1.42085e-19
0.331, 1.42517e-19
0.332, 1.4295e-19
0.333, 1.43383e-19
0.334, 1.43816e-19
0.335, 1.44249e-19
0.336, 1.44682e-19
0.337, 1.45114e-19
0.338, 1.45548e-19
0.339, 1.4598e-19
0.34, 1.46414e-19
0.341, 1.46846e-19
0.342, 1.47279e-19
0.343, 1.47712e-19
0.344, 1.48145e-19
0.345, 1.48578e-19
0.346, 1.49011e-19
0.347, 1.49444e-19
0.348, 1.49877e-19
0.349, 1.5031e-19
0.35, 1.50743e-19
0.351, 1.51176e-19
0.352, 1.51608e-19
0.353, 1.52041e-19
0.354, 1.52474e-19
0.355, 1.52907e-19
0.356, 1.5334e-19
0.357, 1.53773e-19
0.358, 1.54205e-19
0.359, 1.54638e-19
0.36, 1.55071e-19
0.361, 1.55504e-19
0.362, 1.55937e-19
0.363, 1.5637e-19
0.364, 1.56803e-19
0.365, 1.57236e-19
0.366, 1.57669e-19
0.367, 1.58102e-19
0.368, 1.58535e-19
0.369, 1.58967e-19
0.37, 1.594e-19
0.371, 1.59833e-19
0.372, 1.60266e-19
0.373, 1.60699e-19
0.374, 1.61131e-19
0.375, 1.61564e-19
0.376, 1.61997e-19
0.377, 1.6243e-19
0.378, 1.62863e-19
0.379, 1.63296e-19
0.38, 1.63728e-19
0.381, 1.64161e-19
0.382, 1.64595e-19
0.383, 1.65027e-19
0.384, 1.6546e-19
0.385, 1.65893e-19
0.386, 1.66326e-19
0.387, 1.66759e-19
0.388, 1.67192e-19
0.389, 1.67625e-19
0.39, 1.68058e-19
0.391, 1.6849e-19
0.392, 1.68923e-19
0.393, 1.69356e-19
0.394, 1.69789e-19
0.395, 1.70222e-19
0.396, 1.70655e-19
0.397, 1.71088e-19
0.398, 1.71521e-19
0.399, 1.71954e-19
0.4, 1.72387e-19
0.401, 1.7282e-19
0.402, 1.73253e-19
0.403, 1.73686e-19
0.404, 1.74119e-19
0.405, 1.74552e-19
0.406, 1.74985e-19
0.407, 1.75418e-19
0.408, 1.75851e-19
0.409, 1.76284e-19
0.41, 1.76717e-19
0.411, 1.7715e-19
0.412, 1.77583e-19
0.413, 1.78016e-19
0.414, 1.78448e-19
0.415, 1.78881e-19
0.416, 1.79314e-19
0.417, 1.79747e-19
0.418, 1.8018e-19
0.419, 1.80614e-19
0.42, 1.81046e-19
0.421, 1.81479e-19
0.422, 1.81912e-19
0.423, 1.82345e-19
0.424, 1.82777e-19
0.425, 1.8321e-19
0.426, 1.83643e-19
0.427, 1.84076e-19
0.428, 1.84509e-19
0.429, 1.84942e-19
0.43, 1.85375e-19
0.431, 1.85808e-19
0.432, 1.86241e-19
0.433, 1.86674e-19
0.434, 1.87107e-19
0.435, 1.8754e-19
0.436, 1.87973e-19
0.437, 1.88406e-19
0.438, 1.88839e-19
0.439, 1.89272e-19
0.44, 1.89704e-19
0.441, 1.90137e-19
0.442, 1.9057e-19
0.443, 1.91003e-19
0.444, 1.91436e-19
0.445, 1.91869e-19
0.446, 1.92302e-19
0.447, 1.92734e-19
0.448, 1.93168e-19
0.449, 1.936e-19
0.45, 1.94033e-19
0.451, 1.94466e-19
0.452, 1.94899e-19
0.453, 1.95331e-19
0.454, 1.95764e-19
0.455, 1.96197e-19
0.456, 1.9663e-19
0.457, 1.97063e-19
0.458, 1.97496e-19
0.459, 1.97929e-19
0.46, 1.98362e-19
0.461, 1.98794e-19
