sim_time, unit_box_Custom?world_angular_acceleration/z
0.245, 1.10984e-19
0.246, -2.11704e-19
0.247, 2.06005e-19
0.248, -4.21248e-20
0.249, 1.1979e-19
0.25, -4.23661e-19
0.251, 2.43658e-19
0.252, -2.77001e-19
0.253, 2.26308e-19
0.254, 1.49166e-19
0.255, -1.49685e-19
0.256, 1.07166e-19
0.257, -4.19581e-19
0.258, 4.15431e-19
0.259, -9.01625e-20
0.26, 1.51029e-19
0.261, -3.42343e-19
0.262, -7.21833e-20
0.263, 4.14141e-19
0.264, -3.15959e-19
0.265, 3.20222e-19
0.266, -1.34783e-19
0.267, -2.05215e-19
0.268, 2.55426e-19
0.269, 3.45461e-20
0.27, -8.84808e-21
0.271, 1.44253e-19
0.272, -2.19249e-20
0.273, -8.65992e-20
0.274, -6.50108e-20
0.275, -2.10277e-19
0.276, 4.50578e-19
0.277, -3.26245e-19
0.278, 9.4964e-20
0.279, 1.05739e-19
0.28, -2.74623e-19
0.281, 3.38366e-20
0.282, 1.40149e-19
0.283, 2.40091e-20
0.284, 1.2326e-31
0.285, -7.80357e-20
0.286, -3.73494e-20
0.287, 1.25516e-19
0.288, 3.2836e-20
0.289, -1.73999e-19
0.29, -2.29105e-19
0.291, 3.19536e-19
0.292, -1.84535e-19
0.293, 1.83388e-19
0.294, -3.06996e-19
0.295, 3.42436e-19
0.296, 1.731e-20
0.297, 1.45186e-19
0.298, -3.5418e-19
0.299, 3.48122e-21
0.3, 2.34028e-19
0.301, -3.84781e-20
0.302, 1.81075e-19
0.303, -5.14041e-19
0.304, -6.52998e-20
0.305, 4.4253e-19
0.306, -2.09587e-19
0.307, -3.01839e-19
0.308, 5.04895e-19
0.309, -2.37495e-19
0.31, 2.41692e-19
0.311, 7.05131e-20
0.312, -2.30772e-19
0.313, 1.73643e-19
0.314, -1.47293e-19
0.315, -7.98451e-20
0.316, 3.08471e-19
0.317, 1.66451e-19
0.318, -3.95076e-19
0.319, -1.45416e-19
0.32, 1.25999e-19
0.321, 2.9542e-20
0.322, -1.50292e-19
0.323, 1.8593e-19
0.324, -8.11413e-20
0.325, -7.24058e-20
0.326, 2.70618e-19
0.327, 2.92857e-20
0.328, -4.07772e-19
0.329, 1.69582e-19
0.33, -1.21063e-19
0.331, -2.69158e-19
0.332, 3.88089e-19
0.333, 1.7398e-19
0.334, -3.70852e-19
0.335, 3.6605e-19
0.336, -2.28761e-19
0.337, 2.12478e-19
0.338, -2.64258e-19
0.339, -2.24817e-19
0.34, 3.78674e-19
0.341, 2.3718e-19
0.342, -3.87592e-19
0.343, 1.67798e-19
0.344, 3.43199e-20
0.345, 1.11008e-19
0.346, -1.85006e-19
0.347, 1.29834e-19
0.348, -1.0895e-20
0.349, -5.40605e-20
0.35, -1.10226e-19
0.351, 8.50251e-20
0.352, 8.47781e-20
0.353, -3.19384e-19
0.354, 4.54562e-19
0.355, -3.93768e-19
0.356, 1.04232e-19
0.357, 1.78069e-20
0.358, 1.5259e-19
0.359, -4.27568e-20
0.36, 3.52218e-20
0.361, 3.33854e-20
0.362, -8.24296e-20
0.363, -6.1437e-20
0.364, 4.90227e-20
