sim_time, unit_box_Custom?world_angular_acceleration/y
0.245, 1.05667e-15
0.246, -1.07497e-15
0.247, 8.79048e-16
0.248, -1.60787e-15
0.249, 5.23734e-16
0.25, 3.46105e-16
0.251, -2.67367e-15
0.252, 5.67517e-15
0.253, -4.98293e-15
0.254, 5.49754e-15
0.255, -4.80532e-15
0.256, -1.43023e-15
0.257, 7.62916e-15
0.258, -5.69347e-15
0.259, -2.31843e-15
0.26, 4.43176e-15
0.261, -9.18419e-18
0.262, -4.2724e-15
0.263, 2.30013e-15
0.264, -1.07498e-15
0.265, 6.74103e-15
0.266, -7.64749e-15
0.267, 3.36593e-15
0.268, -1.60786e-15
0.269, 5.23753e-16
0.27, 1.2343e-15
0.271, 5.23771e-16
0.272, 5.23725e-16
0.273, -1.7855e-15
0.274, -5.42075e-16
0.275, -1.78549e-15
0.276, 5.1423e-15
0.277, -7.46986e-15
0.278, 5.31992e-15
0.279, -1.2526e-15
0.28, 8.79015e-16
0.281, 7.01385e-16
0.282, -2.49604e-15
0.283, 5.23759e-16
0.284, 5.23759e-16
0.285, 2.12247e-15
0.286, -9.14972e-18
0.287, -1.60787e-15
0.288, -7.19694e-16
0.289, -1.96316e-15
0.29, 5.85282e-15
0.291, -5.87111e-15
0.292, 2.65538e-15
0.293, 8.79044e-16
0.294, -2.49606e-15
0.295, -1.60785e-15
0.296, 7.09629e-15
0.297, -3.91712e-15
0.298, 8.78998e-16
0.299, -1.07496e-15
0.3, -2.67368e-15
0.301, 4.43174e-15
0.302, -3.73948e-15
0.303, 1.76718e-15
0.304, -3.38424e-15
0.305, 5.49757e-15
0.306, -7.19685e-16
0.307, -2.85134e-15
0.308, 3.72121e-15
0.309, -1.96314e-15
0.31, -7.19684e-16
0.311, 5.23731e-16
0.312, -5.42058e-16
0.313, -1.86782e-16
0.314, -8.97333e-16
0.315, 4.96464e-15
0.316, -4.62766e-15
0.317, 3.18828e-15
0.318, -8.97338e-16
0.319, -1.07499e-15
0.32, -1.60786e-15
0.321, 6.38574e-15
0.322, -6.2264e-15
0.323, 2.47775e-15
0.324, 1.68495e-16
0.325, -1.96313e-15
0.326, -5.42071e-16
0.327, 1.23432e-15
0.328, -7.19698e-16
0.329, 5.23756e-16
0.33, 1.58955e-15
0.331, -3.56186e-15
0.332, 4.78702e-15
0.333, -5.87114e-15
0.334, 4.43172e-15
0.335, -5.42037e-16
0.336, -1.96314e-15
0.337, 3.54356e-15
0.338, -2.85132e-15
0.339, -3.38422e-15
0.34, 3.36594e-15
0.341, 1.76722e-15
0.342, 8.79005e-16
0.343, 1.41192e-15
0.344, -6.93693e-15
0.345, 3.36593e-15
0.346, -5.42067e-16
0.347, 1.76721e-15
0.348, 5.23759e-16
0.349, -1.43023e-15
0.35, -7.1969e-16
0.351, 1.41192e-15
0.352, -1.07495e-15
0.353, -8.97351e-16
0.354, 2.65541e-15
0.355, -1.86794e-16
0.356, -1.7855e-15
0.357, -1.96314e-15
0.358, 4.60939e-15
0.359, 5.23716e-16
0.36, -5.51585e-15
0.361, 5.14228e-15
0.362, -2.67368e-15
0.363, 5.23749e-16
0.364, -8.97319e-16
0.365, 1.68483e-16
0.366, -1.86784e-16
0.367, 2.47774e-15
0.368, 8.79024e-16
0.369, -7.1146e-15
0.37, 7.62918e-15
0.371, -3.7395e-15
0.372, -1.43026e-15
0.373, 4.07648e-15
0.374, -1.43026e-15
0.375, -2.31838e-15
0.376, 5.14227e-15
0.377, -5.51587e-15
0.378, 4.43176e-15
0.379, -5.16061e-15
0.38, 3.18828e-15
0.381, -3.64411e-16
0.382, -1.96315e-15
0.383, 3.7212e-15
0.384, -3.73948e-15
0.385, 3.01067e-15
0.386, -1.96315e-15
0.387, -5.42049e-16
0.388, 3.89883e-15
0.389, -6.40405e-15
0.39, 6.74101e-15
0.391, -1.60787e-15
0.392, 1.68489e-16
0.393, -3.20662e-15
0.394, 3.36596e-15
0.395, -1.43024e-15
0.396, 5.23737e-16
0.397, -1.2526e-15
0.398, -2.14077e-15
0.399, 5.85282e-15
0.4, -5.1606e-15
0.401, 2.30014e-15
0.402, -1.96315e-15
0.403, 3.89883e-15
0.404, -1.96314e-15
0.405, -3.56184e-15
0.406, 4.96465e-15
