sim_time, unit_box_Custom?world_angular_velocity/x
0.245, 1.02984e-17
0.246, 1.50892e-17
0.247, 1.3554e-17
0.248, 1.07953e-17
0.249, 1.29216e-17
0.25, 1.46037e-17
0.251, 1.53977e-17
0.252, 1.51948e-17
0.253, 1.57233e-17
0.254, 1.34086e-17
0.255, 1.17166e-17
0.256, 1.46228e-17
0.257, 1.142e-17
0.258, 1.12171e-17
0.259, 8.63692e-18
0.26, 1.40503e-17
0.261, 1.12916e-17
0.262, 1.182e-17
0.263, 1.36807e-17
0.264, 9.14563e-18
0.265, 1.67795e-17
0.266, 1.33111e-17
0.267, 9.11141e-18
0.268, 1.3014e-17
0.269, 1.15875e-17
0.27, 1.50461e-17
0.271, 9.95823e-18
0.272, 1.20845e-17
0.273, 1.33226e-17
0.274, 1.16306e-17
0.275, 1.02041e-17
0.276, 9.6658e-18
0.277, 1.31243e-17
0.278, 1.01e-17
0.279, 1.35585e-17
0.28, 9.02343e-18
0.281, 1.13282e-17
0.282, 1.38986e-17
0.283, 1.24721e-17
0.284, 1.10456e-17
0.285, 1.42386e-17
0.286, 1.12143e-17
0.287, 1.45641e-17
0.288, 1.13613e-17
0.289, 9.38205e-18
0.29, 1.39073e-17
0.291, 1.38131e-17
0.292, 8.56833e-18
0.293, 1.19203e-17
0.294, 1.30497e-17
0.295, 1.0291e-17
0.296, 1.18645e-17
0.297, 1.47703e-17
0.298, 1.02352e-17
0.299, 1.6694e-17
0.3, 9.82983e-18
0.301, 1.43551e-17
0.302, 1.60372e-17
0.303, 1.1058e-17
0.304, 1.27402e-17
0.305, 1.19364e-17
0.306, 1.36185e-17
0.307, 1.39685e-17
0.308, 1.19892e-17
0.309, 1.41155e-17
0.31, 1.09127e-17
0.311, 1.3039e-17
0.312, 1.37243e-17
0.313, 1.09656e-17
0.314, 1.04273e-17
0.315, 1.37771e-17
0.316, 7.02155e-18
0.317, 1.09242e-17
0.318, 1.03859e-17
0.319, 1.37362e-17
0.32, 6.87196e-18
0.321, 1.5394e-17
0.322, 1.26353e-17
0.323, 1.31637e-17
0.324, 9.40809e-18
0.325, 1.15343e-17
0.326, 1.3996e-17
0.327, 1.14158e-17
0.328, 1.01679e-17
0.329, 1.14059e-17
