sim_time, unit_box_Custom?world_linear_acceleration/z
0.289, -1.77636e-15
0.29, -3.55271e-15
0.291, 3.55271e-15
0.292, 0
0.293, 0
0.294, 0
0.295, 1.77636e-15
0.296, -3.55271e-15
0.297, 3.55271e-15
0.298, -3.55271e-15
0.299, 0
0.3, 3.55271e-15
0.301, -3.55271e-15
0.302, 1.77636e-15
0.303, 1.77636e-15
0.304, -1.77636e-15
0.305, 0
0.306, -1.77636e-15
0.307, 0
0.308, 1.77636e-15
0.309, 0
0.31, 1.77636e-15
0.311, 0
0.312, -3.55271e-15
0.313, 0
0.314, 0
0.315, 0
0.316, 3.55271e-15
0.317, -3.55271e-15
0.318, 0
0.319, 3.55271e-15
0.32, -1.77636e-15
0.321, -1.77636e-15
0.322, 0
0.323, 1.77636e-15
0.324, 0
0.325, 0
0.326, 0
0.327, 0
0.328, 1.77636e-15
0.329, 0
0.33, -3.55271e-15
0.331, 3.55271e-15
0.332, -3.55271e-15
0.333, 3.55271e-15
0.334, -3.55271e-15
0.335, 3.55271e-15
0.336, 0
0.337, -3.55271e-15
0.338, 1.77636e-15
0.339, 0
0.34, -1.77636e-15
0.341, 1.77636e-15
0.342, -1.77636e-15
0.343, 0
0.344, 3.55271e-15
0.345, -3.55271e-15
0.346, -1.77636e-15
0.347, 3.55271e-15
0.348, 0
0.349, 0
0.35, -1.77636e-15
0.351, 0
0.352, 1.77636e-15
0.353, -1.77636e-15
0.354, 1.77636e-15
0.355, -1.77636e-15
0.356, 3.55271e-15
0.357, -1.77636e-15
0.358, -3.55271e-15
0.359, 1.77636e-15
0.36, 3.55271e-15
0.361, -3.55271e-15
0.362, 1.77636e-15
0.363, 0
0.364, 0
0.365, 0
0.366, 0
0.367, 0
0.368, 0
0.369, 3.55271e-15
0.37, -5.32907e-15
0.371, 3.55271e-15
0.372, -1.77636e-15
0.373, 0
0.374, -1.77636e-15
0.375, 1.77636e-15
0.376, 0
0.377, 0
0.378, -1.77636e-15
0.379, 0
0.38, 0
0.381, 0
0.382, 0
0.383, 0
0.384, 3.55271e-15
0.385, -1.77636e-15
0.386, 0
0.387, 0
0.388, 0
0.389, 3.55271e-15
0.39, -3.55271e-15
0.391, 1.77636e-15
0.392, -1.77636e-15
0.393, -1.77636e-15
0.394, 3.55271e-15
0.395, 0
0.396, -3.55271e-15
0.397, 0
0.398, 1.77636e-15
0.399, -1.77636e-15
0.4, 0
0.401, 1.77636e-15
0.402, -1.77636e-15
0.403, 0
0.404, 1.77636e-15
0.405, 3.55271e-15
0.406, -3.55271e-15
0.407, 1.77636e-15
0.408, -3.55271e-15
0.409, 0
0.41, 3.55271e-15
0.411, -5.32907e-15
0.412, 3.55271e-15
0.413, 0
0.414, 1.77636e-15
0.415, 0
0.416, -3.55271e-15
0.417, 0
0.418, 0
0.419, 3.55271e-15
0.42, -3.55271e-15
0.421, 3.55271e-15
0.422, 0
0.423, -1.77636e-15
0.424, -3.55271e-15
0.425, 3.55271e-15
0.426, 0
0.427, 0
0.428, 1.77636e-15
0.429, -3.55271e-15
0.43, 3.55271e-15
0.431, 0
0.432, -3.55271e-15
0.433, 3.55271e-15
0.434, -3.55271e-15
0.435, 1.77636e-15
0.436, -1.77636e-15
0.437, 0
0.438, 0
0.439, 3.55271e-15
0.44, -3.55271e-15
0.441, -1.77636e-15
0.442, 1.77636e-15
0.443, 0
0.444, 1.77636e-15
0.445, 0
0.446, 1.77636e-15
0.447, -3.55271e-15
0.448, 0
0.449, 1.77636e-15
0.45, 0
0.451, -3.55271e-15
0.452, 1.77636e-15
0.453, 0
0.454, 1.77636e-15
0.455, 0
0.456, 1.77636e-15
0.457, -1.77636e-15
0.458, 0
0.459, 0
0.46, 0
0.461, -1.77636e-15
0.462, 0
0.463, 0
0.464, 0
0.465, 3.55271e-15
0.466, -1.77636e-15
0.467, 0
0.468, -3.55271e-15
0.469, 3.55271e-15
0.47, 0
0.471, 1.77636e-15
0.472, -1.77636e-15
0.473, 0
0.474, -1.77636e-15
0.475, 3.55271e-15
0.476, -1.77636e-15
0.477, 0
0.478, 0
0.479, 0
0.48, 0
0.481, 1.77636e-15
0.482, 0
0.483, 0
0.484, -3.55271e-15
0.485, 3.55271e-15
0.486, 0
0.487, -7.10543e-15
0.488, 3.55271e-15
0.489, 1.77636e-15
0.49, 0
0.491, -3.55271e-15
0.492, 3.55271e-15
0.493, 0
0.494, 0
0.495, -3.55271e-15
0.496, 1.77636e-15
0.497, 0
0.498, 0
0.499, 1.77636e-15
0.5, 0
0.501, -1.77636e-15
0.502, 3.55271e-15
0.503, -3.55271e-15
0.504, 0
0.505, 0
0.506, 0
0.507, 0
0.508, 5.32907e-15
0.509, -1.77636e-15
0.51, 0
0.511, -1.77636e-15
0.512, -3.55271e-15
0.513, 3.55271e-15
0.514, 0
0.515, 3.55271e-15
0.516, -3.55271e-15
0.517, 0
0.518, 0
0.519, 0
0.52, 1.77636e-15
0.521, 0
0.522, -3.55271e-15
0.523, 1.77636e-15
0.524, 0
0.525, -1.77636e-15
0.526, 3.55271e-15
0.527, 0
0.528, 0
0.529, -5.32907e-15
0.53, 3.55271e-15
0.531, 0
0.532, 0
0.533, -5.32907e-15
0.534, 3.55271e-15
0.535, 0
0.536, 3.55271e-15
0.537, -1.77636e-15
0.538, -1.77636e-15
0.539, -1.77636e-15
0.54, 1.77636e-15
0.541, 3.55271e-15
0.542, 0
0.543, -1.77636e-15
0.544, -1.77636e-15
0.545, 3.55271e-15
0.546, -1.77636e-15
0.547, 0
0.548, -3.55271e-15
0.549, 3.55271e-15
0.55, 0
0.551, -1.77636e-15
0.552, 3.55271e-15
0.553, -3.55271e-15
0.554, 0
0.555, 3.55271e-15
0.556, -1.77636e-15
0.557, 0
0.558, -3.55271e-15
0.559, 3.55271e-15
0.56, 0
0.561, 0
0.562, 1.77636e-15
0.563, -3.55271e-15
0.564, 3.55271e-15
0.565, -3.55271e-15
0.566, 0
0.567, 1.77636e-15
0.568, 0
0.569, 0
0.57, -3.55271e-15
0.571, 3.55271e-15
0.572, 0
0.573, 3.55271e-15
0.574, -1.77636e-15
0.575, -3.55271e-15
0.576, 1.77636e-15
0.577, 1.77636e-15
0.578, 0
0.579, -5.32907e-15
0.58, 3.55271e-15
0.581, 0
0.582, 0
0.583, 1.77636e-15
0.584, 0
0.585, -3.55271e-15
0.586, 3.55271e-15
0.587, 1.77636e-15
0.588, -1.77636e-15
0.589, 0
0.59, -1.77636e-15
0.591, 0
0.592, -3.55271e-15
0.593, 3.55271e-15
0.594, -3.55271e-15
0.595, 3.55271e-15
0.596, 0
0.597, 0
0.598, 0
0.599, 0
0.6, 0
0.601, -3.55271e-15
0.602, 1.77636e-15
0.603, 0
0.604, 3.55271e-15
0.605, -7.10543e-15
0.606, 3.55271e-15
0.607, 1.77636e-15
0.608, 0
0.609, -3.55271e-15
0.61, 3.55271e-15
0.611, 0
0.612, 1.77636e-15
0.613, -3.55271e-15
0.614, 1.77636e-15
0.615, 0
0.616, -3.55271e-15
0.617, 3.55271e-15
0.618, -3.55271e-15
0.619, 3.55271e-15
0.62, 3.55271e-15
0.621, -1.77636e-15
0.622, -5.32907e-15
0.623, 5.32907e-15
0.624, -3.55271e-15
0.625, 0
0.626, 0
0.627, 3.55271e-15
0.628, -1.77636e-15
0.629, 0
0.63, -3.55271e-15
0.631, 3.55271e-15
0.632, 0
0.633, 1.77636e-15
0.634, 0
0.635, -5.32907e-15
0.636, 1.77636e-15
0.637, 0
0.638, 0
0.639, 3.55271e-15
0.64, 0
0.641, -1.77636e-15
0.642, -1.77636e-15
0.643, 0
0.644, 0
0.645, 3.55271e-15
0.646, -3.55271e-15
0.647, 3.55271e-15
0.648, -1.77636e-15
0.649, -3.55271e-15
0.65, 3.55271e-15
0.651, -3.55271e-15
0.652, 0
0.653, 3.55271e-15
0.654, 0
0.655, 0
0.656, 0
0.657, 1.77636e-15
0.658, -3.55271e-15
0.659, 1.77636e-15
0.66, 0
0.661, 0
0.662, 0
0.663, -1.77636e-15
0.664, 1.77636e-15
0.665, 1.77636e-15
0.666, -3.55271e-15
0.667, 0
0.668, 1.77636e-15
0.669, 0
0.67, 0
0.671, 0
0.672, 1.77636e-15
0.673, -1.77636e-15
0.674, 0
0.675, -1.77636e-15
0.676, 3.55271e-15
0.677, 1.77636e-15
0.678, -3.55271e-15
0.679, 0
0.68, -3.55271e-15
