sim_time, unit_box_Custom?world_pose/position/x
0.393, 1.72524e-05
0.394, 2.46945e-05
0.395, 1.92857e-05
0.396, 1.20256e-05
0.397, 1.76146e-05
0.398, 2.50583e-05
0.399, 1.96512e-05
0.4, 1.23926e-05
0.401, 1.79833e-05
0.402, 2.54288e-05
0.403, 2.00233e-05
0.404, 1.27663e-05
0.405, 1.83587e-05
0.406, 2.58059e-05
0.407, 2.0402e-05
0.408, 1.31468e-05
0.409, 1.87409e-05
0.41, 2.61899e-05
0.411, 2.07877e-05
0.412, 1.35341e-05
0.413, 1.913e-05
0.414, 2.65808e-05
0.415, 2.11803e-05
0.416, 1.39285e-05
0.417, 1.95262e-05
0.418, 2.69789e-05
0.419, 2.15801e-05
0.42, 1.433e-05
0.421, 1.99296e-05
0.422, 2.73842e-05
0.423, 2.19872e-05
0.424, 1.47389e-05
0.425, 2.03403e-05
0.426, 2.77968e-05
0.427, 2.24017e-05
0.428, 1.51552e-05
0.429, 2.07586e-05
0.43, 2.82171e-05
0.431, 2.28237e-05
0.432, 1.55791e-05
0.433, 2.11844e-05
0.434, 2.86449e-05
0.435, 2.32535e-05
0.436, 1.60108e-05
0.437, 2.16181e-05
0.438, 2.90807e-05
0.439, 2.36911e-05
0.44, 1.64503e-05
0.441, 2.20597e-05
0.442, 2.95244e-05
0.443, 2.41368e-05
0.444, 1.6898e-05
0.445, 2.25094e-05
0.446, 2.99762e-05
0.447, 2.45906e-05
0.448, 1.73538e-05
0.449, 2.29674e-05
0.45, 3.04364e-05
0.451, 2.50528e-05
0.452, 1.78181e-05
0.453, 2.34338e-05
0.454, 3.0905e-05
0.455, 2.55235e-05
0.456, 1.82908e-05
0.457, 2.39088e-05
0.458, 3.13822e-05
0.459, 2.60028e-05
0.46, 1.87723e-05
0.461, 2.43925e-05
0.462, 3.18683e-05
0.463, 2.6491e-05
0.464, 1.92627e-05
0.465, 2.48851e-05
0.466, 3.23633e-05
0.467, 2.69882e-05
0.468, 1.97621e-05
0.469, 2.53869e-05
