sim_time, unit_box_Custom?world_linear_acceleration/z
0.001, 9.11063e-06
0.002, -2.67264
0.003, 5.35872
0.004, -6.39493
0.005, 8.29913
0.006, -8.12354
0.007, 6.48849
0.008, -6.62608
0.009, 7.85139
0.01, -7.78777
0.011, 6.98149
0.012, -7.02436
0.013, 7.53676
0.014, -7.51599
0.015, 7.20778
0.016, -7.21948
0.017, 7.40113
0.018, -7.39501
0.019, 7.29029
0.02, -7.29357
0.021, 7.35349
0.022, -7.35161
0.023, 7.31774
0.024, -7.31868
0.025, 7.33791
0.026, -7.33726
0.027, 7.32658
0.028, -7.32681
0.029, 7.33291
0.03, -7.33264
0.031, 7.3294
0.032, -7.32942
0.033, 7.33133
0.034, -7.33116
0.035, 7.33033
0.036, -7.33027
0.037, 7.33082
0.038, -7.33068
0.039, 7.33065
0.04, -7.33055
0.041, 7.33067
0.042, -7.33052
0.043, 7.33077
0.044, -7.33065
0.045, 7.33062
0.046, -7.33047
0.047, 7.33083
0.048, -7.3307
0.049, 7.33061
0.05, -7.33044
0.051, 7.33087
0.052, -7.33072
0.053, 7.33061
0.054, -7.33043
0.055, 7.33091
0.056, -7.33074
0.057, 7.33061
0.058, -7.33042
0.059, 7.33094
0.06, -7.33076
0.061, 7.33062
0.062, -7.33041
0.063, 7.33097
0.064, -7.33078
0.065, 7.33062
0.066, -7.3304
0.067, 7.331
0.068, -7.3308
0.069, 7.33063
0.07, -7.33039
0.071, 7.33104
0.072, -7.33082
0.073, 7.33064
0.074, -7.33038
0.075, 7.33107
0.076, -7.33083
0.077, 7.33064
0.078, -7.33037
0.079, 7.3311
0.08, -7.33085
0.081, 7.33065
0.082, -7.33037
0.083, 7.33114
0.084, -7.33087
0.085, 7.33066
0.086, -7.33036
0.087, 7.33117
0.088, -7.33089
0.089, 7.33067
0.09, -7.33035
0.091, 7.3312
0.092, -7.33091
0.093, 7.33068
0.094, -7.33034
0.095, 7.33124
0.096, -7.33093
0.097, 7.33068
0.098, -7.33033
0.099, 7.33127
0.1, -7.33094
0.101, 7.33069
0.102, -7.33032
0.103, 7.33131
0.104, -7.33096
0.105, 7.3307
0.106, -7.33031
0.107, 7.331
0.108, -7.33032
0.109, 7.33023
0.11, -7.32966
0.111, 7.33013
0.112, -7.32982
0.113, 7.33007
0.114, -7.3296
0.115, 7.33035
0.116, -7.32997
0.117, 7.32992
0.118, -7.32947
0.119, 7.33048
0.12, -7.33007
0.121, 7.32986
0.122, -7.3294
0.123, 7.33054
0.124, -7.33011
0.125, 7.32985
0.126, -7.32936
0.127, 7.33059
0.128, -7.33013
0.129, 7.32984
0.13, -7.32934
0.131, 7.33062
0.132, -7.33015
0.133, 7.32984
0.134, -7.32932
0.135, 7.33066
0.136, -7.33016
0.137, 7.32985
0.138, -7.3293
0.139, 7.33069
0.14, -7.33018
0.141, 7.32985
0.142, -7.32928
0.143, 7.33072
0.144, -7.33019
0.145, 7.32985
0.146, -7.32926
0.147, 7.33076
0.148, -7.3302
0.149, 7.32986
0.15, -7.32924
0.151, 7.33079
0.152, -7.33021
0.153, 7.32986
0.154, -7.32922
0.155, 7.33082
0.156, -7.33023
0.157, 7.32987
0.158, -7.32921
0.159, 7.33086
0.16, -7.33024
0.161, 7.32987
0.162, -7.32919
0.163, 7.3309
0.164, -7.33025
0.165, 7.32988
0.166, -7.32917
0.167, 7.33093
0.168, -7.33026
0.169, 7.32989
0.17, -7.32915
0.171, 7.33097
0.172, -7.33028
0.173, 7.32989
0.174, -7.32913
0.175, 7.33101
0.176, -7.33029
0.177, 7.3299
0.178, -7.32911
0.179, 7.33105
0.18, -7.3303
0.181, 7.32991
0.182, -7.32908
0.183, 7.33109
0.184, -7.33032
0.185, 7.32991
0.186, -7.32906
0.187, 7.33113
0.188, -7.33033
0.189, 7.32992
0.19, -7.32904
