sim_time, unit_box_Custom?world_pose/position/y
0.317, 2.67603
0.318, 2.68292
0.319, 2.68979
0.32, 2.69665
0.321, 2.7035
0.322, 2.71035
0.323, 2.71718
0.324, 2.72401
0.325, 2.73082
0.326, 2.73763
0.327, 2.74442
0.328, 2.75121
0.329, 2.75798
0.33, 2.76475
0.331, 2.77151
0.332, 2.77826
0.333, 2.78499
0.334, 2.79172
0.335, 2.79843
0.336, 2.80514
0.337, 2.81184
0.338, 2.81853
0.339, 2.8252
0.34, 2.83187
0.341, 2.83853
0.342, 2.84518
0.343, 2.85181
0.344, 2.85845
0.345, 2.86506
0.346, 2.87167
0.347, 2.87827
0.348, 2.88486
0.349, 2.89144
0.35, 2.89801
0.351, 2.90457
0.352, 2.91112
0.353, 2.91766
0.354, 2.92419
0.355, 2.93071
0.356, 2.93722
0.357, 2.94372
0.358, 2.95022
0.359, 2.9567
0.36, 2.96317
0.361, 2.96963
0.362, 2.97608
0.363, 2.98252
0.364, 2.98896
0.365, 2.99538
0.366, 3.0018
0.367, 3.0082
0.368, 3.01459
0.369, 3.02097
0.37, 3.02735
0.371, 3.03371
0.372, 3.04007
0.373, 3.04641
0.374, 3.05275
0.375, 3.05907
0.376, 3.06539
0.377, 3.07169
0.378, 3.07799
0.379, 3.08427
0.38, 3.09055
0.381, 3.09681
0.382, 3.10307
0.383, 3.10931
0.384, 3.11555
0.385, 3.12178
0.386, 3.128
0.387, 3.1342
0.388, 3.1404
0.389, 3.14659
0.39, 3.15277
0.391, 3.15893
0.392, 3.16509
0.393, 3.17124
0.394, 3.17738
0.395, 3.1835
0.396, 3.18963
0.397, 3.19573
0.398, 3.20184
0.399, 3.20792
0.4, 3.214
0.401, 3.22007
0.402, 3.22613
0.403, 3.23218
0.404, 3.23823
0.405, 3.24425
0.406, 3.25028
0.407, 3.25628
0.408, 3.26229
0.409, 3.26828
0.41, 3.27426
0.411, 3.28023
0.412, 3.2862
0.413, 3.29214
0.414, 3.29809
0.415, 3.30402
0.416, 3.30995
0.417, 3.31586
0.418, 3.32176
0.419, 3.32765
0.42, 3.33354
0.421, 3.33941
0.422, 3.34528
0.423, 3.35113
0.424, 3.35698
0.425, 3.36281
0.426, 3.36864
0.427, 3.37445
0.428, 3.38026
0.429, 3.38605
0.43, 3.39184
0.431, 3.39761
0.432, 3.40338
0.433, 3.40913
0.434, 3.41488
0.435, 3.42061
0.436, 3.42635
0.437, 3.43206
0.438, 3.43777
0.439, 3.44346
0.44, 3.44915
0.441, 3.45483
0.442, 3.4605
0.443, 3.46615
0.444, 3.47181
0.445, 3.47744
0.446, 3.48307
0.447, 3.48869
0.448, 3.4943
0.449, 3.4999
0.45, 3.50549
0.451, 3.51107
0.452, 3.51664
0.453, 3.5222
0.454, 3.52775
0.455, 3.53329
0.456, 3.53882
0.457, 3.54434
0.458, 3.54985
0.459, 3.55535
0.46, 3.56085
0.461, 3.56633
0.462, 3.5718
0.463, 3.57726
0.464, 3.58272
0.465, 3.58815
0.466, 3.59359
0.467, 3.59901
0.468, 3.60443
0.469, 3.60983
0.47, 3.61522
0.471, 3.6206
0.472, 3.62598
0.473, 3.63134
0.474, 3.6367
0.475, 3.64204
0.476, 3.64738
0.477, 3.6527
0.478, 3.65802
0.479, 3.66332
0.48, 3.66862
0.481, 3.6739
0.482, 3.67918
0.483, 3.68444
0.484, 3.6897
0.485, 3.69495
0.486, 3.70019
0.487, 3.70541
0.488, 3.71063
0.489, 3.71583
0.49, 3.72103
0.491, 3.72622
0.492, 3.7314
0.493, 3.73656
0.494, 3.74173
0.495, 3.74687
0.496, 3.75201
0.497, 3.75714
0.498, 3.76226
0.499, 3.76737
0.5, 3.77247
0.501, 3.77756
0.502, 3.78264
0.503, 3.78771
0.504, 3.79277
0.505, 3.79782
0.506, 3.80286
0.507, 3.80789
0.508, 3.81291
0.509, 3.81792
0.51, 3.82292
0.511, 3.82791
0.512, 3.8329
0.513, 3.83787
0.514, 3.84283
0.515, 3.84778
0.516, 3.85273
0.517, 3.85766
0.518, 3.86258
0.519, 3.86749
0.52, 3.8724
0.521, 3.87729
0.522, 3.88218
0.523, 3.88705
0.524, 3.89191
0.525, 3.89676
0.526, 3.90161
0.527, 3.90644
0.528, 3.91127
0.529, 3.91608
0.53, 3.92089
0.531, 3.92568
0.532, 3.93047
0.533, 3.93524
0.534, 3.94001
0.535, 3.94477
0.536, 3.94952
0.537, 3.95425
0.538, 3.95898
0.539, 3.96369
0.54, 3.9684
0.541, 3.9731
0.542, 3.97779
0.543, 3.98246
0.544, 3.98713
0.545, 3.99179
0.546, 3.99644
0.547, 4.00108
0.548, 4.00571
0.549, 4.01032
0.55, 4.01494
0.551, 4.01953
0.552, 4.02412
0.553, 4.0287
0.554, 4.03327
0.555, 4.03783
0.556, 4.04238
0.557, 4.04692
0.558, 4.05146
0.559, 4.05597
0.56, 4.06049
0.561, 4.06498
0.562, 4.06948
0.563, 4.07396
0.564, 4.07843
0.565, 4.08289
0.566, 4.08735
0.567, 4.09179
0.568, 4.09622
0.569, 4.10064
0.57, 4.10506
0.571, 4.10946
0.572, 4.11385
0.573, 4.11823
0.574, 4.12261
0.575, 4.12697
0.576, 4.13133
0.577, 4.13567
0.578, 4.14001
0.579, 4.14433
0.58, 4.14865
0.581, 4.15295
0.582, 4.15725
0.583, 4.16153
0.584, 4.16581
0.585, 4.17007
0.586, 4.17433
0.587, 4.17857
0.588, 4.18281
0.589, 4.18704
0.59, 4.19126
0.591, 4.19546
0.592, 4.19966
0.593, 4.20384
0.594, 4.20802
0.595, 4.21219
0.596, 4.21635
0.597, 4.22049
0.598, 4.22464
0.599, 4.22876
0.6, 4.23288
0.601, 4.23699
0.602, 4.24109
0.603, 4.24518
0.604, 4.24926
0.605, 4.25333
0.606, 4.25739
0.607, 4.26144
0.608, 4.26548
0.609, 4.26951
0.61, 4.27353
0.611, 4.27754
0.612, 4.28154
0.613, 4.28553
0.614, 4.28951
0.615, 4.29348
0.616, 4.29745
0.617, 4.3014
0.618, 4.30534
0.619, 4.30927
0.62, 4.3132
0.621, 4.3171
0.622, 4.32101
0.623, 4.3249
0.624, 4.32879
0.625, 4.33266
0.626, 4.33652
0.627, 4.34037
0.628, 4.34422
0.629, 4.34805
0.63, 4.35188
0.631, 4.35569
0.632, 4.3595
0.633, 4.36329
0.634, 4.36708
0.635, 4.37085
0.636, 4.37462
0.637, 4.37837
0.638, 4.38212
0.639, 4.38585
0.64, 4.38958
0.641, 4.3933
0.642, 4.39701
0.643, 4.4007
0.644, 4.40439
0.645, 4.40806
0.646, 4.41173
0.647, 4.41539
0.648, 4.41904
0.649, 4.42267
0.65, 4.4263
0.651, 4.42992
0.652, 4.43353
0.653, 4.43713
0.654, 4.44072
0.655, 4.44429
0.656, 4.44787
0.657, 4.45142
0.658, 4.45498
0.659, 4.45851
0.66, 4.46204
0.661, 4.46556
0.662, 4.46907
0.663, 4.47257
0.664, 4.47607
0.665, 4.47954
0.666, 4.48302
0.667, 4.48647
0.668, 4.48993
0.669, 4.49337
0.67, 4.4968
0.671, 4.50022
0.672, 4.50364
0.673, 4.50704
0.674, 4.51043
0.675, 4.51381
0.676, 4.51719
0.677, 4.52055
0.678, 4.5239
0.679, 4.52724
0.68, 4.53058
0.681, 4.5339
0.682, 4.53722
0.683, 4.54052
0.684, 4.54381
0.685, 4.5471
0.686, 4.55037
0.687, 4.55363
0.688, 4.55689
0.689, 4.56013
0.69, 4.56337
0.691, 4.5666
0.692, 4.56981
0.693, 4.57302
0.694, 4.57622
0.695, 4.5794
0.696, 4.58258
0.697, 4.58574
0.698, 4.5889
0.699, 4.59205
0.7, 4.59519
0.701, 4.59831
0.702, 4.60143
0.703, 4.60453
0.704, 4.60764
0.705, 4.61072
0.706, 4.6138
0.707, 4.61687
0.708, 4.61993
0.709, 4.62297
0.71, 4.62602
0.711, 4.62904
0.712, 4.63206
0.713, 4.63507
0.714, 4.63807
0.715, 4.64106
0.716, 4.64404
0.717, 4.64701
0.718, 4.64997
0.719, 4.65292
0.72, 4.65586
0.721, 4.65879
0.722, 4.66172
0.723, 4.66462
0.724, 4.66753
0.725, 4.67042
0.726, 4.6733
0.727, 4.67617
0.728, 4.67903
0.729, 4.68188
0.73, 4.68473
0.731, 4.68756
0.732, 4.69038
0.733, 4.69319
0.734, 4.696
0.735, 4.69879
0.736, 4.70158
0.737, 4.70435
0.738, 4.70711
0.739, 4.70986
0.74, 4.71261
0.741, 4.71534
0.742, 4.71807
0.743, 4.72078
0.744, 4.72349
0.745, 4.72618
0.746, 4.72887
0.747, 4.73154
0.748, 4.73421
0.749, 4.73686
0.75, 4.73951
0.751, 4.74214
0.752, 4.74477
0.753, 4.74738
0.754, 4.74999
0.755, 4.75259
0.756, 4.75518
0.757, 4.75775
0.758, 4.76032
0.759, 4.76288
0.76, 4.76543
0.761, 4.76796
0.762, 4.77049
0.763, 4.77301
0.764, 4.77552
0.765, 4.77801
0.766, 4.7805
0.767, 4.78298
0.768, 4.78545
0.769, 4.78791
0.77, 4.79036
0.771, 4.79279
0.772, 4.79523
0.773, 4.79764
0.774, 4.80006
0.775, 4.80245
0.776, 4.80485
0.777, 4.80722
0.778, 4.8096
0.779, 4.81195
0.78, 4.81431
0.781, 4.81664
0.782, 4.81898
0.783, 4.8213
0.784, 4.82361
0.785, 4.82591
0.786, 4.8282
0.787, 4.83048
0.788, 4.83276
0.789, 4.83501
0.79, 4.83727
0.791, 4.83951
0.792, 4.84174
0.793, 4.84396
0.794, 4.84618
0.795, 4.84838
0.796, 4.85058
0.797, 4.85276
0.798, 4.85493
0.799, 4.85709
0.8, 4.85925
0.801, 4.86139
0.802, 4.86353
0.803, 4.86565
0.804, 4.86777
0.805, 4.86987
0.806, 4.87196
0.807, 4.87405
0.808, 4.87612
0.809, 4.87819
0.81, 4.88024
0.811, 4.88229
0.812, 4.88432
0.813, 4.88635
0.814, 4.88837
0.815, 4.89037
0.816, 4.89237
0.817, 4.89435
0.818, 4.89633
0.819, 4.89829
0.82, 4.90025
0.821, 4.9022
0.822, 4.90414
0.823, 4.90606
0.824, 4.90798
0.825, 4.90988
0.826, 4.91179
0.827, 4.91367
0.828, 4.91555
0.829, 4.91742
0.83, 4.91928
0.831, 4.92112
0.832, 4.92296
0.833, 4.92479
0.834, 4.92661
0.835, 4.92842
0.836, 4.93022
0.837, 4.932
0.838, 4.93379
0.839, 4.93555
0.84, 4.93731
0.841, 4.93906
0.842, 4.9408
0.843, 4.94253
0.844, 4.94425
0.845, 4.94596
0.846, 4.94766
0.847, 4.94935
0.848, 4.95103
0.849, 4.9527
0.85, 4.95436
0.851, 4.95601
0.852, 4.95766
0.853, 4.95928
0.854, 4.96091
0.855, 4.96252
0.856, 4.96412
0.857, 4.96571
0.858, 4.96729
0.859, 4.96886
0.86, 4.97043
0.861, 4.97198
0.862, 4.97352
0.863, 4.97505
0.864, 4.97658
0.865, 4.97809
0.866, 4.97959
0.867, 4.98108
0.868, 4.98257
0.869, 4.98404
0.87, 4.9855
0.871, 4.98695
0.872, 4.9884
0.873, 4.98983
0.874, 4.99126
0.875, 4.99267
0.876, 4.99407
0.877, 4.99546
0.878, 4.99685
0.879, 4.99822
0.88, 4.99959
0.881, 5.00094
0.882, 5.00229
0.883, 5.00362
0.884, 5.00495
0.885, 5.00626
0.886, 5.00757
0.887, 5.00886
0.888, 5.01015
0.889, 5.01142
0.89, 5.01269
0.891, 5.01394
0.892, 5.01519
0.893, 5.01642
0.894, 5.01765
0.895, 5.01886
0.896, 5.02007
0.897, 5.02126
0.898, 5.02245
0.899, 5.02363
0.9, 5.0248
0.901, 5.02595
0.902, 5.0271
0.903, 5.02823
0.904, 5.02936
0.905, 5.03048
0.906, 5.03159
0.907, 5.03268
0.908, 5.03377
0.909, 5.03484
0.91, 5.03591
0.911, 5.03697
0.912, 5.03802
0.913, 5.03905
0.914, 5.04008
0.915, 5.0411
0.916, 5.04211
0.917, 5.0431
0.918, 5.04409
0.919, 5.04507
0.92, 5.04604
0.921, 5.047
0.922, 5.04795
0.923, 5.04888
0.924, 5.04981
0.925, 5.05073
0.926, 5.05164
0.927, 5.05253
0.928, 5.05343
0.929, 5.0543
0.93, 5.05517
0.931, 5.05603
0.932, 5.05688
0.933, 5.05772
0.934, 5.05855
0.935, 5.05937
0.936, 5.06018
0.937, 5.06097
0.938, 5.06177
0.939, 5.06254
0.94, 5.06331
0.941, 5.06407
0.942, 5.06482
0.943, 5.06556
0.944, 5.06629
0.945, 5.06701
0.946, 5.06772
0.947, 5.06842
0.948, 5.06911
0.949, 5.06979
0.95, 5.07046
0.951, 5.07112
0.952, 5.07177
0.953, 5.07241
0.954, 5.07304
0.955, 5.07366
0.956, 5.07427
0.957, 5.07487
0.958, 5.07546
0.959, 5.07604
0.96, 5.07661
0.961, 5.07717
0.962, 5.07772
0.963, 5.07826
0.964, 5.07879
0.965, 5.07931
0.966, 5.07982
0.967, 5.08032
0.968, 5.08081
0.969, 5.08129
0.97, 5.08176
0.971, 5.08222
0.972, 5.08268
0.973, 5.08311
0.974, 5.08355
0.975, 5.08396
0.976, 5.08438
0.977, 5.08477
0.978, 5.08517
0.979, 5.08554
0.98, 5.08592
0.981, 5.08628
0.982, 5.08663
0.983, 5.08697
0.984, 5.0873
0.985, 5.08762
0.986, 5.08793
0.987, 5.08823
0.988, 5.08852
0.989, 5.0888
0.99, 5.08907
0.991, 5.08933
0.992, 5.08959
0.993, 5.08982
0.994, 5.09006
0.995, 5.09027
0.996, 5.09049
0.997, 5.09068
0.998, 5.09088
0.999, 5.09105
1, 5.09123
1.001, 5.09138
1.002, 5.09154
1.003, 5.09168
1.004, 5.09181
1.005, 5.09193
1.006, 5.09204
1.007, 5.09214
1.008, 5.09223
1.009, 5.09231
1.01, 5.09238
1.011, 5.09244
1.012, 5.09249
1.013, 5.09253
1.014, 5.09256
1.015, 5.09259
1.016, 5.09261
1.017, 5.09263
1.018, 5.09265
1.019, 5.09266
1.02, 5.09268
1.021, 5.09268
1.022, 5.09269
1.023, 5.09268
1.024, 5.09268
1.025, 5.09267
1.026, 5.09266
1.027, 5.09264
1.028, 5.09262
1.029, 5.0926
1.03, 5.09258
1.031, 5.09254
1.032, 5.09251
1.033, 5.09247
1.034, 5.09243
1.035, 5.09239
1.036, 5.09234
1.037, 5.09228
1.038, 5.09223
1.039, 5.09217
1.04, 5.09211
1.041, 5.09204
1.042, 5.09197
1.043, 5.09189
1.044, 5.09182
1.045, 5.09173
1.046, 5.09165
1.047, 5.09156
1.048, 5.09147
1.049, 5.09137
1.05, 5.09127
1.051, 5.09117
1.052, 5.09106
1.053, 5.09095
1.054, 5.09084
1.055, 5.09072
1.056, 5.0906
1.057, 5.09047
1.058, 5.09034
1.059, 5.09021
1.06, 5.09007
1.061, 5.08993
1.062, 5.08979
1.063, 5.08964
1.064, 5.08949
1.065, 5.08933
1.066, 5.08918
1.067, 5.08902
1.068, 5.08885
1.069, 5.08868
1.07, 5.08851
1.071, 5.08833
1.072, 5.08815
1.073, 5.08815
1.074, 5.08811
1.075, 5.08806
1.076, 5.08803
1.077, 5.088
1.078, 5.08797
1.079, 5.08795
1.08, 5.08793
1.081, 5.08791
1.082, 5.0879
1.083, 5.08789
1.084, 5.08789
1.085, 5.08789
1.086, 5.08789
1.087, 5.08789
1.088, 5.0879
1.089, 5.08792
1.09, 5.08793
1.091, 5.08795
1.092, 5.08798
1.093, 5.08801
1.094, 5.08804
1.095, 5.08807
1.096, 5.08811
1.097, 5.08815
1.098, 5.0882
1.099, 5.08825
1.1, 5.08823
1.101, 5.08824
1.102, 5.08824
1.103, 5.08824
1.104, 5.08823
1.105, 5.08823
1.106, 5.08822
1.107, 5.0882
1.108, 5.0882
1.109, 5.08821
1.11, 5.08821
1.111, 5.08821
1.112, 5.08821
1.113, 5.08821
1.114, 5.08821
1.115, 5.0882
1.116, 5.08821
1.117, 5.08821
1.118, 5.08821
1.119, 5.0882
1.12, 5.08821
1.121, 5.08821
1.122, 5.08821
1.123, 5.08821
1.124, 5.08821
1.125, 5.08821
1.126, 5.08821
1.127, 5.08821
1.128, 5.08821
1.129, 5.08821
1.13, 5.08821
1.131, 5.08821
1.132, 5.08821
1.133, 5.08821
1.134, 5.08821
1.135, 5.08821
1.136, 5.08821
1.137, 5.08821
1.138, 5.08821
1.139, 5.08821
1.14, 5.08821
1.141, 5.08821
1.142, 5.08821
1.143, 5.08821
1.144, 5.08821
1.145, 5.08821
1.146, 5.08821
1.147, 5.08821
1.148, 5.08821
1.149, 5.08821
1.15, 5.08821
1.151, 5.08821
1.152, 5.08821
1.153, 5.08821
1.154, 5.08821
1.155, 5.08821
1.156, 5.08821
1.157, 5.08821
1.158, 5.08821
1.159, 5.08821
1.16, 5.08821
1.161, 5.08821
1.162, 5.08821
1.163, 5.08821
1.164, 5.08821
1.165, 5.08821
1.166, 5.08821
1.167, 5.08821
1.168, 5.08821
1.169, 5.08821
1.17, 5.08821
1.171, 5.08821
1.172, 5.08821
1.173, 5.08821
1.174, 5.08821
1.175, 5.08821
1.176, 5.08821
1.177, 5.08821
1.178, 5.08821
1.179, 5.08821
1.18, 5.08821
1.181, 5.08821
1.182, 5.08821
1.183, 5.08821
1.184, 5.08821
1.185, 5.08821
1.186, 5.08821
1.187, 5.08821
1.188, 5.08821
1.189, 5.08821
1.19, 5.08821
1.191, 5.08821
1.192, 5.08821
1.193, 5.08821
1.194, 5.08821
1.195, 5.08821
1.196, 5.08821
1.197, 5.08821
1.198, 5.08821
1.199, 5.08821
1.2, 5.08821
1.201, 5.08821
1.202, 5.08821
1.203, 5.08821
1.204, 5.08821
1.205, 5.08821
1.206, 5.08821
1.207, 5.08821
1.208, 5.08821
