sim_time, unit_box_Custom?world_pose/orientation/pitch
0.245, -9.25315e-07
0.246, 6.42492e-06
0.247, 9.27022e-07
0.248, -6.4225e-06
0.249, -9.25296e-07
0.25, 6.42495e-06
0.251, 9.27042e-07
0.252, -6.42247e-06
0.253, -9.25276e-07
0.254, 6.42498e-06
0.255, 9.27063e-07
0.256, -6.42244e-06
0.257, -9.25255e-07
0.258, 6.42501e-06
0.259, 9.27084e-07
0.26, -6.42241e-06
0.261, -9.25235e-07
0.262, 6.42504e-06
0.263, 9.27105e-07
0.264, -6.42238e-06
0.265, -9.25214e-07
0.266, 6.42507e-06
0.267, 9.27126e-07
0.268, -6.42235e-06
0.269, -9.25192e-07
0.27, 6.4251e-06
0.271, 9.27148e-07
0.272, -6.42232e-06
0.273, -9.25171e-07
0.274, 6.42513e-06
0.275, 9.27171e-07
0.276, -6.42229e-06
0.277, -9.25149e-07
0.278, 6.42516e-06
0.279, 9.27193e-07
0.28, -6.42226e-06
0.281, -9.25126e-07
0.282, 6.42519e-06
0.283, 9.27216e-07
0.284, -6.42223e-06
0.285, -9.25103e-07
0.286, 6.42523e-06
0.287, 9.27239e-07
0.288, -6.42219e-06
0.289, -9.2508e-07
0.29, 6.42526e-06
0.291, 9.27263e-07
0.292, -6.42216e-06
0.293, -9.25057e-07
0.294, 6.42529e-06
0.295, 9.27287e-07
0.296, -6.42213e-06
0.297, -9.25033e-07
0.298, 6.42533e-06
0.299, 9.27312e-07
0.3, -6.42209e-06
0.301, -9.25009e-07
0.302, 6.42536e-06
0.303, 9.27337e-07
0.304, -6.42206e-06
0.305, -9.24984e-07
0.306, 6.4254e-06
0.307, 9.27362e-07
0.308, -6.42202e-06
0.309, -9.24959e-07
0.31, 6.42543e-06
0.311, 9.27388e-07
0.312, -6.42198e-06
0.313, -9.24934e-07
0.314, 6.42547e-06
0.315, 9.27414e-07
0.316, -6.42195e-06
0.317, -9.24908e-07
0.318, 6.4255e-06
0.319, 9.27441e-07
0.32, -6.42191e-06
0.321, -9.24881e-07
0.322, 6.42554e-06
0.323, 9.27468e-07
0.324, -6.42187e-06
0.325, -9.24854e-07
0.326, 6.42558e-06
0.327, 9.27496e-07
0.328, -6.42183e-06
0.329, -9.24827e-07
0.33, 6.42562e-06
0.331, 9.27524e-07
0.332, -6.42179e-06
0.333, -9.24799e-07
0.334, 6.42566e-06
0.335, 9.27552e-07
0.336, -6.42175e-06
0.337, -9.24771e-07
0.338, 6.4257e-06
0.339, 9.27581e-07
0.34, -6.42171e-06
0.341, -9.24743e-07
0.342, 6.42574e-06
0.343, 9.27611e-07
0.344, -6.42167e-06
0.345, -9.24713e-07
0.346, 6.42578e-06
0.347, 9.27641e-07
0.348, -6.42163e-06
0.349, -9.24684e-07
0.35, 6.42582e-06
0.351, 9.27672e-07
0.352, -6.42158e-06
0.353, -9.24654e-07
0.354, 6.42587e-06
0.355, 9.27703e-07
0.356, -6.42154e-06
0.357, -9.24623e-07
0.358, 6.42591e-06
0.359, 9.27735e-07
0.36, -6.4215e-06
0.361, -9.24592e-07
0.362, 6.42595e-06
0.363, 9.27767e-07
0.364, -6.42145e-06
0.365, -9.2456e-07
0.366, 6.426e-06
0.367, 9.278e-07
0.368, -6.4214e-06
0.369, -9.24527e-07
0.37, 6.42605e-06
0.371, 9.27833e-07
0.372, -6.42136e-06
0.373, -9.24494e-07
0.374, 6.42609e-06
0.375, 9.27867e-07
0.376, -6.42131e-06
0.377, -9.24461e-07
0.378, 6.42614e-06
0.379, 9.27902e-07
0.38, -6.42126e-06
0.381, -9.24427e-07
0.382, 6.42619e-06
0.383, 9.27937e-07
0.384, -6.42121e-06
0.385, -9.24392e-07
0.386, 6.42624e-06
0.387, 9.27973e-07
0.388, -6.42116e-06
0.389, -9.24357e-07
0.39, 6.42629e-06
0.391, 9.2801e-07
0.392, -6.42111e-06
0.393, -9.24321e-07
0.394, 6.42634e-06
0.395, 9.28047e-07
0.396, -6.42105e-06
0.397, -9.24284e-07
0.398, 6.42639e-06
0.399, 9.28085e-07
0.4, -6.421e-06
0.401, -9.24247e-07
0.402, 6.42645e-06
0.403, 9.28124e-07
0.404, -6.42095e-06
0.405, -9.24209e-07
0.406, 6.4265e-06
0.407, 9.28163e-07
0.408, -6.42089e-06
0.409, -9.2417e-07
0.41, 6.42656e-06
0.411, 9.28203e-07
0.412, -6.42084e-06
