sim_time, unit_box_Custom?world_angular_acceleration/y
0.32, -1.85138
0.321, 12.8463
0.322, 1.85349
0.323, -12.8484
0.324, -1.85136
0.325, 12.8463
0.326, 1.85351
0.327, -12.8484
0.328, -1.85134
0.329, 12.8462
0.33, 1.85353
0.331, -12.8484
0.332, -1.85132
0.333, 12.8462
0.334, 1.85356
0.335, -12.8485
0.336, -1.85129
0.337, 12.8462
0.338, 1.85358
0.339, -12.8485
0.34, -1.85127
0.341, 12.8462
0.342, 1.85361
0.343, -12.8485
0.344, -1.85125
0.345, 12.8461
0.346, 1.85363
0.347, -12.8485
0.348, -1.85122
0.349, 12.8461
0.35, 1.85366
0.351, -12.8486
0.352, -1.8512
0.353, 12.8461
0.354, 1.85368
0.355, -12.8486
0.356, -1.85117
0.357, 12.8461
0.358, 1.85371
0.359, -12.8486
0.36, -1.85115
0.361, 12.846
0.362, 1.85374
0.363, -12.8486
0.364, -1.85112
0.365, 12.846
0.366, 1.85376
0.367, -12.8487
0.368, -1.8511
0.369, 12.846
0.37, 1.85379
0.371, -12.8487
0.372, -1.85107
0.373, 12.846
0.374, 1.85382
0.375, -12.8487
0.376, -1.85104
0.377, 12.8459
0.378, 1.85385
0.379, -12.8487
0.38, -1.85102
0.381, 12.8459
0.382, 1.85388
0.383, -12.8488
0.384, -1.85099
0.385, 12.8459
0.386, 1.85391
0.387, -12.8488
0.388, -1.85096
0.389, 12.8458
0.39, 1.85394
0.391, -12.8488
0.392, -1.85093
0.393, 12.8458
0.394, 1.85397
0.395, -12.8489
0.396, -1.8509
0.397, 12.8458
0.398, 1.854
0.399, -12.8489
0.4, -1.85087
0.401, 12.8457
0.402, 1.85403
0.403, -12.8489
0.404, -1.85084
0.405, 12.8457
0.406, 1.85406
0.407, -12.8489
0.408, -1.85081
0.409, 12.8457
0.41, 1.8541
0.411, -12.849
0.412, -1.85078
0.413, 12.8456
0.414, 1.85413
0.415, -12.849
0.416, -1.85075
0.417, 12.8456
0.418, 1.85417
0.419, -12.849
0.42, -1.85071
0.421, 12.8456
0.422, 1.8542
0.423, -12.8491
0.424, -1.85068
0.425, 12.8455
0.426, 1.85424
0.427, -12.8491
0.428, -1.85065
0.429, 12.8455
0.43, 1.85427
0.431, -12.8491
0.432, -1.85061
0.433, 12.8455
0.434, 1.85431
0.435, -12.8492
0.436, -1.85058
0.437, 12.8454
0.438, 1.85435
0.439, -12.8492
0.44, -1.85054
0.441, 12.8454
0.442, 1.85439
0.443, -12.8493
0.444, -1.8505
0.445, 12.8453
0.446, 1.85443
0.447, -12.8493
0.448, -1.85047
0.449, 12.8453
0.45, 1.85447
0.451, -12.8493
0.452, -1.85043
0.453, 12.8453
0.454, 1.85451
0.455, -12.8494
0.456, -1.85039
0.457, 12.8452
0.458, 1.85455
0.459, -12.8494
0.46, -1.85035
0.461, 12.8452
0.462, 1.85459
0.463, -12.8494
0.464, -1.85031
0.465, 12.8451
0.466, 1.85463
0.467, -12.8495
0.468, -1.85027
0.469, 12.8451
0.47, 1.85468
0.471, -12.8495
0.472, -1.85023
0.473, 12.8451
0.474, 1.85472
0.475, -12.8496
0.476, -1.85019
0.477, 12.845
0.478, 1.85477
0.479, -12.8496
