Time,X Velocity,Y Velocity,Z Velocity,X Position,Y Position,Z Position,Roll,Yaw,Pitch,X Angular Velocity,Y Angular Velocity,Z Angular Velocity
0.001,-2.35E-07,9.9902,9.11E-09,-2.25E-10,0.0099902,0.5,2.83E-20,-2.24E-10,-2.24E-10,1.02E-17,-2.35E-07,-2.35E-07
0.002,0.00534526,9.98307,-0.00267263,5.35E-06,0.0199733,0.499997,-1.35E-10,5.34E-06,5.35E-06,-1.50E-07,0.00534534,0.00534519
0.003,-0.00511587,9.96791,0.00268609,2.29E-07,0.0299412,0.5,-5.99E-08,2.54E-07,1.94E-07,-5.62E-05,-0.00514909,-0.00509321
0.004,-0.00767099,9.96451,-0.00370884,-7.44E-06,0.0399057,0.499996,-1.16E-07,-7.39E-06,-7.50E-06,-5.62E-05,-0.00769893,-0.00764305
0.005,0.00590304,9.94641,0.00459028,-1.54E-06,0.0498521,0.500001,-1.72E-07,-1.46E-06,-1.63E-06,-5.62E-05,0.00587522,0.00593111
0.006,0.00716041,9.94473,-0.00353326,5.62E-06,0.0597968,0.499997,-2.28E-07,5.73E-06,5.50E-06,-5.62E-05,0.00713246,0.00718835
0.007,-0.00505549,9.92844,0.00295523,5.66E-07,0.0697253,0.5,-2.85E-07,7.01E-07,4.18E-07,-5.62E-05,-0.00508451,-0.00502862
0.008,-0.0074362,9.92527,-0.00367085,-6.87E-06,0.0796506,0.499997,-3.41E-07,-6.71E-06,-7.05E-06,-5.62E-05,-0.00746414,-0.00740826
0.009,0.00580204,9.90762,0.00418054,-1.07E-06,0.0895582,0.500001,-3.97E-07,-8.77E-07,-1.27E-06,-5.63E-05,0.00577425,0.00583018
0.01,0.00731125,9.90561,-0.00360723,6.24E-06,0.0994638,0.499997,-4.53E-07,6.46E-06,6.01E-06,-5.63E-05,0.00728328,0.00733921
0.011,-0.00527454,9.88883,0.00337426,9.69E-07,0.109353,0.500001,-5.10E-07,1.22E-06,7.09E-07,-5.63E-05,-0.00530293,-0.00524701
0.012,-0.00735637,9.88605,-0.0036501,-6.39E-06,0.119239,0.499997,-5.66E-07,-6.11E-06,-6.68E-06,-5.63E-05,-0.00738432,-0.00732841
0.013,0.00564591,9.86871,0.00388666,-7.42E-07,0.129107,0.500001,-6.22E-07,-4.39E-07,-1.06E-06,-5.64E-05,0.00561815,0.00567413
0.014,0.00735897,9.86643,-0.00362933,6.62E-06,0.138974,0.499997,-6.79E-07,6.95E-06,6.27E-06,-5.64E-05,0.00733098,0.00738697
0.015,-0.00539654,9.84942,0.00357845,1.22E-06,0.148823,0.500001,-7.35E-07,1.58E-06,8.49E-07,-5.64E-05,-0.00542485,-0.00536889
0.016,-0.00733201,9.84684,-0.00364103,-6.11E-06,0.15867,0.499997,-7.92E-07,-5.73E-06,-6.51E-06,-5.64E-05,-0.00735998,-0.00730403
0.017,0.00556855,9.82964,0.0037601,-5.43E-07,0.1685,0.500001,-8.48E-07,-1.28E-07,-9.70E-07,-5.66E-05,0.00554079,0.00559684
0.018,0.00737236,9.82723,-0.0036349,6.83E-06,0.178327,0.499997,-9.05E-07,7.27E-06,6.37E-06,-5.66E-05,0.00734433,0.00740039
0.019,-0.00544504,9.81014,0.00365538,1.38E-06,0.188137,0.500001,-9.62E-07,1.85E-06,9.00E-07,-5.66E-05,-0.00547335,-0.00541732
0.02,-0.00732493,9.80764,-0.00363819,-5.94E-06,0.197945,0.499997,-1.02E-06,-5.44E-06,-6.45E-06,-5.66E-05,-0.00735293,-0.00729691
0.021,0.00553991,9.79048,0.0037153,-4.01E-07,0.207735,0.500001,-1.08E-06,1.26E-07,-9.40E-07,-5.68E-05,0.00551212,0.00556826
0.022,0.00737626,9.78804,-0.00363631,6.98E-06,0.217523,0.499997,-1.13E-06,7.53E-06,6.41E-06,-5.68E-05,0.00734819,0.00740434
0.023,-0.00546172,9.77092,0.00368143,1.51E-06,0.227294,0.500001,-1.19E-06,2.10E-06,9.18E-07,-5.69E-05,-0.00549006,-0.00543395
0.024,-0.00732277,9.76844,-0.00363725,-5.81E-06,0.237063,0.499997,-1.25E-06,-5.20E-06,-6.43E-06,-5.69E-05,-0.00735082,-0.00729471
0.025,0.00553038,9.7513,0.00370065,-2.78E-07,0.246814,0.500001,-1.30E-06,3.61E-07,-9.30E-07,-5.71E-05,0.00550254,0.00555879
0.026,0.0073775,9.74884,-0.00363661,7.10E-06,0.256563,0.499997,-1.36E-06,7.77E-06,6.42E-06,-5.71E-05,0.00734937,0.00740564
0.027,-0.0054671,9.73171,0.00368997,1.63E-06,0.266294,0.500001,-1.42E-06,2.33E-06,9.23E-07,-5.72E-05,-0.0054955,-0.00543928
0.028,-0.00732206,9.72924,-0.00363685,-5.69E-06,0.276024,0.499998,-1.47E-06,-4.97E-06,-6.43E-06,-5.72E-05,-0.00735016,-0.00729395
0.029,0.00552734,9.7121,0.00369606,-1.63E-07,0.285736,0.500001,-1.53E-06,5.89E-07,-9.27E-07,-5.74E-05,0.00549945,0.00555583
0.03,0.00737794,9.70964,-0.00363657,7.22E-06,0.295445,0.499998,-1.59E-06,8.00E-06,6.42E-06,-5.75E-05,0.00734974,0.00740614
0.031,-0.00546878,9.69251,0.00369283,1.75E-06,0.305138,0.500001,-1.65E-06,2.55E-06,9.25E-07,-5.75E-05,-0.00549724,-0.0054409
0.032,-0.00732178,9.69004,-0.00363659,-5.58E-06,0.314828,0.499998,-1.70E-06,-4.74E-06,-6.42E-06,-5.75E-05,-0.00734994,-0.00729361
0.033,0.00552644,9.67291,0.00369474,-4.89E-08,0.324501,0.500001,-1.76E-06,8.16E-07,-9.26E-07,-5.78E-05,0.00549846,0.005555
0.034,0.00737814,9.67044,-0.00363643,7.33E-06,0.334171,0.499998,-1.82E-06,8.22E-06,6.42E-06,-5.78E-05,0.00734986,0.00740642
