sim_time, unit_box_Custom?world_linear_velocity/z
0.001, 9.11063e-09
0.002, -0.00267263
0.003, 0.00268609
0.004, -0.00370884
0.005, 0.00459028
0.006, -0.00353326
0.007, 0.00295523
0.008, -0.00367085
0.009, 0.00418054
0.01, -0.00360723
0.011, 0.00337426
0.012, -0.0036501
0.013, 0.00388666
0.014, -0.00362933
0.015, 0.00357845
0.016, -0.00364103
0.017, 0.0037601
0.018, -0.0036349
0.019, 0.00365538
0.02, -0.00363819
0.021, 0.0037153
0.022, -0.00363631
0.023, 0.00368143
0.024, -0.00363725
0.025, 0.00370065
0.026, -0.00363661
0.027, 0.00368997
0.028, -0.00363685
0.029, 0.00369606
0.03, -0.00363657
0.031, 0.00369283
0.032, -0.00363659
0.033, 0.00369474
0.034, -0.00363643
0.035, 0.00369391
0.036, -0.00363636
0.037, 0.00369446
0.038, -0.00363622
0.039, 0.00369443
0.04, -0.00363612
0.041, 0.00369455
0.042, -0.00363598
0.043, 0.00369479
0.044, -0.00363586
0.045, 0.00369476
0.046, -0.00363571
0.047, 0.00369513
0.048, -0.00363557
0.049, 0.00369504
0.05, -0.00363541
0.051, 0.00369547
0.052, -0.00363525
0.053, 0.00369535
0.054, -0.00363508
0.055, 0.00369583
0.056, -0.00363491
0.057, 0.0036957
0.058, -0.00363472
0.059, 0.00369622
0.06, -0.00363454
0.061, 0.00369608
0.062, -0.00363433
0.063, 0.00369664
0.064, -0.00363414
0.065, 0.00369649
0.066, -0.00363391
0.067, 0.00369709
0.068, -0.00363371
0.069, 0.00369692
0.07, -0.00363347
0.071, 0.00369757
0.072, -0.00363325
0.073, 0.00369739
0.074, -0.00363299
0.075, 0.00369808
0.076, -0.00363276
0.077, 0.00369789
0.078, -0.00363249
0.079, 0.00369862
0.08, -0.00363224
0.081, 0.00369842
0.082, -0.00363195
0.083, 0.00369919
0.084, -0.00363168
0.085, 0.00369898
0.086, -0.00363138
0.087, 0.00369979
0.088, -0.0036311
0.089, 0.00369957
0.09, -0.00363078
0.091, 0.00370042
0.092, -0.00363048
0.093, 0.00370019
0.094, -0.00363015
0.095, 0.00370109
0.096, -0.00362983
0.097, 0.00370085
0.098, -0.00362948
0.099, 0.00370179
0.1, -0.00362915
0.101, 0.00370154
0.102, -0.00362878
0.103, 0.00370253
0.104, -0.00362844
0.105, 0.00370227
0.106, -0.00362805
0.107, 0.00370296
0.108, -0.00362736
0.109, 0.00370287
0.11, -0.00362678
0.111, 0.00370334
0.112, -0.00362648
0.113, 0.00370359
0.114, -0.00362601
0.115, 0.00370434
0.116, -0.00362563
0.117, 0.00370429
0.118, -0.00362518
0.119, 0.0037053
0.12, -0.00362477
0.121, 0.0037051
0.122, -0.0036243
0.123, 0.00370625
0.124, -0.00362386
0.125, 0.00370598
0.126, -0.00362338
0.127, 0.00370721
0.128, -0.00362292
0.129, 0.00370692
0.13, -0.00362242
0.131, 0.00370821
0.132, -0.00362194
0.133, 0.0037079
0.134, -0.00362141
0.135, 0.00370924
0.136, -0.00362092
0.137, 0.00370893
0.138, -0.00362037
0.139, 0.00371032
0.14, -0.00361986
0.141, 0.00370999
0.142, -0.00361929
0.143, 0.00371143
0.144, -0.00361876
0.145, 0.0037111
0.146, -0.00361816
0.147, 0.00371259
0.148, -0.00361761
0.149, 0.00371225
0.15, -0.00361699
0.151, 0.0037138
0.152, -0.00361642
0.153, 0.00371345
0.154, -0.00361578
0.155, 0.00371505
0.156, -0.00361518
0.157, 0.00371469
0.158, -0.00361451
0.159, 0.00371635
0.16, -0.00361389
0.161, 0.00371598
0.162, -0.00361321
0.163, 0.00371769
0.164, -0.00361256
0.165, 0.00371732
0.166, -0.00361185
0.167, 0.00371909
0.168, -0.00361118
0.169, 0.00371871
0.17, -0.00361044
0.171, 0.00372053
0.172, -0.00360975
0.173, 0.00372015
0.174, -0.00360898
0.175, 0.00372203
0.176, -0.00360826
0.177, 0.00372164
0.178, -0.00360747
0.179, 0.00372358
0.18, -0.00360672
0.181, 0.00372318
0.182, -0.0036059
0.183, 0.00372519
0.184, -0.00360513
0.185, 0.00372478
0.186, -0.00360428
0.187, 0.00372685
0.188, -0.00360348
0.189, 0.00372644
0.19, -0.0036026
0.191, 0.00372857
0.192, -0.00360177
0.193, 0.00372816
0.194, -0.00360086
0.195, 0.00373035
0.196, -0.00360001
0.197, 0.00372993
0.198, -0.00359907
0.199, 0.00373219
0.2, -0.00359818
0.201, 0.00373177
0.202, -0.00359721
0.203, 0.0037341
0.204, -0.00359629
0.205, 0.00373367
0.206, -0.00359528
0.207, 0.00373607
0.208, -0.00359433
0.209, 0.00373564
0.21, -0.00359329
0.211, 0.0037381
0.212, -0.00359231
0.213, 0.00373767
0.214, -0.00359124
0.215, 0.00374021
0.216, -0.00359022
0.217, 0.00373977
0.218, -0.00358911
0.219, 0.00374238
0.22, -0.00358806
0.221, 0.00374195
0.222, -0.00358691
0.223, 0.00374463
0.224, -0.00358583
0.225, 0.00374419
0.226, -0.00358464
0.227, 0.00374695
0.228, -0.00358352
0.229, 0.00374651
0.23, -0.0035823
0.231, 0.00374935
0.232, -0.00358114
0.233, 0.00374891
0.234, -0.00357987
0.235, 0.00375183
0.236, -0.00357867
0.237, 0.00375139
0.238, -0.00357737
0.239, 0.00375439
0.24, -0.00357613
0.241, 0.00375395
0.242, -0.00357478
0.243, 0.00375703
0.244, -0.0035735
0.245, 0.00375659
0.246, -0.00357211
0.247, 0.00375976
0.248, -0.00357079
0.249, 0.00375932
0.25, -0.00356935
0.251, 0.00376258
0.252, -0.00356798
0.253, 0.00376214
