sim_time, unit_box_Custom?world_angular_velocity/z
0.289, 0.00561285
0.29, 0.00746665
0.291, -0.00538329
0.292, -0.00723506
0.293, 0.00561478
0.294, 0.00746862
0.295, -0.00538141
0.296, -0.00723317
0.297, 0.00561675
0.298, 0.00747062
0.299, -0.00537949
0.3, -0.00723124
0.301, 0.00561876
0.302, 0.00747267
0.303, -0.00537753
0.304, -0.00722927
0.305, 0.00562082
0.306, 0.00747476
0.307, -0.00537553
0.308, -0.00722726
0.309, 0.00562292
0.31, 0.0074769
0.311, -0.00537349
0.312, -0.00722521
0.313, 0.00562506
0.314, 0.00747908
0.315, -0.0053714
0.316, -0.00722311
0.317, 0.00562725
0.318, 0.00748131
0.319, -0.00536927
0.32, -0.00722097
0.321, 0.00562949
0.322, 0.00748359
0.323, -0.00536709
0.324, -0.00721878
0.325, 0.00563177
0.326, 0.00748591
0.327, -0.00536487
0.328, -0.00721655
0.329, 0.00563411
0.33, 0.00748829
0.331, -0.0053626
0.332, -0.00721428
0.333, 0.00563649
0.334, 0.00749071
0.335, -0.00536029
0.336, -0.00721195
0.337, 0.00563892
0.338, 0.00749319
0.339, -0.00535793
0.34, -0.00720958
0.341, 0.0056414
0.342, 0.00749571
0.343, -0.00535552
0.344, -0.00720716
0.345, 0.00564394
0.346, 0.00749829
0.347, -0.00535306
0.348, -0.0072047
0.349, 0.00564653
0.35, 0.00750093
0.351, -0.00535055
0.352, -0.00720218
0.353, 0.00564917
0.354, 0.00750361
0.355, -0.005348
0.356, -0.00719961
0.357, 0.00565186
0.358, 0.00750636
0.359, -0.00534539
0.36, -0.00719699
0.361, 0.00565461
0.362, 0.00750916
0.363, -0.00534272
0.364, -0.00719432
0.365, 0.00565742
0.366, 0.00751202
0.367, -0.00534001
0.368, -0.00719159
0.369, 0.00566029
0.37, 0.00751493
0.371, -0.00533723
0.372, -0.00718881
0.373, 0.00566321
0.374, 0.00751791
0.375, -0.00533441
0.376, -0.00718597
0.377, 0.00566619
0.378, 0.00752095
0.379, -0.00533152
0.38, -0.00718308
0.381, 0.00566924
0.382, 0.00752405
0.383, -0.00532858
0.384, -0.00718013
0.385, 0.00567234
0.386, 0.00752721
0.387, -0.00532559
0.388, -0.00717713
0.389, 0.00567551
0.39, 0.00753044
0.391, -0.00532253
0.392, -0.00717406
0.393, 0.00567875
0.394, 0.00753373
0.395, -0.00531941
0.396, -0.00717093
0.397, 0.00568204
0.398, 0.00753709
0.399, -0.00531623
0.4, -0.00716775
0.401, 0.00568541
0.402, 0.00754052
0.403, -0.00531299
0.404, -0.0071645
0.405, 0.00568884
0.406, 0.00754402
0.407, -0.00530968
0.408, -0.00716118
0.409, 0.00569234
0.41, 0.00754758
0.411, -0.00530631
0.412, -0.00715781
0.413, 0.00569592
0.414, 0.00755122
0.415, -0.00530288
0.416, -0.00715436
0.417, 0.00569956
0.418, 0.00755494
0.419, -0.00529937
0.42, -0.00715085
