Time,Y Velocity,Y Position
0.001,1,0.001
0.002,0.98038,0.00198038
0.003,0.97057,0.002955855
0.004,0.96076,0.00392152
0.005,0.95095,0.004877375
0.006,0.94114,0.00582342
0.007,0.93133,0.006759655
0.008,0.92152,0.00768608
0.009,0.91171,0.008602695
0.01,0.9019,0.0095095
0.011,0.89209,0.010406495
0.012,0.88228,0.01129368
0.013,0.87247,0.012171055
0.014,0.86266,0.01303862
0.015,0.85285,0.013896375
0.016,0.84304,0.01474432
0.017,0.83323,0.015582455
0.018,0.82342,0.01641078
0.019,0.81361,0.017229295
0.02,0.8038,0.018038
0.021,0.79399,0.018836895
0.022,0.78418,0.01962598
0.023,0.77437,0.020405255
0.024,0.76456,0.02117472
0.025,0.75475,0.021934375
0.026,0.74494,0.02268422
0.027,0.73513,0.023424255
0.028,0.72532,0.02415448
0.029,0.71551,0.024874895
0.03,0.7057,0.0255855
0.031,0.69589,0.026286295
0.032,0.68608,0.02697728
0.033,0.67627,0.027658455
0.034,0.66646,0.02832982
0.035,0.65665,0.028991375
0.036,0.64684,0.02964312
0.037,0.63703,0.030285055
0.038,0.62722,0.03091718
0.039,0.61741,0.031539495
0.04,0.6076,0.032152
0.041,0.59779,0.032754695
0.042,0.58798,0.03334758
0.043,0.57817,0.033930655
0.044,0.56836,0.03450392
0.045,0.55855,0.035067375
0.046,0.54874,0.03562102
0.047,0.53893,0.036164855
0.048,0.52912,0.03669888
0.049,0.51931,0.037223095
0.05,0.5095,0.0377375
0.051,0.49969,0.038242095
0.052,0.48988,0.03873688
0.053,0.48007,0.039221855
0.054,0.47026,0.03969702
0.055,0.46045,0.040162375
0.056,0.45064,0.04061792
0.057,0.44083,0.041063655
0.058,0.43102,0.04149958
0.059,0.42121,0.041925695
0.06,0.4114,0.042342
0.061,0.40159,0.042748495
0.062,0.39178,0.04314518
0.063,0.38197,0.043532055
0.064,0.37216,0.04390912
0.065,0.36235,0.044276375
0.066,0.35254,0.04463382
0.067,0.34273,0.044981455
0.068,0.33292,0.04531928
0.069,0.32311,0.045647295
0.07,0.3133,0.0459655
0.071,0.30349,0.046273895
0.072,0.29368,0.04657248
0.073,0.28387,0.046861255
0.074,0.27406,0.04714022
0.075,0.26425,0.047409375
0.076,0.25444,0.04766872
0.077,0.24463,0.047918255
0.078,0.23482,0.04815798
0.079,0.22501,0.048387895
0.08,0.2152,0.048608
0.081,0.20539,0.048818295
0.082,0.19558,0.04901878
0.083,0.18577,0.049209455
0.084,0.17596,0.04939032
0.085,0.16615,0.049561375
0.086,0.15634,0.04972262
0.087,0.14653,0.049874055
0.088,0.13672,0.05001568
0.089,0.12691,0.050147495
0.09,0.1171,0.0502695
0.091,0.10729,0.050381695
0.092,0.09748,0.05048408
0.093,0.08767,0.050576655
0.094,0.07786,0.05065942
0.095,0.06805,0.050732375
0.096,0.05824,0.05079552
0.097,0.04843,0.050848855
0.098,0.03862,0.05089238
0.099,0.02881,0.050926095
0.1,0.019,0.05095
0.101,0.00919,0.050964095
0.102,0,0.050964095
0.103,0,0.050964095
0.104,0,0.050964095
0.105,0,0.050964095
0.106,0,0.050964095
0.107,0,0.050964095
0.108,0,0.050964095
0.109,0,0.050964095
0.11,0,0.050964095
0.111,0,0.050964095
0.112,0,0.050964095
0.113,0,0.050964095
0.114,0,0.050964095
0.115,0,0.050964095
0.116,0,0.050964095
0.117,0,0.050964095
0.118,0,0.050964095
0.119,0,0.050964095
0.12,0,0.050964095
0.121,0,0.050964095
0.122,0,0.050964095
0.123,0,0.050964095
0.124,0,0.050964095
0.125,0,0.050964095
0.126,0,0.050964095
0.127,0,0.050964095
0.128,0,0.050964095
0.129,0,0.050964095
0.13,0,0.050964095
0.131,0,0.050964095
0.132,0,0.050964095
0.133,0,0.050964095
0.134,0,0.050964095
0.135,0,0.050964095
0.136,0,0.050964095
0.137,0,0.050964095
0.138,0,0.050964095
0.139,0,0.050964095
0.14,0,0.050964095
0.141,0,0.050964095
0.142,0,0.050964095
0.143,0,0.050964095
0.144,0,0.050964095
0.145,0,0.050964095
0.146,0,0.050964095
0.147,0,0.050964095
0.148,0,0.050964095
0.149,0,0.050964095
0.15,0,0.050964095
0.151,0,0.050964095
0.152,0,0.050964095
0.153,0,0.050964095
0.154,0,0.050964095
0.155,0,0.050964095
0.156,0,0.050964095
0.157,0,0.050964095
0.158,0,0.050964095
0.159,0,0.050964095
0.16,0,0.050964095
0.161,0,0.050964095
0.162,0,0.050964095
0.163,0,0.050964095
0.164,0,0.050964095
0.165,0,0.050964095
0.166,0,0.050964095
0.167,0,0.050964095
0.168,0,0.050964095
0.169,0,0.050964095
