sim_time, unit_box_Custom?world_angular_velocity/x
0.001, -3.97404e-15
0.002, 4.51652e-16
0.003, -1.41532e-17
0.004, -1.54414e-17
0.005, -1.67296e-17
0.006, -1.06116e-17
0.007, -1.36762e-17
0.008, -1.36321e-17
0.009, -1.22558e-17
0.01, -1.26559e-17
0.011, -6.83868e-18
0.012, -1.70087e-17
0.013, -1.57079e-17
0.014, -1.16671e-17
0.015, -1.1179e-17
0.016, -1.69081e-17
0.017, -1.19791e-17
0.018, -1.68201e-17
0.019, -1.18911e-17
0.02, -1.6732e-17
0.021, -1.22471e-17
0.022, -1.61998e-17
0.023, -1.03826e-17
0.024, -1.43354e-17
0.025, -1.47355e-17
0.026, -1.57228e-17
0.027, -1.47905e-17
0.028, -1.03056e-17
0.029, -1.02616e-17
0.03, -1.52457e-17
0.031, -1.6534e-17
0.032, -1.11608e-17
0.033, -1.51135e-17
0.034, -1.2405e-17
0.035, -1.72459e-17
0.036, -1.00965e-17
0.037, -1.58256e-17
0.038, -1.97783e-17
0.039, -1.18839e-17
0.04, -1.27281e-17
0.041, -1.04636e-17
0.042, -1.17518e-17
0.043, -1.89564e-17
0.044, -1.80242e-17
0.045, -9.54245e-18
0.046, -9.05433e-18
0.047, -1.62589e-17
0.048, -1.35504e-17
0.049, -1.21741e-17
0.05, -1.96795e-17
0.051, -1.07537e-17
0.052, -1.33742e-17
0.053, -1.4738e-17
0.054, -1.33617e-17
0.055, -1.28736e-17
0.056, -1.60137e-17
0.057, -9.30829e-18
0.058, -1.41492e-17
0.059, -1.46248e-17
0.06, -1.65003e-17
0.061, -9.93817e-18
0.062, -1.34469e-17
0.063, -1.47351e-17
0.064, -1.4691e-17
0.065, -1.03493e-17
0.066, -1.52658e-17
0.067, -1.21131e-17
0.068, -1.08123e-17
0.069, -9.13519e-18
0.07, -1.39762e-17
0.071, -1.58517e-17
0.072, -1.36628e-17
0.073, -1.71714e-17
0.074, -1.14298e-17
0.075, -1.86344e-17
0.076, -1.32612e-17
0.077, -1.05527e-17
0.078, -1.18409e-17
0.079, -1.68252e-17
0.08, -1.0263e-17
0.081, -1.2515e-17
0.082, -1.15828e-17
0.083, -2.04205e-17
0.084, -1.11261e-17
0.085, -1.37466e-17
0.086, -1.45908e-17
0.087, -1.41782e-17
0.088, -1.19137e-17
