sim_time, unit_box_Custom?world_angular_acceleration/y
0.001, -2.13692e-14
0.002, -9.52904e-13
0.003, 9.63546e-13
0.004, 1.4715e-15
0.005, 1.4715e-15
0.006, -4.92339e-15
0.007, 2.8926e-15
0.008, -1.5483e-15
0.009, 1.47152e-15
0.01, 1.47151e-15
0.011, -4.21283e-15
0.012, 5.37949e-15
0.013, -5.81156e-15
0.014, 2.53734e-15
0.015, -1.01538e-15
0.016, -2.4365e-15
0.017, 4.66901e-15
0.018, -1.37067e-15
0.019, -2.79173e-15
0.02, 2.53733e-15
0.021, -1.5483e-15
0.022, 4.31366e-15
0.023, -5.27862e-15
0.024, 7.51113e-15
0.025, -3.147e-15
0.026, -2.43647e-15
0.027, -1.19303e-15
0.028, 4.84659e-15
0.029, -6.52206e-15
0.03, 3.07021e-15
0.031, 1.47151e-15
0.032, 2.28052e-16
0.033, 2.18209e-15
0.034, -4.03521e-15
0.035, -3.04869e-16
0.036, 1.64916e-15
0.037, 1.47152e-15
0.038, -4.5681e-15
0.039, 3.24787e-15
0.04, 2.28067e-16
0.041, -1.72594e-15
0.042, 1.11622e-15
0.043, 7.60961e-16
0.044, -1.90354e-15
0.045, 1.11624e-15
0.046, 2.18208e-15
0.047, -5.27867e-15
0.048, 3.78078e-15
0.049, 2.18204e-15
0.05, -5.9892e-15
0.051, 4.49131e-15
0.052, -1.90356e-15
0.053, -8.37767e-16
0.054, -1.37067e-15
0.055, 3.95841e-15
0.056, -1.90354e-15
0.057, -3.04833e-16
0.058, 7.60957e-16
0.059, 2.2807e-16
0.06, -1.01537e-15
0.061, -4.82461e-16
0.062, 2.35972e-15
0.063, 5.04272e-17
0.064, -1.54829e-15
0.065, 1.4715e-15
0.066, 1.29386e-15
0.067, -5.98919e-15
0.068, 5.20187e-15
0.069, -6.60114e-16
0.07, 5.0471e-17
0.071, -1.72595e-15
0.072, -1.54828e-15
0.073, 2.71495e-15
0.074, -4.82448e-16
0.075, -2.08117e-15
0.076, 4.13604e-15
0.077, -5.45631e-15
0.078, 6.80062e-15
0.079, -2.25885e-15
0.08, 9.38626e-16
0.081, -5.10099e-15
0.082, 5.9124e-15
0.083, -4.74572e-15
0.084, 3.42551e-15
0.085, -2.61411e-15
0.086, -2.6141e-15
0.087, 5.20187e-15
0.088, -1.72594e-15
0.089, 2.28073e-16
0.09, 2.28043e-16
0.091, 2.53736e-15
0.092, -4.92339e-15
0.093, 4.66899e-15
0.094, -5.81157e-15
0.095, 2.00443e-15
0.096, 2.28045e-16
0.097, 7.60991e-16
0.098, -8.37753e-16
0.099, 2.35972e-15
0.1, 1.64914e-15
0.101, -6.16681e-15
0.102, 3.7808e-15
0.103, 5.04196e-17
0.104, 5.83339e-16
0.105, -2.4365e-15
0.106, -1.54828e-15
0.107, 6.97822e-15
0.108, -5.81155e-15
0.109, -8.37742e-16
0.11, 6.80059e-15
0.111, -6.52207e-15
0.112, 5.20186e-15
0.113, -6.69973e-15
0.114, 3.95843e-15
0.115, -1.37068e-15
0.116, -1.37067e-15
0.117, 3.60315e-15
0.118, -2.0812e-15
0.119, 5.04236e-17
0.12, 2.00438e-15
0.121, 7.60989e-16
0.122, -4.74573e-15
0.123, 8.22168e-15
0.124, -5.45628e-15
0.125, -1.7259e-15
0.126, 3.24788e-15
0.127, 5.04647e-17
0.128, -2.79173e-15
0.129, -2.6141e-15
0.13, 4.49131e-15
0.131, 7.60963e-16
0.132, -3.04819e-16
0.133, -2.43647e-15
0.134, 7.60955e-16
0.135, 3.95841e-15
0.136, -2.96939e-15
0.137, 2.28044e-16
0.138, 1.11628e-15
0.139, -2.61409e-15
