sim_time, unit_box_Custom?world_pose/orientation/yaw
0.001, -1.76102e-21
0.002, -1.32807e-21
0.003, -8.95222e-22
0.004, -4.62051e-22
0.005, -2.88811e-23
0.006, 4.03716e-22
0.007, 8.36617e-22
0.008, 1.26975e-21
0.009, 1.70258e-21
0.01, 2.13569e-21
0.011, 2.56864e-21
0.012, 3.00155e-21
0.013, 3.43434e-21
0.014, 3.86676e-21
0.015, 4.29936e-21
0.016, 4.73197e-21
0.017, 5.16462e-21
0.018, 5.59692e-21
0.019, 6.02988e-21
0.02, 6.46253e-21
0.021, 6.89542e-21
0.022, 7.32842e-21
0.023, 7.76148e-21
0.024, 8.19444e-21
0.025, 8.62729e-21
0.026, 9.06045e-21
0.027, 9.49298e-21
0.028, 9.92581e-21
0.029, 1.0359e-20
0.03, 1.07917e-20
0.031, 1.12249e-20
0.032, 1.16577e-20
0.033, 1.20905e-20
0.034, 1.25239e-20
0.035, 1.2957e-20
0.036, 1.339e-20
0.037, 1.38229e-20
0.038, 1.42556e-20
0.039, 1.46885e-20
0.04, 1.51213e-20
0.041, 1.55545e-20
0.042, 1.59876e-20
0.043, 1.64204e-20
0.044, 1.68535e-20
0.045, 1.72865e-20
0.046, 1.77194e-20
0.047, 1.81525e-20
0.048, 1.85855e-20
0.049, 1.90183e-20
0.05, 1.94513e-20
0.051, 1.98841e-20
0.052, 2.03168e-20
0.053, 2.07497e-20
0.054, 2.11824e-20
0.055, 2.16151e-20
0.056, 2.20479e-20
0.057, 2.24808e-20
0.058, 2.29136e-20
0.059, 2.33464e-20
0.06, 2.37792e-20
0.061, 2.42122e-20
0.062, 2.4645e-20
0.063, 2.5078e-20
0.064, 2.55112e-20
0.065, 2.59441e-20
0.066, 2.63771e-20
0.067, 2.68099e-20
0.068, 2.72426e-20
0.069, 2.76756e-20
0.07, 2.81083e-20
0.071, 2.85412e-20
0.072, 2.8974e-20
0.073, 2.94068e-20
0.074, 2.98396e-20
0.075, 3.02724e-20
0.076, 3.07053e-20
0.077, 3.11381e-20
0.078, 3.15712e-20
0.079, 3.20042e-20
0.08, 3.24373e-20
0.081, 3.287e-20
0.082, 3.33029e-20
0.083, 3.37356e-20
0.084, 3.41683e-20
0.085, 3.4601e-20
0.086, 3.50336e-20
0.087, 3.54663e-20
0.088, 3.58995e-20
0.089, 3.63323e-20
0.09, 3.6765e-20
0.091, 3.71977e-20
0.092, 3.76305e-20
0.093, 3.80633e-20
0.094, 3.84963e-20
0.095, 3.89291e-20
0.096, 3.93618e-20
0.097, 3.97951e-20
0.098, 4.0228e-20
0.099, 4.06609e-20
0.1, 4.10939e-20
0.101, 4.15268e-20
0.102, 4.19597e-20
0.103, 4.23924e-20
0.104, 4.28251e-20
0.105, 4.32579e-20
0.106, 4.3691e-20
0.107, 4.41237e-20
0.108, 4.45564e-20
0.109, 4.49895e-20
0.11, 4.54222e-20
0.111, 4.58554e-20
0.112, 4.62881e-20
0.113, 4.67206e-20
0.114, 4.71533e-20
0.115, 4.75856e-20
0.116, 4.80184e-20
0.117, 4.84516e-20
0.118, 4.88848e-20
0.119, 4.93175e-20
0.12, 4.97506e-20
0.121, 5.01838e-20
0.122, 5.06168e-20
0.123, 5.10494e-20
0.124, 5.14821e-20
0.125, 5.1915e-20
0.126, 5.23478e-20
0.127, 5.27802e-20
0.128, 5.3213e-20
0.129, 5.36457e-20
0.13, 5.40787e-20
0.131, 5.45115e-20
0.132, 5.49442e-20
0.133, 5.53773e-20
0.134, 5.58105e-20
0.135, 5.62435e-20
0.136, 5.66761e-20
0.137, 5.71091e-20
0.138, 5.75417e-20
0.139, 5.79742e-20
0.14, 5.84071e-20
0.141, 5.884e-20
0.142, 5.92728e-20
0.143, 5.97057e-20
0.144, 6.01387e-20
0.145, 6.05716e-20
0.146, 6.10039e-20
0.147, 6.14368e-20
0.148, 6.18699e-20
0.149, 6.23025e-20
0.15, 6.27351e-20
0.151, 6.31679e-20
0.152, 6.36007e-20
0.153, 6.40335e-20
0.154, 6.44665e-20
0.155, 6.48992e-20
0.156, 6.5332e-20
0.157, 6.57646e-20
0.158, 6.61975e-20
0.159, 6.66305e-20
0.16, 6.70635e-20
0.161, 6.74963e-20
0.162, 6.79291e-20
0.163, 6.8362e-20
0.164, 6.87948e-20
0.165, 6.92279e-20
0.166, 6.96605e-20
0.167, 7.00935e-20
0.168, 7.05264e-20
0.169, 7.09593e-20
0.17, 7.13921e-20
0.171, 7.18249e-20
0.172, 7.22579e-20
0.173, 7.26907e-20
0.174, 7.31236e-20
0.175, 7.35563e-20
0.176, 7.39891e-20
0.177, 7.44218e-20
0.178, 7.48548e-20
0.179, 7.52874e-20
0.18, 7.57201e-20
0.181, 7.61532e-20
0.182, 7.65862e-20
0.183, 7.70189e-20
0.184, 7.74516e-20
0.185, 7.78842e-20
0.186, 7.83174e-20
0.187, 7.87504e-20
0.188, 7.91832e-20
0.189, 7.96159e-20
0.19, 8.00484e-20
0.191, 8.0481e-20
0.192, 8.09138e-20
0.193, 8.13468e-20
0.194, 8.17797e-20
0.195, 8.22127e-20
0.196, 8.26454e-20
0.197, 8.30782e-20
0.198, 8.35108e-20
0.199, 8.3944e-20
0.2, 8.43769e-20
0.201, 8.48096e-20
0.202, 8.52425e-20
0.203, 8.56752e-20
0.204, 8.61081e-20
0.205, 8.6541e-20
0.206, 8.69738e-20
0.207, 8.74065e-20
0.208, 8.78391e-20
0.209, 8.82719e-20
0.21, 8.87051e-20
0.211, 8.91379e-20
0.212, 8.95707e-20
0.213, 9.00036e-20
0.214, 9.04367e-20
0.215, 9.08693e-20
0.216, 9.13025e-20
0.217, 9.17353e-20
0.218, 9.21681e-20
0.219, 9.26011e-20
0.22, 9.30339e-20
0.221, 9.34669e-20
0.222, 9.38997e-20
0.223, 9.43328e-20
0.224, 9.47655e-20
0.225, 9.51984e-20
0.226, 9.56314e-20
0.227, 9.60642e-20
0.228, 9.64973e-20
0.229, 9.69301e-20
0.23, 9.7363e-20
0.231, 9.77961e-20
0.232, 9.8229e-20
0.233, 9.8662e-20
0.234, 9.9095e-20
0.235, 9.95279e-20
0.236, 9.99607e-20
0.237, 1.00393e-19
0.238, 1.00827e-19
0.239, 1.01259e-19
0.24, 1.01692e-19
0.241, 1.02125e-19
0.242, 1.02558e-19
0.243, 1.02991e-19
0.244, 1.03424e-19
0.245, 1.03857e-19
0.246, 1.0429e-19
0.247, 1.04722e-19
0.248, 1.05155e-19
0.249, 1.05589e-19
0.25, 1.06022e-19
0.251, 1.06454e-19
0.252, 1.06887e-19
0.253, 1.07319e-19
0.254, 1.07752e-19
0.255, 1.08185e-19
0.256, 1.08618e-19
0.257, 1.09051e-19
0.258, 1.09484e-19
0.259, 1.09917e-19
0.26, 1.1035e-19
0.261, 1.10783e-19
0.262, 1.11216e-19
0.263, 1.11649e-19
0.264, 1.12081e-19
0.265, 1.12514e-19
0.266, 1.12947e-19
0.267, 1.1338e-19
0.268, 1.13813e-19
0.269, 1.14246e-19
0.27, 1.14679e-19
0.271, 1.15112e-19
0.272, 1.15544e-19
0.273, 1.15977e-19
0.274, 1.1641e-19
0.275, 1.16842e-19
0.276, 1.17275e-19
0.277, 1.17708e-19
0.278, 1.1814e-19
0.279, 1.18574e-19
0.28, 1.19006e-19
0.281, 1.19439e-19
0.282, 1.19872e-19
0.283, 1.20305e-19
0.284, 1.20738e-19
0.285, 1.2117e-19
0.286, 1.21603e-19
0.287, 1.22036e-19
0.288, 1.22469e-19
0.289, 1.22902e-19
0.29, 1.23335e-19
0.291, 1.23768e-19
0.292, 1.24201e-19
0.293, 1.24634e-19
0.294, 1.25066e-19
0.295, 1.25499e-19
0.296, 1.25932e-19
0.297, 1.26365e-19
0.298, 1.26798e-19
0.299, 1.27231e-19
0.3, 1.27663e-19
0.301, 1.28096e-19
0.302, 1.28529e-19
0.303, 1.28962e-19
0.304, 1.29395e-19
0.305, 1.29828e-19
0.306, 1.30261e-19
0.307, 1.30693e-19
0.308, 1.31126e-19
0.309, 1.31559e-19
0.31, 1.31992e-19
0.311, 1.32425e-19
0.312, 1.32858e-19
0.313, 1.33291e-19
0.314, 1.33724e-19
0.315, 1.34157e-19
0.316, 1.34589e-19
0.317, 1.35022e-19
0.318, 1.35455e-19
0.319, 1.35888e-19
0.32, 1.36321e-19
0.321, 1.36754e-19
0.322, 1.37186e-19
0.323, 1.37619e-19
0.324, 1.38052e-19
0.325, 1.38485e-19
0.326, 1.38918e-19
0.327, 1.39351e-19
0.328, 1.39784e-19
0.329, 1.40217e-19
0.33, 1.4065e-19
0.331, 1.41082e-19
0.332, 1.41515e-19
0.333, 1.41948e-19
0.334, 1.42381e-19
0.335, 1.42814e-19
0.336, 1.43247e-19
0.337, 1.43679e-19
0.338, 1.44112e-19
0.339, 1.44545e-19
0.34, 1.44977e-19
0.341, 1.4541e-19
0.342, 1.45843e-19
0.343, 1.46276e-19
0.344, 1.46709e-19
0.345, 1.47141e-19
0.346, 1.47574e-19
0.347, 1.48007e-19
0.348, 1.4844e-19
0.349, 1.48873e-19
0.35, 1.49306e-19
0.351, 1.49739e-19
0.352, 1.50172e-19
0.353, 1.50605e-19
0.354, 1.51038e-19
0.355, 1.5147e-19
0.356, 1.51903e-19
0.357, 1.52336e-19
0.358, 1.52769e-19
0.359, 1.53202e-19
0.36, 1.53635e-19
0.361, 1.54067e-19
0.362, 1.545e-19
0.363, 1.54933e-19
0.364, 1.55366e-19
0.365, 1.55798e-19
0.366, 1.56232e-19
0.367, 1.56664e-19
0.368, 1.57097e-19
0.369, 1.5753e-19
0.37, 1.57963e-19
0.371, 1.58396e-19
0.372, 1.58828e-19
0.373, 1.59261e-19
0.374, 1.59694e-19
0.375, 1.60127e-19
0.376, 1.6056e-19
0.377, 1.60993e-19
0.378, 1.61426e-19
0.379, 1.61859e-19
0.38, 1.62291e-19
0.381, 1.62724e-19
0.382, 1.63157e-19
0.383, 1.6359e-19
0.384, 1.64022e-19
0.385, 1.64455e-19
0.386, 1.64888e-19
0.387, 1.65321e-19
0.388, 1.65753e-19
0.389, 1.66186e-19
0.39, 1.66619e-19
0.391, 1.67051e-19
0.392, 1.67484e-19
0.393, 1.67917e-19
0.394, 1.6835e-19
0.395, 1.68783e-19
0.396, 1.69215e-19
0.397, 1.69648e-19
0.398, 1.70081e-19
0.399, 1.70513e-19
0.4, 1.70947e-19
0.401, 1.71379e-19
0.402, 1.71812e-19
0.403, 1.72245e-19
0.404, 1.72678e-19
0.405, 1.73111e-19
0.406, 1.73544e-19
0.407, 1.73977e-19
0.408, 1.7441e-19
0.409, 1.74842e-19
0.41, 1.75275e-19
0.411, 1.75707e-19
0.412, 1.76141e-19
0.413, 1.76573e-19
0.414, 1.77006e-19
0.415, 1.77439e-19
0.416, 1.77872e-19
0.417, 1.78305e-19
0.418, 1.78738e-19
0.419, 1.79171e-19
