sim_time, unit_box_Custom?world_linear_acceleration/x
0.001, -1.07906e-14
0.002, -4.76355e-13
0.003, 4.81773e-13
0.004, 7.35754e-16
0.005, 7.35752e-16
0.006, -2.46169e-15
0.007, 1.44629e-15
0.008, -7.7415e-16
0.009, 7.35759e-16
0.01, 7.35756e-16
0.011, -2.10642e-15
0.012, 2.68976e-15
0.013, -2.90578e-15
0.014, 1.26866e-15
0.015, -5.07686e-16
0.016, -1.21824e-15
0.017, 2.3345e-15
0.018, -6.85327e-16
0.019, -1.39586e-15
0.02, 1.26866e-15
0.021, -7.74151e-16
0.022, 2.15684e-15
0.023, -2.63931e-15
0.024, 3.75556e-15
0.025, -1.5735e-15
0.026, -1.21824e-15
0.027, -5.96514e-16
0.028, 2.4233e-15
0.029, -3.26104e-15
0.03, 1.53512e-15
0.031, 7.3575e-16
0.032, 1.14031e-16
0.033, 1.09103e-15
0.034, -2.0176e-15
0.035, -1.52423e-16
0.036, 8.24579e-16
0.037, 7.35754e-16
0.038, -2.28405e-15
0.039, 1.62393e-15
0.04, 1.14034e-16
0.041, -8.62965e-16
0.042, 5.5811e-16
0.043, 3.80496e-16
0.044, -9.5178e-16
0.045, 5.58106e-16
0.046, 1.09104e-15
0.047, -2.63932e-15
0.048, 1.89039e-15
0.049, 1.09102e-15
0.05, -2.9946e-15
0.051, 2.24567e-15
0.052, -9.51788e-16
0.053, -4.18876e-16
0.054, -6.8534e-16
0.055, 1.97921e-15
0.056, -9.51777e-16
0.057, -1.52416e-16
0.058, 3.80485e-16
0.059, 1.14037e-16
0.06, -5.07688e-16
0.061, -2.41217e-16
0.062, 1.17984e-15
0.063, 2.52129e-17
0.064, -7.74151e-16
0.065, 7.35746e-16
0.066, 6.46938e-16
0.067, -2.9946e-15
0.068, 2.60094e-15
0.069, -3.3006e-16
0.07, 2.52324e-17
0.071, -8.62971e-16
0.072, -7.74141e-16
0.073, 1.35748e-15
0.074, -2.41232e-16
0.075, -1.0406e-15
0.076, 2.06802e-15
0.077, -2.72813e-15
0.078, 3.40029e-15
0.079, -1.12942e-15
0.08, 4.69308e-16
0.081, -2.5505e-15
0.082, 2.95621e-15
0.083, -2.37286e-15
0.084, 1.71275e-15
0.085, -1.30706e-15
0.086, -1.30705e-15
0.087, 2.60092e-15
0.088, -8.62963e-16
0.089, 1.14032e-16
0.09, 1.14026e-16
0.091, 1.26868e-15
0.092, -2.46169e-15
0.093, 2.33449e-15
0.094, -2.90578e-15
0.095, 1.00221e-15
0.096, 1.14028e-16
0.097, 3.8049e-16
0.098, -4.18881e-16
0.099, 1.17987e-15
0.1, 8.24569e-16
0.101, -3.08341e-15
0.102, 1.8904e-15
0.103, 2.52077e-17
0.104, 2.91664e-16
0.105, -1.21823e-15
0.106, -7.74155e-16
0.107, 3.48911e-15
0.108, -2.90577e-15
0.109, -4.18872e-16
0.11, 3.40029e-15
0.111, -3.26104e-15
0.112, 2.60093e-15
0.113, -3.34986e-15
0.114, 1.9792e-15
0.115, -6.85326e-16
0.116, -6.85333e-16
0.117, 1.80157e-15
0.118, -1.0406e-15
0.119, 2.5201e-17
0.12, 1.00221e-15
0.121, 3.8049e-16
0.122, -2.37287e-15
0.123, 4.11084e-15
0.124, -2.72813e-15
0.125, -8.62959e-16
0.126, 1.62395e-15
0.127, 2.52245e-17
0.128, -1.39586e-15
0.129, -1.30705e-15
0.13, 2.24566e-15
0.131, 3.80482e-16
0.132, -1.52414e-16
0.133, -1.21823e-15
0.134, 3.80487e-16
0.135, 1.97919e-15
0.136, -1.48469e-15
0.137, 1.14019e-16
0.138, 5.58135e-16
0.139, -1.30704e-15
0.14, -1.48469e-15
0.141, 2.77857e-15
0.142, 5.58128e-16
0.143, -3.34987e-15
0.144, 2.24566e-15
0.145, 1.00221e-15
0.146, -3.70514e-15
0.147, 1.26866e-15
0.148, 2.86739e-15
0.149, -1.66233e-15
0.15, -2.41229e-16
0.151, -1.52431e-16
0.152, -1.1294e-15
0.153, 2.86739e-15
0.154, -1.83996e-15
0.155, 4.69308e-16
0.156, -5.07695e-16
0.157, -7.74129e-16
0.158, 2.51211e-15
0.159, -2.37287e-15
0.16, 2.15684e-15
0.161, -2.28405e-15
0.162, 2.60093e-15
0.163, -2.19523e-15
0.164, 2.9166e-16
0.165, 7.35757e-16
0.166, 5.58128e-16
0.167, -8.62956e-16
0.168, -1.0406e-15
0.169, 2.4233e-15
0.17, -2.55051e-15
0.171, 2.9562e-15
0.172, -2.46169e-15
0.173, -6.3603e-17
0.174, 3.75555e-15
0.175, -4.32685e-15
0.176, 1.62394e-15
0.177, -9.51784e-16
0.178, -1.52429e-16
0.179, 2.68974e-15
0.18, -1.83996e-15
0.181, -4.18868e-16
0.182, 4.69296e-16
0.183, 1.00221e-15
0.184, -2.90578e-15
0.185, 1.80157e-15
0.186, 8.24572e-16
0.187, 2.02842e-16
0.188, 2.9166e-16
0.189, -3.08341e-15
0.19, 1.89039e-15
0.191, -7.7414e-16
0.192, -2.4124e-16
0.193, 2.77856e-15
0.194, -3.79394e-15
0.195, 2.60092e-15
0.196, -6.36018e-17
0.197, -1.12941e-15
0.198, -5.96515e-16
0.199, 1.26867e-15
0.2, 1.00221e-15
0.201, -9.51777e-16
0.202, 1.14037e-16
0.203, 1.09104e-15
0.204, -2.72814e-15
0.205, 2.33447e-15
0.206, 2.52074e-17
0.207, -3.17223e-15
0.208, 2.4233e-15
0.209, 2.51991e-17
0.21, 3.80498e-16
0.211, 2.52066e-17
0.212, -1.39586e-15
0.213, -5.07693e-16
0.214, 2.86739e-15
0.215, -2.28404e-15
0.216, 2.52093e-17
0.217, 1.62395e-15
0.218, -1.39586e-15
0.219, 7.35755e-16
0.22, 1.09102e-15
0.221, -2.9946e-15
0.222, 2.95621e-15
0.223, -2.63931e-15
0.224, 2.24566e-15
0.225, -1.57351e-15
0.226, 2.52145e-17
0.227, 9.13402e-16
0.228, 1.89039e-15
0.229, -2.90576e-15
0.23, 2.52021e-17
0.231, 2.52135e-17
0.232, 2.33447e-15
0.233, -1.75114e-15
0.234, 3.80498e-16
0.235, 7.35754e-16
0.236, -2.5505e-15
0.237, 1.9792e-15
0.238, -1.83995e-15
0.239, 2.86738e-15
0.24, -2.81696e-15
0.241, 2.51212e-15
0.242, -1.48469e-15
0.243, 8.2458e-16
0.244, 5.58133e-16
0.245, -2.1064e-15
0.246, 2.60093e-15
0.247, -2.10641e-15
0.248, 3.80486e-16
0.249, 3.80485e-16
0.25, 5.58104e-16
0.251, 5.58132e-16
0.252, -3.70514e-15
0.253, 1.26866e-15
0.254, 2.60093e-15
0.255, -2.01759e-15
0.256, 3.8048e-16
0.257, 8.2458e-16
0.258, 2.5216e-17
0.259, -5.07691e-16
0.26, 8.2457e-16
0.261, -2.10642e-15
0.262, 2.60093e-15
0.263, -2.63931e-15
0.264, 1.89041e-15
0.265, 5.58133e-16
0.266, -3.70513e-15
0.267, 2.68976e-15
0.268, -9.51775e-16
0.269, 7.35753e-16
0.27, 2.9167e-16
0.271, -7.74134e-16
0.272, 4.6929e-16
0.273, 1.14037e-16
0.274, -6.35995e-17
0.275, -1.30705e-15
0.276, 2.06803e-15
0.277, -3.97158e-15
0.278, 4.55493e-15
0.279, -2.55049e-15
0.28, 2.33449e-15
0.281, -3.17222e-15
0.282, 2.33448e-15
0.283, 5.58128e-16
0.284, -2.9946e-15
0.285, 2.68976e-15
0.286, -9.51775e-16
0.287, 2.02846e-16
0.288, 2.52168e-17
0.289, 7.35755e-16
0.29, 2.52104e-17
0.291, -2.41231e-16
0.292, -4.18872e-16
0.293, -1.48469e-15
0.294, 2.4233e-15
0.295, -3.5275e-15
0.296, 2.68976e-15
0.297, 1.4463e-15
0.298, -4.18879e-16
0.299, -2.28404e-15
0.3, 2.3345e-15
0.301, -2.19522e-15
0.302, 1.62394e-15
0.303, -8.62966e-16
0.304, -1.39586e-15
0.305, 1.62394e-15
0.306, 3.80485e-16
0.307, 2.02843e-16
0.308, -1.30706e-15
0.309, -9.51786e-16
0.31, 2.15686e-15
0.311, 3.80496e-16
0.312, -1.92879e-15
0.313, 3.75556e-15
0.314, -3.43869e-15
0.315, 7.35759e-16
0.316, 3.80498e-16
0.317, 7.35754e-16
0.318, -3.43868e-15
0.319, 3.22265e-15
0.32, -8.62956e-16
0.321, 1.14031e-16
0.322, -5.96516e-16
0.323, -7.74151e-16
0.324, 4.11084e-15
0.325, -4.14922e-15
0.326, 1.97922e-15
0.327, 7.35759e-16
0.328, -2.19522e-15
0.329, -6.85325e-16
0.33, 2.33447e-15
0.331, -9.51778e-16
0.332, 1.14037e-16
0.333, 2.52359e-17
0.334, -5.07683e-16
0.335, 1.0022e-15
0.336, 2.52068e-17
0.337, -4.18872e-16
0.338, -1.48469e-15
0.339, 2.86739e-15
0.34, -2.55051e-15
0.341, 1.4463e-15
0.342, -6.8533e-16
0.343, -1.30706e-15
0.344, 1.8904e-15
0.345, -4.18881e-16
0.346, -1.57349e-15
0.347, 2.77857e-15
0.348, -2.01761e-15
0.349, -4.18878e-16
0.35, 4.11084e-15
0.351, -4.85976e-15
0.352, 3.31147e-15
0.353, -1.30705e-15
0.354, 2.52158e-17
0.355, -6.85328e-16
0.356, 7.35755e-16
0.357, 3.80485e-16
0.358, 5.58129e-16
0.359, -2.01758e-15
0.36, 3.66675e-15
0.361, -3.17222e-15
0.362, -1.30704e-15
0.363, 2.06802e-15
0.364, -6.36052e-17
0.365, -8.62947e-16
0.366, -4.18878e-16
0.367, 4.11084e-15
0.368, -4.23802e-15
0.369, 2.4233e-15
0.37, -2.63931e-15
0.371, 2.68976e-15
0.372, -1.0406e-15
0.373, 2.52156e-17
0.374, 7.35761e-16
0.375, -2.19523e-15
0.376, 2.15684e-15
0.377, -2.37287e-15
0.378, 2.33448e-15
0.379, -2.10642e-15
0.38, 1.97922e-15
0.381, -8.62958e-16
0.382, -8.62974e-16
0.383, 2.60093e-15
0.384, -3.88278e-15
0.385, 2.60093e-15
0.386, 2.52078e-17
0.387, -1.39586e-15
0.388, 1.35749e-15
0.389, -6.85336e-16
0.39, -5.96507e-16
0.391, 1.89039e-15
0.392, -2.55051e-15
0.393, 1.4463e-15
0.394, -7.74152e-16
0.395, 3.48911e-15
0.396, -3.0834e-15
0.397, -1.39588e-15
0.398, 1.71275e-15
0.399, -2.41247e-16
0.4, 2.52092e-17
0.401, 2.06802e-15
0.402, -1.48469e-15
0.403, 1.14019e-16
0.404, 7.35756e-16
0.405, -3.26104e-15
0.406, 2.9562e-15
0.407, 6.46938e-16
0.408, -1.30706e-15
0.409, -2.41233e-16
0.41, 2.52266e-17
0.411, -1.5243e-16
0.412, -1.57349e-15
0.413, 4.55493e-15
0.414, -3.61632e-15
0.415, 3.48911e-15
0.416, -3.5275e-15
0.417, 1.4463e-15
0.418, 4.69297e-16
0.419, -2.9946e-15
0.42, 2.24566e-15
0.421, 2.91672e-16
0.422, 5.58131e-16
0.423, -2.72813e-15
0.424, 1.97922e-15
0.425, -5.96512e-16
0.426, -7.74134e-16
0.427, 2.24565e-15
0.428, -3.26104e-15
0.429, 4.37728e-15
0.43, -1.83996e-15
0.431, -1.48469e-15
0.432, 1.4463e-15
0.433, 4.69297e-16
0.434, -3.30054e-16
0.435, -2.19523e-15
0.436, 2.24566e-15
0.437, 2.52021e-17
0.438, 7.3576e-16
0.439, -3.26104e-15
