sim_time, unit_box_Custom?world_angular_velocity/y
0.001, -2.13692e-17
0.002, -9.74273e-16
0.003, -1.07267e-17
0.004, -9.25525e-18
0.005, -7.78374e-18
0.006, -1.27071e-17
0.007, -9.81453e-18
0.008, -1.13628e-17
0.009, -9.89131e-18
0.01, -8.4198e-18
0.011, -1.26326e-17
0.012, -7.25314e-18
0.013, -1.30647e-17
0.014, -1.05274e-17
0.015, -1.15427e-17
0.016, -1.39792e-17
0.017, -9.31022e-18
0.018, -1.06809e-17
0.019, -1.34726e-17
0.02, -1.09353e-17
0.021, -1.24836e-17
0.022, -8.16992e-18
0.023, -1.34485e-17
0.024, -5.93741e-18
0.025, -9.08441e-18
0.026, -1.15209e-17
0.027, -1.27139e-17
0.028, -7.86733e-18
0.029, -1.43894e-17
0.03, -1.13192e-17
0.031, -9.84767e-18
0.032, -9.61962e-18
0.033, -7.43753e-18
0.034, -1.14727e-17
0.035, -1.17776e-17
0.036, -1.01285e-17
0.037, -8.65694e-18
0.038, -1.3225e-17
0.039, -9.97717e-18
0.04, -9.7491e-18
0.041, -1.1475e-17
0.042, -1.03588e-17
0.043, -9.59785e-18
0.044, -1.15014e-17
0.045, -1.03851e-17
0.046, -8.20307e-18
0.047, -1.34817e-17
0.048, -9.70097e-18
0.049, -7.51892e-18
0.05, -1.35081e-17
0.051, -9.01681e-18
0.052, -1.09204e-17
0.053, -1.17581e-17
0.054, -1.31288e-17
0.055, -9.17039e-18
0.056, -1.10739e-17
0.057, -1.13788e-17
0.058, -1.06178e-17
0.059, -1.03897e-17
0.06, -1.14051e-17
0.061, -1.18876e-17
0.062, -9.52785e-18
0.063, -9.47742e-18
0.064, -1.10257e-17
0.065, -9.55422e-18
0.066, -8.26036e-18
0.067, -1.42495e-17
0.068, -9.04767e-18
0.069, -9.70779e-18
0.07, -9.65732e-18
0.071, -1.13833e-17
0.072, -1.29315e-17
0.073, -1.02166e-17
0.074, -1.0699e-17
0.075, -1.27802e-17
0.076, -8.64418e-18
0.077, -1.41005e-17
0.078, -7.29986e-18
0.079, -9.55872e-18
0.08, -8.62009e-18
0.081, -1.37211e-17
0.082, -7.80868e-18
0.083, -1.25544e-17
0.084, -9.12889e-18
0.085, -1.1743e-17
0.086, -1.43571e-17
0.087, -9.15524e-18
0.088, -1.08812e-17
0.089, -1.06531e-17
0.09, -1.04251e-17
0.091, -7.8877e-18
0.092, -1.28111e-17
0.093, -8.1421e-18
0.094, -1.39537e-17
0.095, -1.19492e-17
0.096, -1.17212e-17
0.097, -1.09602e-17
0.098, -1.1798e-17
0.099, -9.43825e-18
0.1, -7.7891e-18
0.101, -1.39559e-17
0.102, -1.01751e-17
0.103, -1.01247e-17
0.104, -9.54136e-18
0.105, -1.19779e-17
0.106, -1.35261e-17
0.107, -6.54792e-18
0.108, -1.23595e-17
0.109, -1.31972e-17
0.11, -6.39661e-18
0.111, -1.29187e-17
0.112, -7.71683e-18
0.113, -1.44166e-17
0.114, -1.04581e-17
0.115, -1.18288e-17
0.116, -1.31995e-17
0.117, -9.59633e-18
0.118, -1.16775e-17
0.119, -1.16271e-17
0.12, -9.62273e-18
0.121, -8.86174e-18
0.122, -1.36075e-17
0.123, -5.38579e-18
0.124, -1.08421e-17
0.125, -1.2568e-17
0.126, -9.32009e-18
0.127, -9.26963e-18
0.128, -1.20614e-17
0.129, -1.46755e-17
0.13, -1.01841e-17
0.131, -9.42318e-18
0.132, -9.728e-18
0.133, -1.21645e-17
0.134, -1.14035e-17
0.135, -7.4451e-18
0.136, -1.04145e-17
0.137, -1.01865e-17
0.138, -9.07017e-18
0.139, -1.16843e-17
0.14, -1.46537e-17
0.141, -9.09651e-18
0.142, -7.98027e-18
0.143, -1.468e-17
0.144, -1.01887e-17
0.145, -8.18426e-18
0.146, -1.55945e-17
0.147, -1.30572e-17
0.148, -7.32243e-18
0.149, -1.06471e-17
0.15, -1.11295e-17
0.151, -1.14344e-17
0.152, -1.36932e-17
0.153, -7.95843e-18
0.154, -1.16383e-17
0.155, -1.06997e-17
0.156, -1.17151e-17
0.157, -1.32634e-17
0.158, -8.23916e-18
0.159, -1.29849e-17
0.16, -8.67123e-18
0.161, -1.32393e-17
0.162, -8.03747e-18
0.163, -1.24279e-17
0.164, -1.18446e-17
0.165, -1.03731e-17
0.166, -9.25683e-18
0.167, -1.09828e-17
0.168, -1.3064e-17
0.169, -8.21736e-18
0.17, -1.33184e-17
0.171, -7.40595e-18
0.172, -1.23293e-17
0.173, -1.24566e-17
0.174, -4.94545e-18
0.175, -1.35992e-17
0.176, -1.03513e-17
0.177, -1.22548e-17
0.178, -1.25597e-17
0.179, -7.18018e-18
0.18, -1.08601e-17
0.181, -1.16979e-17
0.182, -1.07593e-17
0.183, -8.75488e-18
0.184, -1.45664e-17
0.185, -1.09633e-17
0.186, -9.31415e-18
0.187, -8.90845e-18
0.188, -8.32512e-18
0.189, -1.44919e-17
0.19, -1.07112e-17
0.191, -1.22594e-17
0.192, -1.27419e-17
0.193, -7.18482e-18
0.194, -1.47727e-17
0.195, -9.57084e-18
0.196, -9.69806e-18
0.197, -1.19569e-17
0.198, -1.31499e-17
0.199, -1.06126e-17
0.2, -8.60815e-18
0.201, -1.05117e-17
0.202, -1.02836e-17
0.203, -8.10153e-18
0.204, -1.35578e-17
0.205, -8.88888e-18
0.206, -8.83846e-18
0.207, -1.51829e-17
0.208, -1.03363e-17
0.209, -1.02859e-17
0.21, -9.52494e-18
0.211, -9.47452e-18
0.212, -1.22662e-17
0.213, -1.32816e-17
0.214, -7.54684e-18
0.215, -1.21149e-17
0.216, -1.20645e-17
0.217, -8.81662e-18
0.218, -1.16083e-17
0.219, -1.01368e-17
0.22, -7.95477e-18
0.221, -1.3944e-17
0.222, -8.03156e-18
0.223, -1.33102e-17
0.224, -8.81888e-18
0.225, -1.19659e-17
0.226, -1.19154e-17
0.227, -1.00887e-17
0.228, -6.30785e-18
0.229, -1.21194e-17
0.23, -1.2069e-17
0.231, -1.20185e-17
0.232, -7.34961e-18
0.233, -1.08519e-17
0.234, -1.00909e-17
0.235, -8.61938e-18
0.236, -1.37204e-17
0.237, -9.76198e-18
0.238, -1.34419e-17
0.239, -7.70712e-18
0.24, -1.3341e-17
