sim_time, unit_box_Custom?world_linear_velocity/x
0.245, -6.37576e-18
0.246, -3.77483e-18
0.247, -5.88124e-18
0.248, -5.50076e-18
0.249, -5.12027e-18
0.25, -4.56217e-18
0.251, -4.00404e-18
0.252, -7.70918e-18
0.253, -6.44052e-18
0.254, -3.83959e-18
0.255, -5.85718e-18
0.256, -5.4767e-18
0.257, -4.65212e-18
0.258, -4.6269e-18
0.259, -5.13459e-18
0.26, -4.31002e-18
0.261, -6.41644e-18
0.262, -3.81551e-18
0.263, -6.45482e-18
0.264, -4.56441e-18
0.265, -4.00627e-18
0.266, -7.7114e-18
0.267, -5.02164e-18
0.268, -5.97342e-18
0.269, -5.23767e-18
0.27, -4.946e-18
0.271, -5.72013e-18
0.272, -5.25084e-18
0.273, -5.1368e-18
0.274, -5.2004e-18
0.275, -6.50745e-18
0.276, -4.43942e-18
0.277, -8.411e-18
0.278, -3.85607e-18
0.279, -6.40656e-18
0.28, -4.07207e-18
0.281, -7.24429e-18
0.282, -4.90982e-18
0.283, -4.35169e-18
0.284, -7.34629e-18
0.285, -4.65652e-18
0.286, -5.6083e-18
0.287, -5.40545e-18
0.288, -5.38024e-18
0.289, -4.64448e-18
0.29, -4.61927e-18
0.291, -4.8605e-18
0.292, -5.27937e-18
0.293, -6.76407e-18
0.294, -4.34076e-18
0.295, -7.86827e-18
0.296, -5.17851e-18
0.297, -3.73221e-18
0.298, -4.15109e-18
0.299, -6.43513e-18
0.3, -4.10064e-18
0.301, -6.29586e-18
0.302, -4.67192e-18
0.303, -5.53489e-18
0.304, -6.93075e-18
0.305, -5.3068e-18
0.306, -4.92632e-18
0.307, -4.72348e-18
0.308, -6.03053e-18
0.309, -6.98232e-18
0.31, -4.82546e-18
0.311, -4.44497e-18
0.312, -6.37376e-18
0.313, -2.6182e-18
0.314, -6.05689e-18
0.315, -5.32113e-18
0.316, -4.94063e-18
0.317, -4.20488e-18
0.318, -7.64356e-18
0.319, -4.42091e-18
0.32, -5.28386e-18
0.321, -5.16983e-18
0.322, -5.76635e-18
0.323, -6.5405e-18
0.324, -2.42966e-18
0.325, -6.57888e-18
0.326, -4.59966e-18
0.327, -3.8639e-18
0.328, -6.05912e-18
0.329, -6.74445e-18
0.33, -4.40997e-18
0.331, -5.36175e-18
0.332, -5.24772e-18
0.333, -5.22248e-18
0.334, -5.73016e-18
0.335, -4.72796e-18
0.336, -4.70275e-18
0.337, -5.12163e-18
0.338, -6.60632e-18
0.339, -3.73893e-18
0.34, -6.28944e-18
0.341, -4.84315e-18
0.342, -5.52848e-18
0.343, -6.83553e-18
0.344, -4.94514e-18
0.345, -5.36402e-18
0.346, -6.93751e-18
0.347, -4.15894e-18
0.348, -6.17655e-18
0.349, -6.59543e-18
0.35, -2.48459e-18
0.351, -7.34434e-18
0.352, -4.03287e-18
0.353, -5.33992e-18
0.354, -5.3147e-18
0.355, -6.00003e-18
0.356, -5.26428e-18
0.357, -4.88379e-18
0.358, -4.32566e-18
0.359, -6.34325e-18
0.36, -2.6765e-18
0.361, -5.84872e-18
0.362, -7.15576e-18
0.363, -5.08774e-18
0.364, -5.15134e-18
0.365, -6.01429e-18
0.366, -6.43317e-18
0.367, -2.32233e-18
0.368, -6.56036e-18
0.369, -4.13706e-18
0.37, -6.77637e-18
0.371, -4.08661e-18
0.372, -5.12721e-18
0.373, -5.10199e-18
0.374, -4.36623e-18
0.375, -6.56146e-18
0.376, -4.40462e-18
0.377, -6.77749e-18
0.378, -4.44301e-18
0.379, -6.54943e-18
0.38, -4.57021e-18
0.381, -5.43317e-18
0.382, -6.29615e-18
0.383, -3.69521e-18
0.384, -7.57799e-18
0.385, -4.97706e-18
0.386, -4.95185e-18
0.387, -6.34771e-18
0.388, -4.99022e-18
0.389, -5.67556e-18
0.39, -6.27206e-18
0.391, -4.38168e-18
0.392, -6.93219e-18
0.393, -5.48589e-18
0.394, -6.26004e-18
0.395, -2.77093e-18
0.396, -5.85434e-18
0.397, -7.25021e-18
0.398, -5.53746e-18
0.399, -5.7787e-18
0.4, -5.75349e-18
0.401, -3.68547e-18
0.402, -5.17016e-18
0.403, -5.05614e-18
0.404, -4.32039e-18
0.405, -7.58143e-18
0.406, -4.62522e-18
0.407, -3.97829e-18
0.408, -5.28534e-18
0.409, -5.52658e-18
0.41, -5.50135e-18
0.411, -5.65378e-18
0.412, -7.22727e-18
0.413, -2.67234e-18
0.414, -6.28866e-18
0.415, -2.79955e-18
0.416, -6.32705e-18
0.417, -4.88075e-18
0.418, -4.41145e-18
0.419, -7.40605e-18
0.42, -5.16039e-18
0.421, -4.86872e-18
0.422, -4.31059e-18
0.423, -7.03872e-18
0.424, -5.0595e-18
0.425, -5.65601e-18
0.426, -6.43015e-18
0.427, -4.1845e-18
0.428, -7.44553e-18
0.429, -3.06825e-18
0.43, -4.90822e-18
0.431, -6.39291e-18
0.432, -4.94661e-18
0.433, -4.47731e-18
0.434, -4.80736e-18
0.435, -7.0026e-18
0.436, -4.75694e-18
0.437, -4.73174e-18
0.438, -3.99598e-18
0.439, -7.25702e-18
0.44, -4.65609e-18
0.441, -3.56506e-18
0.442, -5.40501e-18
0.443, -4.93571e-18
0.444, -4.73287e-18
0.445, -5.86229e-18
0.446, -6.01472e-18
0.447, -6.52241e-18
0.448, -2.76685e-18
0.449, -4.60681e-18
0.45, -4.75922e-18
0.451, -5.44455e-18
0.452, -5.41932e-18
0.453, -5.8382e-18
0.454, -6.52353e-18
0.455, -3.56732e-18
0.456, -6.29546e-18
0.457, -3.69453e-18
0.458, -6.15621e-18
0.459, -6.6639e-18
0.46, -5.03996e-18
0.461, -4.92593e-18
0.462, -4.90072e-18
0.463, -6.20777e-18
0.464, -6.09374e-18
0.465, -5.71325e-18
0.466, -6.13213e-18
0.467, -4.15294e-18
0.468, -4.83826e-18
0.469, -4.45777e-18
0.47, -4.34374e-18
0.471, -6.7166e-18
0.472, -4.38212e-18
0.473, -7.64316e-18
0.474, -4.77577e-18
0.475, -3.86238e-18
0.476, -5.52471e-18
0.477, -5.23304e-18
0.478, -6.27363e-18
0.479, -3.05097e-18
0.48, -7.20019e-18
0.481, -6.19798e-18
0.482, -5.46223e-18
0.483, -4.19355e-18
0.484, -6.74405e-18
0.485, -3.34376e-18
0.486, -5.45016e-18
0.487, -6.13549e-18
0.488, -5.93265e-18
0.489, -4.30871e-18
0.49, -5.26048e-18
0.491, -4.87999e-18
0.492, -4.76595e-18
0.493, -5.18483e-18
0.494, -4.98199e-18
0.495, -4.60151e-18
0.496, -4.75393e-18
0.497, -5.43926e-18
0.498, -6.39105e-18
0.499, -5.12239e-18
0.5, -5.63007e-18
0.501, -5.60486e-18
0.502, -3.53684e-18
0.503, -4.57743e-18
0.504, -3.84168e-18
0.505, -7.10272e-18
0.506, -4.50179e-18
0.507, -3.41076e-18
0.508, -6.40536e-18
0.509, -4.42614e-18
0.51, -7.42074e-18
0.511, -4.10926e-18
0.512, -6.48214e-18
0.513, -3.79238e-18
0.514, -7.58634e-18
0.515, -5.34069e-18
0.516, -3.36149e-18
0.517, -4.40208e-18
0.518, -6.41967e-18
0.519, -3.72991e-18
0.52, -5.65868e-18
0.521, -5.54464e-18
0.522, -7.56222e-18
0.523, -5.31587e-18
0.524, -4.75776e-18
0.525, -4.19964e-18
0.526, -6.21725e-18
0.527, -5.83676e-18
0.528, -4.39048e-18
0.529, -6.05279e-18
0.53, -4.1624e-18
0.531, -6.71289e-18
0.532, -4.73368e-18
0.533, -4.61965e-18
0.534, -4.50563e-18
0.535, -6.07912e-18
0.536, -5.07692e-18
0.537, -4.34117e-18
0.538, -6.71404e-18
0.539, -4.5572e-18
0.54, -5.33135e-18
0.541, -4.59559e-18
0.542, -5.28092e-18
0.543, -6.67678e-18
0.544, -5.40812e-18
0.545, -6.27109e-18
0.546, -2.87079e-18
0.547, -4.97721e-18
0.548, -5.30726e-18
0.549, -6.79195e-18
0.55, -3.92456e-18
0.551, -5.76451e-18
0.552, -5.20638e-18
0.553, -5.71407e-18
0.554, -4.62304e-18
0.555, -3.88728e-18
0.556, -5.72724e-18
0.557, -5.70203e-18
0.558, -5.32155e-18
0.559, -5.74043e-18
0.56, -5.00467e-18
0.561, -4.89064e-18
0.562, -5.66478e-18
0.563, -6.43894e-18
0.564, -4.28208e-18
0.565, -6.12205e-18
0.566, -5.11983e-18
0.567, -4.38407e-18
0.568, -6.93456e-18
0.569, -4.95535e-18
0.57, -4.84132e-18
0.571, -4.54965e-18
0.572, -6.30079e-18
0.573, -6.3644e-18
0.574, -5.09574e-18
0.575, -4.98172e-18
0.576, -6.55521e-18
0.577, -4.22074e-18
0.578, -6.77123e-18
0.579, -4.08148e-18
0.58, -7.07607e-18
