sim_time, unit_box_Custom?world_angular_acceleration/z
0.001, 1.05266e-15
0.002, -6.23489e-16
0.003, 1.30305e-19
0.004, 1.27363e-19
0.005, 2.10774e-30
0.006, 3.56992e-19
0.007, -4.96351e-19
0.008, 1.55747e-19
0.009, -3.66567e-19
0.01, 2.53856e-19
0.011, -1.13371e-19
0.012, 2.81697e-19
0.013, 7.59457e-20
0.014, -1.47726e-19
0.015, 2.34951e-20
0.016, 1.27774e-19
0.017, -4.10266e-19
0.018, 4.98712e-19
0.019, -1.81487e-19
0.02, -5.1455e-21
0.021, -4.28001e-20
0.022, 1.02408e-20
0.023, -1.72747e-20
0.024, 6.32588e-21
0.025, -3.39781e-19
0.026, 2.51408e-19
0.027, 1.63082e-19
0.028, 8.13981e-20
0.029, -3.82496e-19
0.03, 5.91027e-19
0.031, -3.74437e-19
0.032, 3.18077e-19
0.033, -6.29626e-19
0.034, 3.6337e-20
0.035, 4.16326e-19
0.036, -3.67633e-20
0.037, -8.12282e-20
0.038, 1.33297e-19
0.039, -3.30689e-19
0.04, 1.31003e-19
0.041, 1.74392e-20
0.042, -9.14302e-20
0.043, 4.08805e-19
0.044, 8.1575e-21
0.045, -6.02953e-19
0.046, 4.58562e-21
0.047, 3.92177e-19
0.048, 1.9122e-20
0.049, -7.64426e-20
0.05, -3.25923e-20
0.051, 2.0443e-19
0.052, -8.86203e-20
0.053, 2.92979e-20
0.054, -1.33128e-19
0.055, 1.54358e-19
0.056, -3.09198e-19
0.057, -7.63795e-21
0.058, 2.7001e-19
0.059, 7.56251e-20
0.06, -1.50821e-19
0.061, 3.25848e-19
0.062, -3.83349e-19
0.063, -1.18517e-20
0.064, 3.78235e-20
0.065, -3.66968e-19
0.066, 3.80923e-19
0.067, -9.56597e-20
0.068, 1.53519e-19
0.069, -1.75915e-19
0.07, -6.19383e-20
0.071, 4.22004e-20
0.072, 9.47321e-20
0.073, 3.71021e-19
0.074, -3.55143e-19
0.075, -2.87379e-19
0.076, -6.99859e-20
0.077, 5.13354e-19
0.078, -3.39991e-19
0.079, 1.58319e-19
0.08, -2.21885e-20
0.081, -3.13615e-20
0.082, 2.53889e-20
0.083, 2.91267e-19
0.084, -1.89385e-19
0.085, -1.18163e-19
0.086, 1.63263e-19
0.087, -4.40165e-19
0.088, 3.18041e-19
0.089, -1.74392e-20
0.09, -7.08891e-20
0.091, -1.47076e-19
0.092, 3.7943e-19
0.093, -1.13537e-19
0.094, 5.67048e-20
0.095, 1.35365e-19
0.096, -2.67282e-20
0.097, -2.43225e-20
0.098, -2.77229e-20
0.099, -2.14341e-19
0.1, 2.2019e-19
0.101, -2.14541e-20
0.102, 2.04583e-21
0.103, -2.06219e-19
0.104, -1.41176e-19
0.105, 3.02692e-19
0.106, -4.33074e-20
0.107, -1.94146e-19
0.108, 4.12291e-19
0.109, -1.31364e-19
0.11, -2.13941e-19
0.111, -1.05819e-19
0.112, 1.56208e-19
0.113, 2.89913e-19
0.114, -5.91498e-19
0.115, 6.01906e-19
0.116, -9.45912e-21
0.117, -1.42108e-19
0.118, 1.06915e-19
0.119, -4.43674e-19
0.12, 3.89611e-19
0.121, 4.45627e-21
0.122, -8.19904e-20
0.123, -4.07672e-19
0.124, 4.51491e-19
0.125, -3.94537e-19
0.126, 3.40474e-19
0.127, -2.52441e-19
0.128, 2.05009e-19
0.129, 9.02821e-20
0.13, -1.33575e-19
0.131, 7.09824e-20
0.132, -1.07439e-19
0.133, 3.44624e-20
0.134, 2.81872e-19
0.135, -5.42615e-19
