sim_time, unit_box_Custom?world_pose/orientation/roll
0.245, 7.45967e-19
0.246, 7.46249e-19
0.247, 7.46576e-19
0.248, 7.46502e-19
0.249, 7.43364e-19
0.25, 7.43379e-19
0.251, 7.45214e-19
0.252, 7.4354e-19
0.253, 7.45463e-19
0.254, 7.46986e-19
0.255, 7.45001e-19
0.256, 7.47056e-19
0.257, 7.45602e-19
0.258, 7.41528e-19
0.259, 7.48156e-19
0.26, 7.46835e-19
0.261, 7.46001e-19
0.262, 7.43436e-19
0.263, 7.44911e-19
0.264, 7.48207e-19
0.265, 7.46661e-19
0.266, 7.47824e-19
0.267, 7.45923e-19
0.268, 7.44954e-19
0.269, 7.42697e-19
0.27, 7.46256e-19
0.271, 7.46752e-19
0.272, 7.48623e-19
0.273, 7.51871e-19
0.274, 7.48057e-19
0.275, 7.42956e-19
0.276, 7.4678e-19
0.277, 7.45319e-19
0.278, 7.45678e-19
0.279, 7.45193e-19
0.28, 7.49193e-19
0.281, 7.43468e-19
0.282, 7.43115e-19
0.283, 7.44138e-19
0.284, 7.4343e-19
0.285, 7.42765e-19
0.286, 7.43033e-19
0.287, 7.46453e-19
0.288, 7.48585e-19
0.289, 7.44988e-19
0.29, 7.42767e-19
0.291, 7.45031e-19
0.292, 7.45563e-19
0.293, 7.46582e-19
0.294, 7.46314e-19
0.295, 7.45202e-19
0.296, 7.45021e-19
0.297, 7.44885e-19
0.298, 7.50122e-19
0.299, 7.45633e-19
0.3, 7.46517e-19
0.301, 7.49221e-19
0.302, 7.43532e-19
0.303, 7.481e-19
0.304, 7.46052e-19
0.305, 7.476e-19
0.306, 7.46528e-19
0.307, 7.47276e-19
0.308, 7.42739e-19
0.309, 7.4402e-19
0.31, 7.45788e-19
0.311, 7.49821e-19
0.312, 7.48569e-19
0.313, 7.44696e-19
0.314, 7.43976e-19
0.315, 7.45077e-19
0.316, 7.48442e-19
0.317, 7.4741e-19
0.318, 7.45533e-19
0.319, 7.4681e-19
0.32, 7.4591e-19
0.321, 7.44166e-19
0.322, 7.44242e-19
0.323, 7.44807e-19
0.324, 7.45416e-19
0.325, 7.47845e-19
0.326, 7.46765e-19
0.327, 7.46618e-19
0.328, 7.47846e-19
0.329, 7.46011e-19
0.33, 7.46439e-19
0.331, 7.50909e-19
0.332, 7.47873e-19
0.333, 7.45769e-19
0.334, 7.46374e-19
0.335, 7.46135e-19
0.336, 7.48604e-19
0.337, 7.47565e-19
0.338, 7.4124e-19
0.339, 7.44286e-19
0.34, 7.46487e-19
0.341, 7.43403e-19
0.342, 7.47913e-19
0.343, 7.46694e-19
0.344, 7.45075e-19
0.345, 7.48828e-19
0.346, 7.44188e-19
0.347, 7.47586e-19
0.348, 7.45699e-19
0.349, 7.44744e-19
0.35, 7.43833e-19
0.351, 7.42522e-19
0.352, 7.46584e-19
0.353, 7.45207e-19
0.354, 7.4561e-19
0.355, 7.44933e-19
0.356, 7.443e-19
0.357, 7.43711e-19
0.358, 7.45873e-19
0.359, 7.46802e-19
0.36, 7.48623e-19
0.361, 7.42702e-19
0.362, 7.44375e-19
0.363, 7.42983e-19
0.364, 7.45231e-19
0.365, 7.44024e-19
0.366, 7.45042e-19
0.367, 7.46756e-19
0.368, 7.5029e-19
0.369, 7.41878e-19
0.37, 7.44211e-19
0.371, 7.44866e-19
0.372, 7.4508e-19
0.373, 7.41994e-19
0.374, 7.43837e-19
0.375, 7.47057e-19
0.376, 7.41926e-19
0.377, 7.44887e-19
0.378, 7.43855e-19
0.379, 7.45739e-19
0.38, 7.44115e-19
0.381, 7.45644e-19
0.382, 7.4726e-19
0.383, 7.44533e-19
0.384, 7.45807e-19
0.385, 7.45113e-19
0.386, 7.48015e-19
0.387, 7.45632e-19
0.388, 7.46001e-19
0.389, 7.47801e-19
0.39, 7.44719e-19
