sim_time, unit_box_Custom?world_linear_acceleration/z
0.001, 2.69577e-08
0.002, 2.03926e-12
0.003, 2.50466e-13
0.004, 0
0.005, 0
0.006, 0
0.007, 0
0.008, 0
0.009, 0
0.01, 0
0.011, -1.77636e-15
0.012, 3.55271e-15
0.013, -3.55271e-15
0.014, 1.77636e-15
0.015, 0
0.016, -3.55271e-15
0.017, 3.55271e-15
0.018, -1.77636e-15
0.019, 0
0.02, 1.77636e-15
0.021, 0
0.022, 0
0.023, -1.77636e-15
0.024, 3.55271e-15
0.025, -3.55271e-15
0.026, 0
0.027, 1.77636e-15
0.028, 0
0.029, 0
0.03, 0
0.031, 0
0.032, 1.77636e-15
0.033, -3.55271e-15
0.034, 0
0.035, 1.77636e-15
0.036, 0
0.037, -3.55271e-15
0.038, 1.77636e-15
0.039, 1.77636e-15
0.04, 0
0.041, 0
0.042, -1.77636e-15
0.043, 1.77636e-15
0.044, 0
0.045, 0
0.046, -1.77636e-15
0.047, 0
0.048, 3.55271e-15
0.049, -3.55271e-15
0.05, -1.77636e-15
0.051, 3.55271e-15
0.052, -3.55271e-15
0.053, 0
0.054, 3.55271e-15
0.055, 1.77636e-15
0.056, -3.55271e-15
0.057, 0
0.058, 1.77636e-15
0.059, -3.55271e-15
0.06, 3.55271e-15
0.061, 3.55271e-15
0.062, -5.32907e-15
0.063, 1.77636e-15
0.064, 0
0.065, 0
0.066, 0
0.067, -1.77636e-15
0.068, 3.55271e-15
0.069, 0
0.07, -5.32907e-15
0.071, 1.77636e-15
0.072, 0
0.073, 1.77636e-15
0.074, 0
0.075, -3.55271e-15
0.076, 1.77636e-15
0.077, 3.55271e-15
0.078, 0
0.079, 0
0.08, 0
0.081, -3.55271e-15
0.082, 3.55271e-15
0.083, -3.55271e-15
0.084, 1.77636e-15
0.085, -3.55271e-15
0.086, 3.55271e-15
0.087, 0
0.088, 0
0.089, 0
0.09, 0
0.091, -3.55271e-15
0.092, 3.55271e-15
0.093, -1.77636e-15
0.094, 0
0.095, 0
0.096, 1.77636e-15
0.097, 0
0.098, 0
0.099, 0
0.1, 1.77636e-15
0.101, -5.32907e-15
0.102, 3.55271e-15
0.103, 0
0.104, -3.55271e-15
0.105, 3.55271e-15
0.106, 0
0.107, 3.55271e-15
0.108, -5.32907e-15
0.109, 0
0.11, 3.55271e-15
0.111, 0
0.112, 0
0.113, -5.32907e-15
0.114, 3.55271e-15
0.115, -1.77636e-15
0.116, 1.77636e-15
0.117, -3.55271e-15
0.118, 3.55271e-15
0.119, 0
0.12, 0
0.121, 0
0.122, 0
0.123, 0
0.124, 0
0.125, -3.55271e-15
0.126, 3.55271e-15
0.127, 0
0.128, -3.55271e-15
0.129, 3.55271e-15
