Time,Y Velocity,Y Position
0.001,0.00019,9.50E-08
0.002,0.00038,3.80E-07
0.003,0.00057,8.55E-07
0.004,0.00076,1.52E-06
0.005,0.00095,2.37E-06
0.006,0.00114,3.42E-06
0.007,0.00133,4.65E-06
0.008,0.00152,6.08E-06
0.009,0.00171,7.69E-06
0.01,0.0019,9.50E-06
0.011,0.00209,1.15E-05
0.012,0.00228,1.37E-05
0.013,0.00247,1.61E-05
0.014,0.00266,1.86E-05
0.015,0.00285,2.14E-05
0.016,0.00304,2.43E-05
0.017,0.00323,2.75E-05
0.018,0.00342,3.08E-05
0.019,0.00361,3.43E-05
0.02,0.0038,3.80E-05
0.021,0.00399,4.19E-05
0.022,0.00418,4.60E-05
0.023,0.00437,5.03E-05
0.024,0.00456,5.47E-05
0.025,0.00475,5.94E-05
0.026,0.00494,6.42E-05
0.027,0.00513,6.93E-05
0.028,0.00532,7.45E-05
0.029,0.00551,7.99E-05
0.03,0.0057,8.55E-05
0.031,0.00589,9.13E-05
0.032,0.00608,9.73E-05
0.033,0.00627,0.000103455
0.034,0.00646,0.00010982
0.035,0.00665,0.000116375
0.036,0.00684,0.00012312
0.037,0.00703,0.000130055
0.038,0.00722,0.00013718
0.039,0.00741,0.000144495
0.04,0.0076,0.000152
0.041,0.00779,0.000159695
0.042,0.00798,0.00016758
0.043,0.00817,0.000175655
0.044,0.00836,0.00018392
0.045,0.00855,0.000192375
0.046,0.00874,0.00020102
0.047,0.00893,0.000209855
0.048,0.00912,0.00021888
0.049,0.00931,0.000228095
0.05,0.0095,0.0002375
0.051,0.00969,0.000247095
0.052,0.00988,0.00025688
0.053,0.01007,0.000266855
0.054,0.01026,0.00027702
0.055,0.01045,0.000287375
0.056,0.01064,0.00029792
0.057,0.01083,0.000308655
0.058,0.01102,0.00031958
0.059,0.01121,0.000330695
0.06,0.0114,0.000342
0.061,0.01159,0.000353495
0.062,0.01178,0.00036518
0.063,0.01197,0.000377055
0.064,0.01216,0.00038912
0.065,0.01235,0.000401375
0.066,0.01254,0.00041382
0.067,0.01273,0.000426455
0.068,0.01292,0.00043928
0.069,0.01311,0.000452295
0.07,0.0133,0.0004655
0.071,0.01349,0.000478895
0.072,0.01368,0.00049248
0.073,0.01387,0.000506255
0.074,0.01406,0.00052022
0.075,0.01425,0.000534375
0.076,0.01444,0.00054872
0.077,0.01463,0.000563255
0.078,0.01482,0.00057798
0.079,0.01501,0.000592895
0.08,0.0152,0.000608
0.081,0.01539,0.000623295
0.082,0.01558,0.00063878
0.083,0.01577,0.000654455
0.084,0.01596,0.00067032
0.085,0.01615,0.000686375
0.086,0.01634,0.00070262
0.087,0.01653,0.000719055
0.088,0.01672,0.00073568
0.089,0.01691,0.000752495
0.09,0.0171,0.0007695
0.091,0.01729,0.000786695
0.092,0.01748,0.00080408
0.093,0.01767,0.000821655
0.094,0.01786,0.00083942
0.095,0.01805,0.000857375
0.096,0.01824,0.00087552
0.097,0.01843,0.000893855
0.098,0.01862,0.00091238
0.099,0.01881,0.000931095
0.1,0.019,0.00095
0.101,0.01919,0.000969095
0.102,0.01938,0.00098838
0.103,0.01957,0.001007855
0.104,0.01976,0.00102752
0.105,0.01995,0.001047375
0.106,0.02014,0.00106742
0.107,0.02033,0.001087655
0.108,0.02052,0.00110808
0.109,0.02071,0.001128695
0.11,0.0209,0.0011495
0.111,0.02109,0.001170495
0.112,0.02128,0.00119168
0.113,0.02147,0.001213055
0.114,0.02166,0.00123462
0.115,0.02185,0.001256375
0.116,0.02204,0.00127832
0.117,0.02223,0.001300455
0.118,0.02242,0.00132278
0.119,0.02261,0.001345295
0.12,0.0228,0.001368
0.121,0.02299,0.001390895
0.122,0.02318,0.00141398
0.123,0.02337,0.001437255
0.124,0.02356,0.00146072
0.125,0.02375,0.001484375
0.126,0.02394,0.00150822
0.127,0.02413,0.001532255
0.128,0.02432,0.00155648
0.129,0.02451,0.001580895
0.13,0.0247,0.0016055
0.131,0.02489,0.001630295
0.132,0.02508,0.00165528
0.133,0.02527,0.001680455
0.134,0.02546,0.00170582
0.135,0.02565,0.001731375
0.136,0.02584,0.00175712
0.137,0.02603,0.001783055
0.138,0.02622,0.00180918
0.139,0.02641,0.001835495
0.14,0.0266,0.001862
0.141,0.02679,0.001888695
0.142,0.02698,0.00191558
0.143,0.02717,0.001942655
0.144,0.02736,0.00196992
0.145,0.02755,0.001997375
0.146,0.02774,0.00202502
0.147,0.02793,0.002052855
0.148,0.02812,0.00208088
0.149,0.02831,0.002109095
0.15,0.0285,0.0021375
0.151,0.02869,0.002166095
0.152,0.02888,0.00219488
0.153,0.02907,0.002223855
0.154,0.02926,0.00225302
0.155,0.02945,0.002282375
0.156,0.02964,0.00231192
0.157,0.02983,0.002341655
0.158,0.03002,0.00237158
0.159,0.03021,0.002401695
0.16,0.0304,0.002432
0.161,0.03059,0.002462495
0.162,0.03078,0.00249318
0.163,0.03097,0.002524055
0.164,0.03116,0.00255512
0.165,0.03135,0.002586375
0.166,0.03154,0.00261782
0.167,0.03173,0.002649455
0.168,0.03192,0.00268128
0.169,0.03211,0.002713295
0.17,0.0323,0.0027455
0.171,0.03249,0.002777895
0.172,0.03268,0.00281048
0.173,0.03287,0.002843255
0.174,0.03306,0.00287622
0.175,0.03325,0.002909375
0.176,0.03344,0.00294272
0.177,0.03363,0.002976255
0.178,0.03382,0.00300998
0.179,0.03401,0.003043895
0.18,0.0342,0.003078
0.181,0.03439,0.003112295
0.182,0.03458,0.00314678
0.183,0.03477,0.003181455
0.184,0.03496,0.00321632
0.185,0.03515,0.003251375
0.186,0.03534,0.00328662
0.187,0.03553,0.003322055
0.188,0.03572,0.00335768
0.189,0.03591,0.003393495
0.19,0.0361,0.0034295
0.191,0.03629,0.003465695
0.192,0.03648,0.00350208
0.193,0.03667,0.003538655
0.194,0.03686,0.00357542
0.195,0.03705,0.003612375
0.196,0.03724,0.00364952
0.197,0.03743,0.003686855
0.198,0.03762,0.00372438
0.199,0.03781,0.003762095
0.2,0.038,0.0038
0.201,0.03819,0.003838095
0.202,0.03838,0.00387638
0.203,0.03857,0.003914855
0.204,0.03876,0.00395352
0.205,0.03895,0.003992375
