sim_time, unit_box_Custom?world_angular_acceleration/x
0.001, -2.10472e-06
0.002, -0.0402143
0.003, 3.0419e-07
0.004, -1.88946e-05
0.005, -2.37323e-06
0.006, -4.44748e-06
0.007, -1.24463e-06
0.008, -4.39921e-05
0.009, -5.76778e-06
0.01, -1.26951e-05
0.011, -2.42992e-06
0.012, -6.83563e-05
0.013, -9.85235e-06
0.014, -2.11102e-05
0.015, -3.51277e-06
0.016, -9.28255e-05
0.017, -1.38627e-05
0.018, -2.95338e-05
0.019, -4.63566e-06
0.02, -0.000117567
0.021, -1.76785e-05
0.022, -3.79665e-05
0.023, -5.80784e-06
0.024, -0.00014252
0.025, -2.13845e-05
0.026, -4.64389e-05
0.027, -7.01252e-06
0.028, -0.000167634
0.029, -2.50508e-05
0.03, -5.49765e-05
0.031, -8.23878e-06
0.032, -0.000192894
0.033, -2.87133e-05
0.034, -6.35985e-05
0.035, -9.48236e-06
0.036, -0.000218305
0.037, -3.23883e-05
0.038, -7.23205e-05
0.039, -1.07425e-05
0.04, -0.000243881
0.041, -3.60839e-05
0.042, -8.11568e-05
0.043, -1.20203e-05
0.044, -0.000269639
0.045, -3.9805e-05
0.046, -9.01208e-05
0.047, -1.33171e-05
0.048, -0.000295596
0.049, -4.35552e-05
0.05, -9.92261e-05
0.051, -1.46349e-05
0.052, -0.000321773
0.053, -4.73376e-05
0.054, -0.000108486
0.055, -1.59755e-05
0.056, -0.000348188
0.057, -5.1155e-05
0.058, -0.000117915
0.059, -1.7341e-05
0.06, -0.000374863
0.061, -5.50104e-05
0.062, -0.000127527
0.063, -1.87332e-05
0.064, -0.000401815
0.065, -5.89067e-05
0.066, -0.000137335
0.067, -2.01543e-05
0.068, -0.000429067
0.069, -6.28469e-05
0.07, -0.000147354
0.071, -2.16063e-05
0.072, -0.000456637
0.073, -6.68339e-05
0.074, -0.000157599
0.075, -2.30914e-05
0.076, -0.000484548
0.077, -7.08706e-05
0.078, -0.000168084
0.079, -2.46116e-05
0.08, -0.000512821
0.081, -7.49603e-05
0.082, -0.000178825
0.083, -2.61691e-05
0.084, -0.000541476
0.085, -7.91059e-05
0.086, -0.000189836
0.087, -2.77662e-05
0.088, -0.000570535
0.089, -8.33107e-05
0.09, -0.000201133
0.091, -2.94051e-05
0.092, -0.000600021
0.093, -8.75777e-05
0.094, -0.000212732
0.095, -3.10907e-05
0.096, -0.000629941
0.097, -9.19385e-05
0.098, -0.000224637
0.099, -3.28375e-05
0.1, -0.00066027
0.101, -9.64387e-05
0.102, 3.23316
0.103, 1.98346
0.104, -8.95321
0.105, -3.20284
0.106, 13.9707
0.107, -5.35364
0.108, -3.23838
0.109, 1.55536
0.11, 0.0894485
0.111, 3.8774e-26
0.112, -0.0476545
0.113, 0.0135215
0.114, -4.19193
0.115, 8.38344
0.116, 4.48904
0.117, -17.3474
0.118, -0.847484
0.119, 19.0156
0.12, 0.225785
0.121, -19.4274
0.122, -0.0723601
0.123, 19.5289
0.124, 0.0344994
0.125, -19.554
0.126, -0.0251567
0.127, 19.5602
0.128, 0.0228511
0.129, -19.5617
0.13, -0.0222823
0.131, 19.5621
0.132, 0.0221418
0.133, -19.5622
0.134, -0.0221073
0.135, 19.5622
0.136, 0.0220986
0.137, -19.5622
0.138, -0.0220966
0.139, 19.5622
0.14, 0.022096
0.141, -19.5622
0.142, -0.022096
0.143, 19.5622
0.144, 0.0220958
0.145, -19.5622
0.146, -0.0220959
0.147, 19.5622
0.148, 0.0220958
0.149, -19.5622
0.15, -0.0220959
0.151, 19.5622
0.152, 0.0220958
0.153, -19.5622
0.154, -0.0220959
0.155, 19.5622
0.156, 0.0220958
0.157, -19.5622
0.158, -0.0220959
0.159, 19.5622
0.16, 0.0220958
0.161, -19.5622
0.162, -0.0220959
0.163, 19.5622
0.164, 0.0220958
0.165, -19.5622
0.166, -0.0220959
0.167, 19.5622
0.168, 0.0220958
0.169, -19.5622
0.17, -0.0220959
0.171, 19.5622
0.172, 0.0220958
0.173, -19.5622
0.174, -0.0220959
0.175, 19.5622
0.176, 0.0220958
0.177, -19.5622
0.178, -0.0220959
0.179, 19.5622
0.18, 0.0220958
0.181, -19.5622
0.182, -0.0220959
0.183, 19.5622
0.184, 0.0220958
0.185, -19.5622
0.186, -0.0220959
0.187, 19.5622
0.188, 0.0220958
0.189, -19.5622
0.19, -0.0220959
0.191, 19.5622
0.192, 0.0220958
0.193, -19.5622
0.194, -0.0220959
0.195, 19.5622
0.196, 0.0220958
0.197, -19.5622
0.198, -0.0220959
0.199, 19.5622
0.2, 0.0220958
0.201, -19.5622
0.202, -0.0220959
0.203, 19.5622
0.204, 0.0220958
0.205, -19.5622
0.206, -0.0220959
0.207, 19.5622
0.208, 0.0220958
0.209, -19.5622
0.21, -0.0220959
0.211, 19.5622
0.212, 0.0220958
0.213, -19.5622
0.214, -0.0220959
0.215, 19.5622
0.216, 0.0220958
0.217, -19.5622
0.218, -0.0220959
0.219, 19.5622
0.22, 0.0220958
0.221, -19.5622
0.222, -0.0220959
0.223, 19.5622
0.224, 0.0220958
0.225, -19.5622
0.226, -0.0220959
0.227, 19.5622
0.228, 0.0220958
0.229, -19.5622
0.23, -0.0220959
0.231, 19.5622
0.232, 0.0220958
0.233, -19.5622
0.234, -0.0220959
0.235, 19.5622
0.236, 0.0220958
0.237, -19.5622
0.238, -0.0220959
0.239, 19.5622
0.24, 0.0220958
0.241, -19.5622
0.242, -0.0220959
0.243, 19.5622
0.244, 0.0220958
0.245, -19.5622
0.246, -0.0220959
0.247, 19.5622
0.248, 0.0220958
0.249, -19.5622
0.25, -0.0220959
0.251, 19.5622
0.252, 0.0220958
0.253, -19.5622
0.254, -0.0220959
0.255, 19.5622
0.256, 0.0220958
0.257, -19.5622
0.258, -0.0220959
0.259, 19.5622
0.26, 0.0220958
0.261, -19.5622
0.262, -0.0220959
0.263, 19.5622
0.264, 0.0220958
0.265, -19.5622
0.266, -0.0220959
0.267, 19.5622
0.268, 0.0220958
0.269, -19.5622
0.27, -0.0220959
0.271, 19.5622
0.272, 0.0220958
0.273, -19.5622
0.274, -0.0220959
0.275, 19.5622
0.276, 0.0220958
0.277, -19.5622
0.278, -0.0220959
0.279, 19.5622
0.28, 0.0220958
0.281, -19.5622
0.282, -0.0220959
0.283, 19.5622
0.284, 0.0220958
0.285, -19.5622
0.286, -0.0220959
0.287, 19.5622
0.288, 0.0220958
0.289, -19.5622
0.29, -0.0220959
0.291, 19.5622
0.292, 0.0220958
0.293, -19.5622
0.294, -0.0220959
0.295, 19.5622
0.296, 0.0220958
0.297, -19.5622
0.298, -0.0220959
0.299, 19.5622
0.3, 0.0220958
0.301, -19.5622
0.302, -0.0220959
0.303, 19.5622
0.304, 0.0220958
0.305, -19.5622
0.306, -0.0220959
0.307, 19.5622
0.308, 0.0220958
0.309, -19.5622
0.31, -0.0220959
0.311, 19.5622
0.312, 0.0220958
0.313, -19.5622
0.314, -0.0220959
0.315, 19.5622
0.316, 0.0220958
0.317, -19.5622
0.318, -0.0220959
0.319, 19.5622
0.32, 0.0220958
0.321, -19.5622
0.322, -0.0220959
0.323, 19.5622
0.324, 0.0220958
0.325, -19.5622
0.326, -0.0220959
0.327, 19.5622
0.328, 0.0220958
0.329, -19.5622
0.33, -0.0220959
0.331, 19.5622
0.332, 0.0220958
0.333, -19.5622
0.334, -0.0220959
0.335, 19.5622
0.336, 0.0220958
0.337, -19.5622
0.338, -0.0220959
0.339, 19.5622
0.34, 0.0220958
0.341, -19.5622
0.342, -0.0220959
0.343, 19.5622
0.344, 0.0220958
0.345, -19.5622
0.346, -0.0220959
0.347, 19.5622
0.348, 0.0220958
0.349, -19.5622
0.35, -0.0220959
0.351, 19.5622
0.352, 0.0220958
0.353, -19.5622
0.354, -0.0220959
0.355, 19.5622
0.356, 0.0220958
0.357, -19.5622
0.358, -0.0220959
0.359, 19.5622
0.36, 0.0220958
0.361, -19.5622
0.362, -0.0220959
0.363, 19.5622
0.364, 0.0220958
0.365, -19.5622
0.366, -0.0220959
0.367, 19.5622
0.368, 0.0220958
0.369, -19.5622
0.37, -0.0220959
0.371, 19.5622
0.372, 0.0220958
0.373, -19.5622
0.374, -0.0220959
0.375, 19.5622
0.376, 0.0220958
0.377, -19.5622
0.378, -0.0220959
0.379, 19.5622
0.38, 0.0220958
0.381, -19.5622
0.382, -0.0220959
0.383, 19.5622
0.384, 0.0220958
0.385, -19.5622
0.386, -0.0220959
0.387, 19.5622
0.388, 0.0220958
0.389, -19.5622
0.39, -0.0220959
0.391, 19.5622
0.392, 0.0220958
0.393, -19.5622
0.394, -0.0220959
0.395, 19.5622
0.396, 0.0220958
0.397, -19.5622
0.398, -0.0220959
0.399, 19.5622
0.4, 0.0220958
0.401, -19.5622
0.402, -0.0220959
0.403, 19.5622
0.404, 0.0220958
0.405, -19.5622
0.406, -0.0220959
0.407, 19.5622
0.408, 0.0220958
0.409, -19.5622
0.41, -0.0220959
0.411, 19.5622
0.412, 0.0220958
0.413, -19.5622
0.414, -0.0220959
0.415, 19.5622
0.416, 0.0220958
0.417, -19.5622
0.418, -0.0220959
0.419, 19.5622
0.42, 0.0220958
0.421, -19.5622
0.422, -0.0220959
0.423, 19.5622
0.424, 0.0220958
0.425, -19.5622
0.426, -0.0220959
0.427, 19.5622
0.428, 0.0220958
0.429, -19.5622
0.43, -0.0220959
0.431, 19.5622
0.432, 0.0220958
0.433, -19.5622
0.434, -0.0220959
0.435, 19.5622
0.436, 0.0220958
0.437, -19.5622
0.438, -0.0220959
0.439, 19.5622
0.44, 0.0220958
0.441, -19.5622
0.442, -0.0220959
0.443, 19.5622
0.444, 0.0220958
0.445, -19.5622
0.446, -0.0220959
0.447, 19.5622
0.448, 0.0220958
0.449, -19.5622
0.45, -0.0220959
0.451, 19.5622
0.452, 0.0220958
0.453, -19.5622
0.454, -0.0220959
0.455, 19.5622
0.456, 0.0220958
0.457, -19.5622
0.458, -0.0220959
0.459, 19.5622
0.46, 0.0220958
0.461, -19.5622
0.462, -0.0220959
0.463, 19.5622
0.464, 0.0220958
0.465, -19.5622
0.466, -0.0220959
0.467, 19.5622
0.468, 0.0220958
0.469, -19.5622
0.47, -0.0220959
0.471, 19.5622
0.472, 0.0220958
0.473, -19.5622
0.474, -0.0220959
0.475, 19.5622
0.476, 0.0220958
0.477, -19.5622
0.478, -0.0220959
0.479, 19.5622
0.48, 0.0220958
0.481, -19.5622
0.482, -0.0220959
0.483, 19.5622
0.484, 0.0220958
0.485, -19.5622
0.486, -0.0220959
0.487, 19.5622
0.488, 0.0220958
0.489, -19.5622
0.49, -0.0220959
0.491, 19.5622
0.492, 0.0220958
0.493, -19.5622
0.494, -0.0220959
0.495, 19.5622
0.496, 0.0220958
0.497, -19.5622
0.498, -0.0220959
0.499, 19.5622
0.5, 0.0220958
0.501, -19.5622
0.502, -0.0220959
0.503, 19.5622
0.504, 0.0220958
0.505, -19.5622
0.506, -0.0220959
0.507, 19.5622
0.508, 0.0220958
0.509, -19.5622
0.51, -0.0220959
0.511, 19.5622
0.512, 0.0220958
0.513, -19.5622
0.514, -0.0220959
0.515, 19.5622
0.516, 0.0220958
0.517, -19.5622
0.518, -0.0220959
0.519, 19.5622
0.52, 0.0220958
0.521, -19.5622
0.522, -0.0220959
0.523, 19.5622
0.524, 0.0220958
0.525, -19.5622
0.526, -0.0220959
0.527, 19.5622
0.528, 0.0220958
0.529, -19.5622
0.53, -0.0220959
0.531, 19.5622
0.532, 0.0220958
0.533, -19.5622
0.534, -0.0220959
0.535, 19.5622
0.536, 0.0220958
0.537, -19.5622
0.538, -0.0220959
0.539, 19.5622
0.54, 0.0220958
0.541, -19.5622
0.542, -0.0220959
0.543, 19.5622
0.544, 0.0220958
0.545, -19.5622
0.546, -0.0220959
0.547, 19.5622
0.548, 0.0220958
0.549, -19.5622
0.55, -0.0220959
0.551, 19.5622
0.552, 0.0220958
0.553, -19.5622
0.554, -0.0220959
0.555, 19.5622
0.556, 0.0220958
0.557, -19.5622
0.558, -0.0220959
0.559, 19.5622
0.56, 0.0220958
0.561, -19.5622
0.562, -0.0220959
0.563, 19.5622
0.564, 0.0220958
0.565, -19.5622
0.566, -0.0220959
0.567, 19.5622
0.568, 0.0220958
0.569, -19.5622
0.57, -0.0220959
0.571, 19.5622
0.572, 0.0220958
0.573, -19.5622
0.574, -0.0220959
0.575, 19.5622
0.576, 0.0220958
0.577, -19.5622
0.578, -0.0220959
0.579, 19.5622
0.58, 0.0220958
0.581, -19.5622
0.582, -0.0220959
0.583, 19.5622
0.584, 0.0220958
0.585, -19.5622
0.586, -0.0220959
0.587, 19.5622
0.588, 0.0220958
0.589, -19.5622
0.59, -0.0220959
0.591, 19.5622
0.592, 0.0220958
0.593, -19.5622
0.594, -0.0220959
0.595, 19.5622
0.596, 0.0220958
0.597, -19.5622
0.598, -0.0220959
0.599, 19.5622
0.6, 0.0220958
0.601, -19.5622
0.602, -0.0220959
0.603, 19.5622
0.604, 0.0220958
0.605, -19.5622
0.606, -0.0220959
0.607, 19.5622
0.608, 0.0220958
0.609, -19.5622
0.61, -0.0220959
0.611, 19.5622
0.612, 0.0220958
0.613, -19.5622
0.614, -0.0220959
0.615, 19.5622
0.616, 0.0220958
0.617, -19.5622
0.618, -0.0220959
0.619, 19.5622
0.62, 0.0220958
0.621, -19.5622
0.622, -0.0220959
0.623, 19.5622
0.624, 0.0220958
0.625, -19.5622
0.626, -0.0220959
0.627, 19.5622
0.628, 0.0220958
0.629, -19.5622
0.63, -0.0220959
0.631, 19.5622
0.632, 0.0220958
0.633, -19.5622
