sim_time, unit_box_Custom?world_pose/orientation/pitch
0.001, -5.33918e-06
0.002, -2.00082e-07
0.003, 7.49059e-06
0.004, 1.61919e-06
0.005, -5.51711e-06
0.006, -4.25997e-07
0.007, 7.03591e-06
0.008, 1.26557e-06
0.009, -6.01925e-06
0.01, -7.12766e-07
0.011, 6.67072e-06
0.012, 1.05468e-06
0.013, -6.27677e-06
0.014, -8.50254e-07
0.015, 6.50948e-06
0.016, 9.69433e-07
0.017, -6.37504e-06
0.018, -9.00967e-07
0.019, 6.45189e-06
0.02, 9.39926e-07
0.021, -6.40831e-06
0.022, -9.17911e-07
0.023, 6.43288e-06
0.024, 9.30308e-07
0.025, -6.41908e-06
0.026, -9.23373e-07
0.027, 6.42679e-06
0.028, 9.27247e-07
0.029, -6.4225e-06
0.03, -9.25122e-07
0.031, 6.42483e-06
0.032, 9.26276e-07
0.033, -6.42358e-06
0.034, -9.25694e-07
0.035, 6.42419e-06
0.036, 9.25962e-07
0.037, -6.42393e-06
0.038, -9.25874e-07
0.039, 6.42398e-06
0.04, 9.25851e-07
0.041, -6.42406e-06
0.042, -9.25939e-07
0.043, 6.42391e-06
0.044, 9.25807e-07
0.045, -6.42411e-06
0.046, -9.25965e-07
0.047, 6.42388e-06
0.048, 9.25786e-07
0.049, -6.42414e-06
0.05, -9.25978e-07
0.051, 6.42386e-06
0.052, 9.25773e-07
0.053, -6.42416e-06
0.054, -9.25987e-07
0.055, 6.42385e-06
0.056, 9.25761e-07
0.057, -6.42417e-06
0.058, -9.25995e-07
0.059, 6.42383e-06
0.06, 9.2575e-07
0.061, -6.42419e-06
0.062, -9.26002e-07
0.063, 6.42382e-06
0.064, 9.2574e-07
0.065, -6.4242e-06
0.066, -9.26009e-07
0.067, 6.42381e-06
0.068, 9.25729e-07
0.069, -6.42421e-06
0.07, -9.26016e-07
0.071, 6.4238e-06
0.072, 9.25719e-07
0.073, -6.42423e-06
0.074, -9.26023e-07
0.075, 6.42379e-06
0.076, 9.25708e-07
0.077, -6.42424e-06
0.078, -9.2603e-07
0.079, 6.42378e-06
0.08, 9.25697e-07
0.081, -6.42426e-06
0.082, -9.26037e-07
0.083, 6.42377e-06
0.084, 9.25687e-07
0.085, -6.42427e-06
0.086, -9.26044e-07
0.087, 6.42376e-06
0.088, 9.25676e-07
0.089, -6.42429e-06
0.09, -9.26052e-07
0.091, 6.42375e-06
0.092, 9.25665e-07
0.093, -6.4243e-06
0.094, -9.26138e-07
0.095, 6.42374e-06
0.096, 9.26049e-07
0.097, -6.42409e-06
0.098, -9.26806e-07
0.099, 6.42312e-06
0.1, 9.26942e-07
0.101, -6.42352e-06
0.102, -9.91851e-07
0.103, 6.42442e-06
0.104, 2.83556e-09
0.105, -2.89975e-06
0.106, -2.81268e-08
0.107, 8.19036e-06
0.108, 8.67984e-09
0.109, -9.98941e-06
0.11, -1.10751e-08
0.111, 9.95258e-06
0.112, -2.11119e-06
0.113, -3.53079e-06
0.114, -7.58603e-07
0.115, -3.00524e-11
0.116, 5.31245e-09
0.117, 3.54196e-09
0.118, 2.5974e-10
0.119, 4.49459e-09
0.12, 1.41421e-10
0.121, 4.72074e-09
0.122, 1.02223e-10
0.123, 4.77633e-09
0.124, 9.26382e-11
0.125, 4.79024e-09
0.126, 9.02733e-11
0.127, 4.79348e-09
0.128, 8.96881e-11
0.129, 4.79447e-09
0.13, 8.95455e-11
0.131, 4.79452e-09
0.132, 8.95084e-11
0.133, 4.79473e-09
0.134, 8.95012e-11
0.135, 4.79458e-09
0.136, 8.94975e-11
0.137, 4.79475e-09
0.138, 8.94985e-11
0.139, 4.79459e-09
0.14, 8.94968e-11
0.141, 4.79475e-09
0.142, 8.94983e-11
0.143, 4.79459e-09
0.144, 8.94968e-11
0.145, 4.79475e-09
0.146, 8.94983e-11
0.147, 4.79459e-09
0.148, 8.94968e-11
0.149, 4.79475e-09
0.15, 8.94983e-11
0.151, 4.79459e-09
0.152, 8.94968e-11
0.153, 4.79475e-09
0.154, 8.94983e-11
0.155, 4.79459e-09
0.156, 8.94968e-11
0.157, 4.79475e-09
0.158, 8.94983e-11
0.159, 4.79459e-09
0.16, 8.94968e-11
0.161, 4.79475e-09
0.162, 8.94983e-11
0.163, 4.79459e-09
0.164, 8.94968e-11
0.165, 4.79475e-09
0.166, 8.94983e-11
0.167, 4.79459e-09
0.168, 8.94968e-11
