sim_time, unit_box_Custom?world_angular_acceleration/y
0.001, -5.34977
0.002, 10.4875
0.003, 2.55294
0.004, -13.562
0.005, -1.26494
0.006, 12.2272
0.007, 2.37104
0.008, -13.2322
0.009, -1.51453
0.01, 12.5912
0.011, 2.07712
0.012, -12.9995
0.013, -1.71548
0.014, 12.7579
0.015, 1.93331
0.016, -12.8997
0.017, -1.8045
0.018, 12.8184
0.019, 1.87887
0.02, -12.8647
0.021, -1.83636
0.022, 12.8386
0.023, 1.86048
0.024, -12.8533
0.025, -1.84689
0.026, 12.845
0.027, 1.85454
0.028, -12.8496
0.029, -1.85029
0.03, 12.847
0.031, 1.85267
0.032, -12.8484
0.033, -1.85139
0.034, 12.8477
0.035, 1.85208
0.036, -12.848
0.037, -1.85175
0.038, 12.8479
0.039, 1.85188
0.04, -12.8479
0.041, -1.85186
0.042, 12.8479
0.043, 1.85181
0.044, -12.8479
0.045, -1.8519
0.046, 12.848
0.047, 1.85178
0.048, -12.8478
0.049, -1.85192
0.05, 12.848
0.051, 1.85176
0.052, -12.8478
0.053, -1.85193
0.054, 12.848
0.055, 1.85175
0.056, -12.8478
0.057, -1.85193
0.058, 12.848
0.059, 1.85174
0.06, -12.8478
0.061, -1.85194
0.062, 12.848
0.063, 1.85173
0.064, -12.8478
0.065, -1.85194
0.066, 12.848
0.067, 1.85172
0.068, -12.8478
0.069, -1.85194
0.07, 12.8481
0.071, 1.8517
0.072, -12.8478
0.073, -1.85195
0.074, 12.8481
0.075, 1.85169
0.076, -12.8478
0.077, -1.85195
0.078, 12.8481
0.079, 1.85168
0.08, -12.8478
0.081, -1.85196
0.082, 12.8481
0.083, 1.85167
0.084, -12.8478
0.085, -1.85196
0.086, 12.8481
0.087, 1.85166
0.088, -12.8478
0.089, -1.85196
0.09, 12.8481
0.091, 1.85165
0.092, -12.8478
0.093, -1.85197
0.094, 12.848
0.095, 1.85179
0.096, -12.8475
0.097, -1.85253
0.098, 12.8473
0.099, 1.85273
0.1, -12.846
0.101, -1.85437
0.102, 12.782
0.103, 1.98467
0.104, -13.5216
0.105, 3.20286
0.106, 5.7741
0.107, 5.34691
0.108, -16.4001
0.109, -1.81643
0.11, 19.9617
0.111, 1.51461e-28
0.112, -22.0274
0.113, 10.6442
0.114, 4.19182
0.115, -2.01367
0.116, -0.753259
0.117, -0.00699753
0.118, -0.00151067
0.119, 0.00740122
0.12, -0.00859538
0.121, 0.00906319
0.122, -0.00920367
0.123, 0.00917397
0.124, -0.00936441
0.125, 0.00951293
0.126, -0.00940384
0.127, 0.00928435
0.128, -0.00941357
0.129, 0.00954027
0.13, -0.009416
0.131, 0.00929108
0.132, -0.00941656
0.133, 0.00954193
0.134, -0.00941675
0.135, 0.00929149
0.136, -0.00941675
0.137, 0.00954203
0.138, -0.00941679
0.139, 0.00929151
0.14, -0.00941676
0.141, 0.00954204
0.142, -0.00941679
0.143, 0.00929151
0.144, -0.00941676
0.145, 0.00954204
0.146, -0.00941679
0.147, 0.00929151
0.148, -0.00941676
0.149, 0.00954204
0.15, -0.00941679
0.151, 0.00929151
0.152, -0.00941676
0.153, 0.00954204
0.154, -0.00941679
0.155, 0.00929151
0.156, -0.00941676
0.157, 0.00954204
0.158, -0.00941679
0.159, 0.00929151
0.16, -0.00941676
0.161, 0.00954204
0.162, -0.00941679
0.163, 0.00929151
0.164, -0.00941676
0.165, 0.00954204
0.166, -0.00941679
0.167, 0.00929151
0.168, -0.00941676
0.169, 0.00954204
0.17, -0.00941679
0.171, 0.00929151
0.172, -0.00941676
0.173, 0.00954204
0.174, -0.00941679
0.175, 0.00929151
0.176, -0.00941676
0.177, 0.00954204
0.178, -0.00941679
0.179, 0.00929151
0.18, -0.00941676
0.181, 0.00954204
0.182, -0.00941679
0.183, 0.00929151
0.184, -0.00941676
0.185, 0.00954204
0.186, -0.00941679
0.187, 0.00929151
0.188, -0.00941676
0.189, 0.00954204
0.19, -0.00941679
0.191, 0.00929151
0.192, -0.00941676
0.193, 0.00954204
0.194, -0.00941679
0.195, 0.00929151
0.196, -0.00941676
0.197, 0.00954204
0.198, -0.00941679
0.199, 0.00929151
0.2, -0.00941676
0.201, 0.00954204
0.202, -0.00941679
0.203, 0.00929151
0.204, -0.00941676
0.205, 0.00954204
0.206, -0.00941679
0.207, 0.00929151
0.208, -0.00941676
0.209, 0.00954204
0.21, -0.00941679
0.211, 0.00929151
0.212, -0.00941676
0.213, 0.00954204
0.214, -0.00941679
0.215, 0.00929151
0.216, -0.00941676
0.217, 0.00954204
0.218, -0.00941679
0.219, 0.00929151
0.22, -0.00941676
0.221, 0.00954204
0.222, -0.00941679
0.223, 0.00929151
0.224, -0.00941676
0.225, 0.00954204
0.226, -0.00941679
0.227, 0.00929151
0.228, -0.00941676
0.229, 0.00954204
0.23, -0.00941679
0.231, 0.00929151
0.232, -0.00941676
0.233, 0.00954204
0.234, -0.00941679
0.235, 0.00929151
0.236, -0.00941676
0.237, 0.00954204
0.238, -0.00941679
0.239, 0.00929151
0.24, -0.00941676
0.241, 0.00954204
0.242, -0.00941679
0.243, 0.00929151
0.244, -0.00941676
0.245, 0.00954204
0.246, -0.00941679
0.247, 0.00929151
0.248, -0.00941676
0.249, 0.00954204
0.25, -0.00941679
0.251, 0.00929151
0.252, -0.00941676
0.253, 0.00954204
0.254, -0.00941679
0.255, 0.00929151
0.256, -0.00941676
0.257, 0.00954204
0.258, -0.00941679
0.259, 0.00929151
0.26, -0.00941676
0.261, 0.00954204
0.262, -0.00941679
0.263, 0.00929151
0.264, -0.00941676
0.265, 0.00954204
