sim_time, unit_box_Custom?world_angular_acceleration/z
0.001, -5.34978
0.002, 10.4473
0.003, 2.55294
0.004, -13.562
0.005, -1.26495
0.006, 12.2272
0.007, 2.37104
0.008, -13.2322
0.009, -1.51453
0.01, 12.5912
0.011, 2.07712
0.012, -12.9995
0.013, -1.71548
0.014, 12.7579
0.015, 1.93331
0.016, -12.8998
0.017, -1.80451
0.018, 12.8185
0.019, 1.87887
0.02, -12.8648
0.021, -1.83637
0.022, 12.8386
0.023, 1.86048
0.024, -12.8534
0.025, -1.84691
0.026, 12.845
0.027, 1.85455
0.028, -12.8497
0.029, -1.85031
0.03, 12.8471
0.031, 1.85267
0.032, -12.8486
0.033, -1.85141
0.034, 12.8477
0.035, 1.85208
0.036, -12.8482
0.037, -1.85177
0.038, 12.8479
0.039, 1.85189
0.04, -12.8481
0.041, -1.85189
0.042, 12.848
0.043, 1.85182
0.044, -12.8481
0.045, -1.85193
0.046, 12.848
0.047, 1.85179
0.048, -12.8481
0.049, -1.85195
0.05, 12.8481
0.051, 1.85177
0.052, -12.8481
0.053, -1.85196
0.054, 12.8481
0.055, 1.85176
0.056, -12.8481
0.057, -1.85197
0.058, 12.8481
0.059, 1.85175
0.06, -12.8481
0.061, -1.85198
0.062, 12.8481
0.063, 1.85174
0.064, -12.8481
0.065, -1.85198
0.066, 12.8481
0.067, 1.85173
0.068, -12.8481
0.069, -1.85199
0.07, 12.8482
0.071, 1.85172
0.072, -12.8482
0.073, -1.852
0.074, 12.8482
0.075, 1.85171
0.076, -12.8482
0.077, -1.85201
0.078, 12.8482
0.079, 1.8517
0.08, -12.8482
0.081, -1.85201
0.082, 12.8482
0.083, 1.85169
0.084, -12.8482
0.085, -1.85202
0.086, 12.8482
0.087, 1.85168
0.088, -12.8482
0.089, -1.85203
0.09, 12.8483
0.091, 1.85167
0.092, -12.8482
0.093, -1.85203
0.094, 12.8482
0.095, 1.85181
0.096, -12.848
0.097, -1.85259
0.098, 12.8475
0.099, 1.85275
0.1, -12.8465
0.101, -1.85444
0.102, 9.54889
0.103, 0.00124923
0.104, -2.15482
0.105, 1.77609e-05
0.106, -0.00741509
0.107, 0.00679117
0.108, 0.000808696
0.109, -0.0100073
0.11, 0.0100135
0.111, -1.58818e-22
0.112, 0.00180417
0.113, -0.00307454
0.114, 0.000145958
0.115, 0.00109941
0.116, 0.001319
0.117, -0.00133208
0.118, -4.83129e-05
0.119, 8.40417e-05
0.12, 1.52825e-05
0.121, -5.56818e-05
0.122, -4.59427e-06
0.123, 4.62087e-05
0.124, 1.9758e-06
0.125, -4.38933e-05
0.126, -1.3293e-06
0.127, 4.33216e-05
0.128, 1.16975e-06
0.129, -4.31805e-05
0.13, -1.13044e-06
0.131, 4.31458e-05
0.132, 1.12067e-06
0.133, -4.31371e-05
0.134, -1.11833e-06
0.135, 4.31351e-05
0.136, 1.11768e-06
0.137, -4.31345e-05
0.138, -1.1176e-06
0.139, 4.31344e-05
0.14, 1.1175e-06
0.141, -4.31343e-05
0.142, -1.11755e-06
0.143, 4.31344e-05
0.144, 1.11749e-06
0.145, -4.31343e-05
0.146, -1.11755e-06
0.147, 4.31344e-05
0.148, 1.11749e-06
0.149, -4.31343e-05
0.15, -1.11755e-06
0.151, 4.31344e-05
0.152, 1.11749e-06
0.153, -4.31343e-05
0.154, -1.11755e-06
0.155, 4.31344e-05
0.156, 1.11749e-06
0.157, -4.31343e-05
0.158, -1.11755e-06
0.159, 4.31344e-05
0.16, 1.11749e-06
0.161, -4.31343e-05
0.162, -1.11755e-06
0.163, 4.31344e-05
0.164, 1.11749e-06
0.165, -4.31343e-05
0.166, -1.11755e-06
0.167, 4.31344e-05
0.168, 1.11749e-06
0.169, -4.31343e-05
0.17, -1.11755e-06
0.171, 4.31344e-05
0.172, 1.11749e-06
0.173, -4.31343e-05
0.174, -1.11755e-06
0.175, 4.31344e-05
0.176, 1.11749e-06
0.177, -4.31343e-05
0.178, -1.11755e-06
0.179, 4.31344e-05
0.18, 1.11749e-06
0.181, -4.31343e-05
