sim_time, unit_box_Custom?world_pose/position/y
0.001, 0.000992824
0.002, 0.00197055
0.003, 0.00294486
0.004, 0.00390109
0.005, 0.00485563
0.006, 0.00579387
0.007, 0.00672895
0.008, 0.00764639
0.009, 0.0085618
0.01, 0.00946043
0.011, 0.0103563
0.012, 0.0112348
0.013, 0.012111
0.014, 0.0129703
0.015, 0.0138269
0.016, 0.0146664
0.017, 0.0155034
0.018, 0.0163234
0.019, 0.0171408
0.02, 0.0179411
0.021, 0.018739
0.022, 0.0195197
0.023, 0.0202979
0.024, 0.021059
0.025, 0.0218177
0.026, 0.0225592
0.027, 0.0232982
0.028, 0.0240202
0.029, 0.0247396
0.03, 0.0254419
0.031, 0.0261418
0.032, 0.0268245
0.033, 0.0275047
0.034, 0.0281678
0.035, 0.0288285
0.036, 0.029472
0.037, 0.030113
0.038, 0.0307369
0.039, 0.0313584
0.04, 0.0319627
0.041, 0.0325645
0.042, 0.0331493
0.043, 0.0337315
0.044, 0.0342966
0.045, 0.0348593
0.046, 0.0354048
0.047, 0.0359478
0.048, 0.0364737
0.049, 0.0369972
0.05, 0.0375035
0.051, 0.0380073
0.052, 0.038494
0.053, 0.0389783
0.054, 0.0394454
0.055, 0.03991
0.056, 0.0403576
0.057, 0.0408026
0.058, 0.0412305
0.059, 0.041656
0.06, 0.0420643
0.061, 0.0424701
0.062, 0.0428588
0.063, 0.0432451
0.064, 0.0436142
0.065, 0.0439808
0.066, 0.0443303
0.067, 0.0446774
0.068, 0.0450073
0.069, 0.0453347
0.07, 0.045645
0.071, 0.0459529
0.072, 0.0462436
0.073, 0.0465318
0.074, 0.046803
0.075, 0.0470716
0.076, 0.0473231
0.077, 0.0475721
0.078, 0.0478041
0.079, 0.0480335
0.08, 0.0482458
0.081, 0.0484557
0.082, 0.0486484
0.083, 0.0488386
0.084, 0.0490117
0.085, 0.0491824
0.086, 0.0493359
0.087, 0.0494869
0.088, 0.0496208
0.089, 0.0497523
0.09, 0.0498666
0.091, 0.0499784
0.092, 0.0500731
0.093, 0.0501654
0.094, 0.0502405
0.095, 0.0503131
0.096, 0.0503686
