sim_time, unit_box_Custom?world_pose/position/x
0.001, -5.33785e-06
0.002, -2.25457e-07
0.003, 7.4451e-06
0.004, 1.55371e-06
0.005, -5.60272e-06
0.006, -5.32759e-07
0.007, 6.90903e-06
0.008, 1.11872e-06
0.009, -6.18623e-06
0.01, -9.00298e-07
0.011, 6.46306e-06
0.012, 8.2709e-07
0.013, -6.52452e-06
0.014, -1.11847e-06
0.015, 6.22112e-06
0.016, 6.61149e-07
0.017, -6.70351e-06
0.018, -1.24991e-06
0.019, 6.08277e-06
0.02, 5.50866e-07
0.021, -6.8176e-06
0.022, -1.34769e-06
0.023, 5.9829e-06
0.024, 4.60338e-07
0.025, -6.90932e-06
0.026, -1.43415e-06
0.027, 5.89576e-06
0.028, 3.76194e-07
0.029, -6.99387e-06
0.03, -1.51708e-06
0.031, 5.81258e-06
0.032, 2.93936e-07
0.033, -7.0763e-06
0.034, -1.59905e-06
0.035, 5.73048e-06
0.036, 2.121e-07
0.037, -7.15824e-06
0.038, -1.68088e-06
0.039, 5.64856e-06
0.04, 1.30205e-07
0.041, -7.24023e-06
0.042, -1.76288e-06
0.043, 5.56649e-06
0.044, 4.80851e-08
0.045, -7.32243e-06
0.046, -1.84514e-06
0.047, 5.48415e-06
0.048, -3.43331e-08
0.049, -7.40495e-06
0.05, -1.92772e-06
0.051, 5.40147e-06
0.052, -1.17094e-07
0.053, -7.48781e-06
0.054, -2.01066e-06
0.055, 5.31844e-06
0.056, -2.00232e-07
0.057, -7.57105e-06
0.058, -2.094e-06
0.059, 5.235e-06
0.06, -2.83777e-07
0.061, -7.65471e-06
0.062, -2.17776e-06
0.063, 5.15113e-06
0.064, -3.67761e-07
0.065, -7.73881e-06
0.066, -2.26197e-06
0.067, 5.0668e-06
0.068, -4.52211e-07
0.069, -7.82339e-06
0.07, -2.34666e-06
0.071, 4.98199e-06
0.072, -5.3716e-07
0.073, -7.90848e-06
0.074, -2.43187e-06
0.075, 4.89665e-06
0.076, -6.22636e-07
0.077, -7.9941e-06
0.078, -2.51761e-06
0.079, 4.81076e-06
0.08, -7.08669e-07
0.081, -8.08028e-06
0.082, -2.60393e-06
0.083, 4.7243e-06
0.084, -7.9529e-07
0.085, -8.16706e-06
0.086, -2.69086e-06
0.087, 4.63722e-06
0.088, -8.8253e-07
0.089, -8.25447e-06
0.09, -2.77842e-06
0.091, 4.5495e-06
0.092, -9.70419e-07
0.093, -8.34253e-06
0.094, -2.86672e-06
0.095, 4.4611e-06
0.096, -1.05858e-06
0.097, -8.43104e-06
0.098, -2.95631e-06
0.099, 4.37139e-06
0.1, -1.14692e-06
0.101, -8.51989e-06
0.102, -4.73495e-06
0.103, 5.03606e-08
0.104, -3.16042e-06
0.105, -4.61182e-06
0.106, -3.18121e-06
0.107, 9.28044e-07
0.108, -3.16279e-06
0.109, -8.16149e-06
0.11, -3.17232e-06
0.111, 1.80951e-06
0.112, -4.22255e-06
0.113, -4.93228e-06
0.114, -3.5459e-06
0.115, -3.16663e-06
0.116, -3.16308e-06
0.117, -3.16393e-06
0.118, -3.16549e-06
0.119, -3.16339e-06
0.12, -3.16558e-06
0.121, -3.16324e-06
0.122, -3.1655e-06
0.123, -3.16318e-06
0.124, -3.16553e-06
0.125, -3.16314e-06
0.126, -3.16544e-06
0.127, -3.1631e-06
0.128, -3.16547e-06
0.129, -3.16307e-06
0.13, -3.16538e-06
0.131, -3.16304e-06
0.132, -3.16541e-06
0.133, -3.16301e-06
0.134, -3.16531e-06
0.135, -3.16298e-06
0.136, -3.16534e-06
0.137, -3.16294e-06
0.138, -3.16525e-06
0.139, -3.16291e-06
0.14, -3.16528e-06
0.141, -3.16288e-06
0.142, -3.16519e-06
0.143, -3.16285e-06
0.144, -3.16522e-06
0.145, -3.16282e-06
0.146, -3.16512e-06
0.147, -3.16278e-06
0.148, -3.16515e-06
0.149, -3.16275e-06
0.15, -3.16506e-06
0.151, -3.16272e-06
0.152, -3.16509e-06
0.153, -3.16269e-06
0.154, -3.16499e-06
0.155, -3.16266e-06
0.156, -3.16503e-06
0.157, -3.16262e-06
0.158, -3.16493e-06
0.159, -3.16259e-06
0.16, -3.16496e-06
0.161, -3.16256e-06
0.162, -3.16487e-06
0.163, -3.16253e-06
0.164, -3.1649e-06
0.165, -3.1625e-06
0.166, -3.1648e-06
0.167, -3.16247e-06
0.168, -3.16483e-06
0.169, -3.16243e-06
0.17, -3.16474e-06
0.171, -3.1624e-06
0.172, -3.16477e-06
0.173, -3.16237e-06
0.174, -3.16468e-06
0.175, -3.16234e-06
0.176, -3.16471e-06
0.177, -3.16231e-06
0.178, -3.16461e-06
0.179, -3.16227e-06
0.18, -3.16464e-06
0.181, -3.16224e-06
0.182, -3.16455e-06
0.183, -3.16221e-06
0.184, -3.16458e-06
0.185, -3.16218e-06
0.186, -3.16448e-06
0.187, -3.16215e-06
0.188, -3.16452e-06
0.189, -3.16211e-06
0.19, -3.16442e-06
0.191, -3.16208e-06
0.192, -3.16445e-06
0.193, -3.16205e-06
0.194, -3.16436e-06
0.195, -3.16202e-06
0.196, -3.16439e-06
0.197, -3.16199e-06
0.198, -3.16429e-06
0.199, -3.16196e-06
0.2, -3.16432e-06
0.201, -3.16192e-06
0.202, -3.16423e-06
0.203, -3.16189e-06
0.204, -3.16426e-06
0.205, -3.16186e-06
0.206, -3.16417e-06
0.207, -3.16183e-06
0.208, -3.1642e-06
0.209, -3.1618e-06
0.21, -3.1641e-06
0.211, -3.16176e-06
0.212, -3.16413e-06
0.213, -3.16173e-06
0.214, -3.16404e-06
0.215, -3.1617e-06
0.216, -3.16407e-06
0.217, -3.16167e-06
0.218, -3.16397e-06
0.219, -3.16164e-06
0.22, -3.164e-06
0.221, -3.1616e-06
0.222, -3.16391e-06
0.223, -3.16157e-06
0.224, -3.16394e-06
0.225, -3.16154e-06
0.226, -3.16385e-06
0.227, -3.16151e-06
0.228, -3.16388e-06
0.229, -3.16148e-06
0.23, -3.16378e-06
0.231, -3.16144e-06
0.232, -3.16381e-06
0.233, -3.16141e-06
0.234, -3.16372e-06
0.235, -3.16138e-06
0.236, -3.16375e-06
0.237, -3.16135e-06
0.238, -3.16366e-06
0.239, -3.16132e-06
0.24, -3.16369e-06
0.241, -3.16129e-06
0.242, -3.16359e-06
0.243, -3.16125e-06
0.244, -3.16362e-06
0.245, -3.16122e-06
0.246, -3.16353e-06
0.247, -3.16119e-06
0.248, -3.16356e-06
0.249, -3.16116e-06
0.25, -3.16346e-06
0.251, -3.16113e-06
0.252, -3.16349e-06
0.253, -3.16109e-06
0.254, -3.1634e-06
0.255, -3.16106e-06
0.256, -3.16343e-06
0.257, -3.16103e-06
0.258, -3.16334e-06
0.259, -3.161e-06
0.26, -3.16337e-06
0.261, -3.16097e-06
0.262, -3.16327e-06
0.263, -3.16093e-06
0.264, -3.1633e-06
0.265, -3.1609e-06
0.266, -3.16321e-06
0.267, -3.16087e-06
0.268, -3.16324e-06
0.269, -3.16084e-06
0.27, -3.16314e-06
0.271, -3.16081e-06
0.272, -3.16318e-06
0.273, -3.16078e-06
0.274, -3.16308e-06
0.275, -3.16074e-06
0.276, -3.16311e-06
0.277, -3.16071e-06
0.278, -3.16302e-06
0.279, -3.16068e-06
0.28, -3.16305e-06
0.281, -3.16065e-06
0.282, -3.16295e-06
0.283, -3.16062e-06
0.284, -3.16298e-06
0.285, -3.16058e-06
0.286, -3.16289e-06
0.287, -3.16055e-06
0.288, -3.16292e-06
0.289, -3.16052e-06
0.29, -3.16283e-06
0.291, -3.16049e-06
0.292, -3.16286e-06
0.293, -3.16046e-06
0.294, -3.16276e-06
0.295, -3.16042e-06
0.296, -3.16279e-06
0.297, -3.16039e-06
0.298, -3.1627e-06
0.299, -3.16036e-06
0.3, -3.16273e-06
0.301, -3.16033e-06
0.302, -3.16263e-06
0.303, -3.1603e-06
0.304, -3.16267e-06
0.305, -3.16026e-06
0.306, -3.16257e-06
0.307, -3.16023e-06
0.308, -3.1626e-06
0.309, -3.1602e-06
0.31, -3.16251e-06
0.311, -3.16017e-06
0.312, -3.16254e-06
0.313, -3.16014e-06
0.314, -3.16244e-06
0.315, -3.16011e-06
0.316, -3.16247e-06
0.317, -3.16007e-06
0.318, -3.16238e-06
0.319, -3.16004e-06
0.32, -3.16241e-06
0.321, -3.16001e-06
0.322, -3.16232e-06
0.323, -3.15998e-06
0.324, -3.16235e-06
0.325, -3.15995e-06
0.326, -3.16225e-06
0.327, -3.15991e-06
