sim_time, unit_box_Custom?world_linear_acceleration/y
0.309, 9.78112
0.31, 0.0110496
0.311, -9.78112
0.312, -0.0110495
0.313, 9.78112
0.314, 0.0110496
0.315, -9.78112
0.316, -0.0110495
0.317, 9.78112
0.318, 0.0110496
0.319, -9.78112
0.32, -0.0110495
0.321, 9.78112
0.322, 0.0110496
0.323, -9.78112
0.324, -0.0110495
0.325, 9.78112
0.326, 0.0110496
0.327, -9.78112
0.328, -0.0110495
0.329, 9.78112
0.33, 0.0110496
0.331, -9.78112
0.332, -0.0110495
0.333, 9.78112
0.334, 0.0110496
0.335, -9.78112
0.336, -0.0110495
0.337, 9.78112
0.338, 0.0110496
0.339, -9.78112
0.34, -0.0110495
0.341, 9.78112
0.342, 0.0110496
0.343, -9.78112
0.344, -0.0110495
0.345, 9.78112
0.346, 0.0110496
0.347, -9.78112
0.348, -0.0110495
0.349, 9.78112
0.35, 0.0110496
0.351, -9.78112
0.352, -0.0110495
0.353, 9.78112
0.354, 0.0110496
0.355, -9.78112
0.356, -0.0110495
0.357, 9.78112
0.358, 0.0110496
0.359, -9.78112
0.36, -0.0110495
0.361, 9.78112
0.362, 0.0110496
0.363, -9.78112
0.364, -0.0110495
0.365, 9.78112
0.366, 0.0110496
0.367, -9.78112
0.368, -0.0110495
0.369, 9.78112
0.37, 0.0110496
0.371, -9.78112
0.372, -0.0110495
0.373, 9.78112
0.374, 0.0110496
0.375, -9.78112
0.376, -0.0110495
0.377, 9.78112
0.378, 0.0110496
0.379, -9.78112
0.38, -0.0110495
0.381, 9.78112
0.382, 0.0110496
0.383, -9.78112
0.384, -0.0110495
0.385, 9.78112
0.386, 0.0110496
0.387, -9.78112
0.388, -0.0110495
0.389, 9.78112
0.39, 0.0110496
0.391, -9.78112
0.392, -0.0110495
0.393, 9.78112
0.394, 0.0110496
0.395, -9.78112
0.396, -0.0110495
0.397, 9.78112
0.398, 0.0110496
0.399, -9.78112
0.4, -0.0110495
0.401, 9.78112
0.402, 0.0110496
0.403, -9.78112
0.404, -0.0110495
0.405, 9.78112
0.406, 0.0110496
0.407, -9.78112
0.408, -0.0110495
0.409, 9.78112
0.41, 0.0110496
0.411, -9.78112
0.412, -0.0110495
0.413, 9.78112
0.414, 0.0110496
0.415, -9.78112
0.416, -0.0110495
0.417, 9.78112
0.418, 0.0110496
0.419, -9.78112
0.42, -0.0110495
0.421, 9.78112
0.422, 0.0110496
0.423, -9.78112
0.424, -0.0110495
0.425, 9.78112
0.426, 0.0110496
0.427, -9.78112
0.428, -0.0110495
0.429, 9.78112
0.43, 0.0110496
0.431, -9.78112
0.432, -0.0110495
0.433, 9.78112
0.434, 0.0110496
0.435, -9.78112
0.436, -0.0110495
0.437, 9.78112
0.438, 0.0110496
0.439, -9.78112
0.44, -0.0110495
0.441, 9.78112
0.442, 0.0110496
0.443, -9.78112
0.444, -0.0110495
0.445, 9.78112
0.446, 0.0110496
0.447, -9.78112
0.448, -0.0110495
0.449, 9.78112
0.45, 0.0110496
0.451, -9.78112
0.452, -0.0110495
0.453, 9.78112
0.454, 0.0110496
0.455, -9.78112
0.456, -0.0110495
0.457, 9.78112
0.458, 0.0110496
0.459, -9.78112
0.46, -0.0110495
0.461, 9.78112
0.462, 0.0110496
0.463, -9.78112
0.464, -0.0110495
0.465, 9.78112
0.466, 0.0110496
0.467, -9.78112
0.468, -0.0110495
0.469, 9.78112
0.47, 0.0110496
0.471, -9.78112
0.472, -0.0110495
0.473, 9.78112
0.474, 0.0110496
0.475, -9.78112
0.476, -0.0110495
0.477, 9.78112
0.478, 0.0110496
0.479, -9.78112
0.48, -0.0110495
0.481, 9.78112
0.482, 0.0110496
0.483, -9.78112
0.484, -0.0110495
0.485, 9.78112
0.486, 0.0110496
0.487, -9.78112
0.488, -0.0110495
0.489, 9.78112
0.49, 0.0110496
0.491, -9.78112
0.492, -0.0110495
0.493, 9.78112
0.494, 0.0110496
0.495, -9.78112
0.496, -0.0110495
0.497, 9.78112
0.498, 0.0110496
0.499, -9.78112
0.5, -0.0110495
0.501, 9.78112
0.502, 0.0110496
0.503, -9.78112
0.504, -0.0110495
0.505, 9.78112
0.506, 0.0110496
0.507, -9.78112
0.508, -0.0110495
0.509, 9.78112
0.51, 0.0110496
0.511, -9.78112
0.512, -0.0110495
0.513, 9.78112
0.514, 0.0110496
0.515, -9.78112
0.516, -0.0110495
0.517, 9.78112
0.518, 0.0110496
0.519, -9.78112
0.52, -0.0110495
0.521, 9.78112
0.522, 0.0110496
0.523, -9.78112
0.524, -0.0110495
0.525, 9.78112
0.526, 0.0110496
0.527, -9.78112
0.528, -0.0110495
0.529, 9.78112
0.53, 0.0110496
0.531, -9.78112
0.532, -0.0110495
0.533, 9.78112
0.534, 0.0110496
0.535, -9.78112
0.536, -0.0110495
0.537, 9.78112
0.538, 0.0110496
0.539, -9.78112
0.54, -0.0110495
0.541, 9.78112
0.542, 0.0110496
0.543, -9.78112
0.544, -0.0110495
0.545, 9.78112
0.546, 0.0110496
0.547, -9.78112
0.548, -0.0110495
0.549, 9.78112
0.55, 0.0110496
0.551, -9.78112
0.552, -0.0110495
0.553, 9.78112
0.554, 0.0110496
0.555, -9.78112
0.556, -0.0110495
0.557, 9.78112
0.558, 0.0110496
0.559, -9.78112
0.56, -0.0110495
0.561, 9.78112
0.562, 0.0110496
0.563, -9.78112
0.564, -0.0110495
0.565, 9.78112
0.566, 0.0110496
0.567, -9.78112
0.568, -0.0110495
0.569, 9.78112
0.57, 0.0110496
0.571, -9.78112
0.572, -0.0110495
0.573, 9.78112
0.574, 0.0110496
0.575, -9.78112
0.576, -0.0110495
0.577, 9.78112
0.578, 0.0110496
0.579, -9.78112
0.58, -0.0110495
0.581, 9.78112
0.582, 0.0110496
0.583, -9.78112
0.584, -0.0110495
0.585, 9.78112
0.586, 0.0110496
0.587, -9.78112
0.588, -0.0110495
0.589, 9.78112
0.59, 0.0110496
0.591, -9.78112
0.592, -0.0110495
0.593, 9.78112
0.594, 0.0110496
0.595, -9.78112
0.596, -0.0110495
0.597, 9.78112
0.598, 0.0110496
0.599, -9.78112
0.6, -0.0110495
0.601, 9.78112
0.602, 0.0110496
0.603, -9.78112
0.604, -0.0110495
0.605, 9.78112
0.606, 0.0110496
0.607, -9.78112
0.608, -0.0110495
0.609, 9.78112
0.61, 0.0110496
0.611, -9.78112
0.612, -0.0110495
0.613, 9.78112
0.614, 0.0110496
0.615, -9.78112
0.616, -0.0110495
0.617, 9.78112
0.618, 0.0110496
0.619, -9.78112
0.62, -0.0110495
0.621, 9.78112
0.622, 0.0110496
0.623, -9.78112
0.624, -0.0110495
0.625, 9.78112
0.626, 0.0110496
0.627, -9.78112
0.628, -0.0110495
0.629, 9.78112
0.63, 0.0110496
0.631, -9.78112
0.632, -0.0110495
0.633, 9.78112
0.634, 0.0110496
0.635, -9.78112
0.636, -0.0110495
0.637, 9.78112
0.638, 0.0110496
0.639, -9.78112
0.64, -0.0110495
0.641, 9.78112
0.642, 0.0110496
0.643, -9.78112
0.644, -0.0110495
0.645, 9.78112
0.646, 0.0110496
0.647, -9.78112
0.648, -0.0110495
0.649, 9.78112
0.65, 0.0110496
0.651, -9.78112
