sim_time, unit_box_Custom?world_linear_acceleration/z
0.318, -9.78159
0.319, 9.78159
0.32, -9.78159
0.321, 9.78159
0.322, -9.78159
0.323, 9.78159
0.324, -9.78159
0.325, 9.78159
0.326, -9.78159
0.327, 9.78159
0.328, -9.78159
0.329, 9.78159
0.33, -9.78159
0.331, 9.78159
0.332, -9.78159
0.333, 9.78159
0.334, -9.78159
0.335, 9.78159
0.336, -9.78159
0.337, 9.78159
0.338, -9.78159
0.339, 9.78159
0.34, -9.78159
0.341, 9.78159
0.342, -9.78159
0.343, 9.78159
0.344, -9.78159
0.345, 9.78159
0.346, -9.78159
0.347, 9.78159
0.348, -9.78159
0.349, 9.78159
0.35, -9.78159
0.351, 9.78159
0.352, -9.78159
0.353, 9.78159
0.354, -9.78159
0.355, 9.78159
0.356, -9.78159
0.357, 9.78159
0.358, -9.78159
0.359, 9.78159
0.36, -9.78159
0.361, 9.78159
0.362, -9.78159
0.363, 9.78159
0.364, -9.78159
0.365, 9.78159
0.366, -9.78159
0.367, 9.78159
0.368, -9.78159
0.369, 9.78159
0.37, -9.78159
0.371, 9.78159
0.372, -9.78159
0.373, 9.78159
0.374, -9.78159
0.375, 9.78159
0.376, -9.78159
0.377, 9.78159
0.378, -9.78159
0.379, 9.78159
0.38, -9.78159
0.381, 9.78159
0.382, -9.78159
0.383, 9.78159
0.384, -9.78159
0.385, 9.78159
0.386, -9.78159
0.387, 9.78159
0.388, -9.78159
0.389, 9.78159
0.39, -9.78159
0.391, 9.78159
0.392, -9.78159
0.393, 9.78159
0.394, -9.78159
0.395, 9.78159
0.396, -9.78159
0.397, 9.78159
0.398, -9.78159
0.399, 9.78159
0.4, -9.78159
0.401, 9.78159
0.402, -9.78159
0.403, 9.78159
0.404, -9.78159
0.405, 9.78159
0.406, -9.78159
0.407, 9.78159
0.408, -9.78159
0.409, 9.78159
0.41, -9.78159
0.411, 9.78159
0.412, -9.78159
0.413, 9.78159
0.414, -9.78159
0.415, 9.78159
0.416, -9.78159
0.417, 9.78159
0.418, -9.78159
0.419, 9.78159
0.42, -9.78159
0.421, 9.78159
0.422, -9.78159
0.423, 9.78159
0.424, -9.78159
0.425, 9.78159
0.426, -9.78159
0.427, 9.78159
0.428, -9.78159
0.429, 9.78159
0.43, -9.78159
0.431, 9.78159
0.432, -9.78159
0.433, 9.78159
0.434, -9.78159
0.435, 9.78159
0.436, -9.78159
0.437, 9.78159
0.438, -9.78159
0.439, 9.78159
0.44, -9.78159
0.441, 9.78159
0.442, -9.78159
0.443, 9.78159
0.444, -9.78159
0.445, 9.78159
0.446, -9.78159
0.447, 9.78159
0.448, -9.78159
0.449, 9.78159
0.45, -9.78159
0.451, 9.78159
0.452, -9.78159
0.453, 9.78159
0.454, -9.78159
0.455, 9.78159
0.456, -9.78159
0.457, 9.78159
0.458, -9.78159
0.459, 9.78159
0.46, -9.78159
0.461, 9.78159
0.462, -9.78159
0.463, 9.78159
0.464, -9.78159
0.465, 9.78159
0.466, -9.78159
0.467, 9.78159
0.468, -9.78159
0.469, 9.78159
0.47, -9.78159
0.471, 9.78159
0.472, -9.78159
0.473, 9.78159
0.474, -9.78159
0.475, 9.78159
0.476, -9.78159
0.477, 9.78159
0.478, -9.78159
0.479, 9.78159
0.48, -9.78159
0.481, 9.78159
0.482, -9.78159
0.483, 9.78159
0.484, -9.78159
0.485, 9.78159
0.486, -9.78159
0.487, 9.78159
0.488, -9.78159
0.489, 9.78159
0.49, -9.78159
0.491, 9.78159
0.492, -9.78159
0.493, 9.78159
0.494, -9.78159
0.495, 9.78159
0.496, -9.78159
0.497, 9.78159
0.498, -9.78159
0.499, 9.78159
0.5, -9.78159
0.501, 9.78159
0.502, -9.78159
0.503, 9.78159
0.504, -9.78159
0.505, 9.78159
0.506, -9.78159
0.507, 9.78159
0.508, -9.78159
0.509, 9.78159
0.51, -9.78159
0.511, 9.78159
0.512, -9.78159
0.513, 9.78159
0.514, -9.78159
0.515, 9.78159
0.516, -9.78159
0.517, 9.78159
0.518, -9.78159
0.519, 9.78159
0.52, -9.78159
0.521, 9.78159
0.522, -9.78159
0.523, 9.78159
0.524, -9.78159
0.525, 9.78159
0.526, -9.78159
0.527, 9.78159
0.528, -9.78159
0.529, 9.78159
0.53, -9.78159
0.531, 9.78159
0.532, -9.78159
0.533, 9.78159
0.534, -9.78159
0.535, 9.78159
0.536, -9.78159
0.537, 9.78159
0.538, -9.78159
0.539, 9.78159
0.54, -9.78159
0.541, 9.78159
0.542, -9.78159
0.543, 9.78159
0.544, -9.78159
0.545, 9.78159
0.546, -9.78159
0.547, 9.78159
0.548, -9.78159
0.549, 9.78159
0.55, -9.78159
0.551, 9.78159
0.552, -9.78159
0.553, 9.78159
0.554, -9.78159
0.555, 9.78159
0.556, -9.78159
0.557, 9.78159
0.558, -9.78159
0.559, 9.78159
0.56, -9.78159
0.561, 9.78159
0.562, -9.78159
0.563, 9.78159
0.564, -9.78159
0.565, 9.78159
0.566, -9.78159
0.567, 9.78159
0.568, -9.78159
0.569, 9.78159
0.57, -9.78159
0.571, 9.78159
0.572, -9.78159
0.573, 9.78159
0.574, -9.78159
0.575, 9.78159
0.576, -9.78159
0.577, 9.78159
0.578, -9.78159
0.579, 9.78159
0.58, -9.78159
0.581, 9.78159
0.582, -9.78159
0.583, 9.78159
0.584, -9.78159
0.585, 9.78159
0.586, -9.78159
0.587, 9.78159
0.588, -9.78159
0.589, 9.78159
0.59, -9.78159
0.591, 9.78159
0.592, -9.78159
0.593, 9.78159
0.594, -9.78159
0.595, 9.78159
0.596, -9.78159
0.597, 9.78159
0.598, -9.78159
0.599, 9.78159
0.6, -9.78159
0.601, 9.78159
0.602, -9.78159
0.603, 9.78159
0.604, -9.78159
0.605, 9.78159
0.606, -9.78159
0.607, 9.78159
0.608, -9.78159
0.609, 9.78159
0.61, -9.78159
0.611, 9.78159
0.612, -9.78159
0.613, 9.78159
0.614, -9.78159
0.615, 9.78159
0.616, -9.78159
0.617, 9.78159
0.618, -9.78159
0.619, 9.78159
0.62, -9.78159
0.621, 9.78159
0.622, -9.78159
0.623, 9.78159
0.624, -9.78159
0.625, 9.78159
0.626, -9.78159
0.627, 9.78159
0.628, -9.78159
0.629, 9.78159
0.63, -9.78159
