sim_time, unit_box_Custom?world_pose/orientation/yaw
0.245, -6.40328e-06
0.246, -6.4033e-06
0.247, -6.40328e-06
0.248, -6.40326e-06
0.249, -6.40328e-06
0.25, -6.4033e-06
0.251, -6.40328e-06
0.252, -6.40326e-06
0.253, -6.40328e-06
0.254, -6.4033e-06
0.255, -6.40328e-06
0.256, -6.40326e-06
0.257, -6.40328e-06
0.258, -6.4033e-06
0.259, -6.40328e-06
0.26, -6.40326e-06
0.261, -6.40328e-06
0.262, -6.4033e-06
0.263, -6.40328e-06
0.264, -6.40326e-06
0.265, -6.40328e-06
0.266, -6.4033e-06
0.267, -6.40328e-06
0.268, -6.40326e-06
0.269, -6.40328e-06
0.27, -6.4033e-06
0.271, -6.40328e-06
0.272, -6.40326e-06
0.273, -6.40328e-06
0.274, -6.4033e-06
0.275, -6.40328e-06
0.276, -6.40326e-06
0.277, -6.40328e-06
0.278, -6.4033e-06
0.279, -6.40328e-06
0.28, -6.40326e-06
0.281, -6.40328e-06
0.282, -6.4033e-06
0.283, -6.40328e-06
0.284, -6.40326e-06
0.285, -6.40328e-06
0.286, -6.4033e-06
0.287, -6.40328e-06
0.288, -6.40326e-06
0.289, -6.40328e-06
0.29, -6.4033e-06
0.291, -6.40328e-06
0.292, -6.40326e-06
0.293, -6.40328e-06
0.294, -6.4033e-06
0.295, -6.40328e-06
0.296, -6.40326e-06
0.297, -6.40328e-06
0.298, -6.4033e-06
0.299, -6.40328e-06
0.3, -6.40326e-06
0.301, -6.40328e-06
0.302, -6.4033e-06
0.303, -6.40328e-06
0.304, -6.40326e-06
0.305, -6.40328e-06
0.306, -6.4033e-06
0.307, -6.40328e-06
0.308, -6.40326e-06
0.309, -6.40328e-06
0.31, -6.4033e-06
0.311, -6.40328e-06
0.312, -6.40326e-06
0.313, -6.40328e-06
0.314, -6.4033e-06
0.315, -6.40328e-06
0.316, -6.40326e-06
0.317, -6.40328e-06
0.318, -6.4033e-06
0.319, -6.40328e-06
0.32, -6.40326e-06
0.321, -6.40328e-06
0.322, -6.4033e-06
0.323, -6.40328e-06
0.324, -6.40326e-06
0.325, -6.40328e-06
0.326, -6.4033e-06
0.327, -6.40328e-06
0.328, -6.40326e-06
0.329, -6.40328e-06
0.33, -6.4033e-06
0.331, -6.40328e-06
0.332, -6.40326e-06
0.333, -6.40328e-06
0.334, -6.4033e-06
0.335, -6.40328e-06
0.336, -6.40326e-06
0.337, -6.40328e-06
0.338, -6.4033e-06
0.339, -6.40328e-06
0.34, -6.40326e-06
0.341, -6.40328e-06
0.342, -6.4033e-06
0.343, -6.40328e-06
0.344, -6.40326e-06
0.345, -6.40328e-06
0.346, -6.4033e-06
0.347, -6.40328e-06
0.348, -6.40326e-06
0.349, -6.40328e-06
0.35, -6.4033e-06
0.351, -6.40328e-06
0.352, -6.40326e-06
0.353, -6.40328e-06
0.354, -6.4033e-06
0.355, -6.40328e-06
0.356, -6.40326e-06
0.357, -6.40328e-06
0.358, -6.4033e-06
0.359, -6.40328e-06
0.36, -6.40326e-06
0.361, -6.40328e-06
0.362, -6.4033e-06
0.363, -6.40328e-06
0.364, -6.40326e-06
0.365, -6.40328e-06
0.366, -6.4033e-06
0.367, -6.40328e-06
0.368, -6.40326e-06
0.369, -6.40328e-06
0.37, -6.4033e-06
0.371, -6.40328e-06
0.372, -6.40326e-06
0.373, -6.40328e-06
0.374, -6.4033e-06
0.375, -6.40328e-06
0.376, -6.40326e-06
0.377, -6.40328e-06
0.378, -6.4033e-06
0.379, -6.40328e-06
0.38, -6.40326e-06
0.381, -6.40328e-06
0.382, -6.4033e-06
0.383, -6.40328e-06
0.384, -6.40326e-06
0.385, -6.40328e-06
0.386, -6.4033e-06
0.387, -6.40328e-06
0.388, -6.40326e-06
0.389, -6.40328e-06
0.39, -6.4033e-06
0.391, -6.40328e-06
0.392, -6.40326e-06
0.393, -6.40328e-06
0.394, -6.4033e-06
0.395, -6.40328e-06
0.396, -6.40326e-06
0.397, -6.40328e-06
0.398, -6.4033e-06
0.399, -6.40328e-06
0.4, -6.40326e-06
0.401, -6.40328e-06
0.402, -6.4033e-06
0.403, -6.40328e-06
0.404, -6.40326e-06
0.405, -6.40328e-06
0.406, -6.4033e-06
0.407, -6.40328e-06
0.408, -6.40326e-06
0.409, -6.40328e-06
0.41, -6.4033e-06
0.411, -6.40328e-06
0.412, -6.40326e-06
0.413, -6.40328e-06
0.414, -6.4033e-06
0.415, -6.40328e-06
0.416, -6.40326e-06
0.417, -6.40328e-06
0.418, -6.4033e-06
0.419, -6.40328e-06
0.42, -6.40326e-06
0.421, -6.40328e-06
0.422, -6.4033e-06
0.423, -6.40328e-06
0.424, -6.40326e-06
0.425, -6.40328e-06
0.426, -6.4033e-06
0.427, -6.40328e-06
0.428, -6.40326e-06
0.429, -6.40328e-06
0.43, -6.4033e-06
0.431, -6.40328e-06
0.432, -6.40326e-06
0.433, -6.40328e-06
0.434, -6.4033e-06
0.435, -6.40328e-06
0.436, -6.40326e-06
0.437, -6.40328e-06
0.438, -6.4033e-06
0.439, -6.40328e-06
0.44, -6.40326e-06
0.441, -6.40328e-06
0.442, -6.4033e-06
0.443, -6.40328e-06
0.444, -6.40326e-06
0.445, -6.40328e-06
0.446, -6.4033e-06
0.447, -6.40328e-06
0.448, -6.40326e-06
0.449, -6.40328e-06
0.45, -6.4033e-06
0.451, -6.40328e-06
0.452, -6.40326e-06
0.453, -6.40328e-06
0.454, -6.4033e-06
0.455, -6.40328e-06
0.456, -6.40326e-06
0.457, -6.40328e-06
0.458, -6.4033e-06
0.459, -6.40328e-06
0.46, -6.40326e-06
0.461, -6.40328e-06
0.462, -6.4033e-06
0.463, -6.40328e-06
0.464, -6.40326e-06
0.465, -6.40328e-06
0.466, -6.4033e-06
0.467, -6.40328e-06
0.468, -6.40326e-06
0.469, -6.40328e-06
0.47, -6.4033e-06
0.471, -6.40328e-06
0.472, -6.40326e-06
0.473, -6.40328e-06
0.474, -6.4033e-06
0.475, -6.40328e-06
0.476, -6.40326e-06
0.477, -6.40328e-06
0.478, -6.4033e-06
0.479, -6.40328e-06
0.48, -6.40326e-06
0.481, -6.40328e-06
0.482, -6.4033e-06
0.483, -6.40328e-06
0.484, -6.40326e-06
0.485, -6.40328e-06
0.486, -6.4033e-06
0.487, -6.40328e-06
0.488, -6.40326e-06
0.489, -6.40328e-06
0.49, -6.4033e-06
0.491, -6.40328e-06
0.492, -6.40326e-06
0.493, -6.40328e-06
0.494, -6.4033e-06
0.495, -6.40328e-06
0.496, -6.40326e-06
0.497, -6.40328e-06
0.498, -6.4033e-06
0.499, -6.40328e-06
0.5, -6.40326e-06
0.501, -6.40328e-06
0.502, -6.4033e-06
0.503, -6.40328e-06
0.504, -6.40326e-06
0.505, -6.40328e-06
0.506, -6.4033e-06
0.507, -6.40328e-06
0.508, -6.40326e-06
0.509, -6.40328e-06
0.51, -6.4033e-06
0.511, -6.40328e-06
0.512, -6.40326e-06
0.513, -6.40328e-06
0.514, -6.4033e-06
0.515, -6.40328e-06
0.516, -6.40326e-06
0.517, -6.40328e-06
0.518, -6.4033e-06
0.519, -6.40328e-06
0.52, -6.40326e-06
0.521, -6.40328e-06
0.522, -6.4033e-06
0.523, -6.40328e-06
0.524, -6.40326e-06
0.525, -6.40328e-06
0.526, -6.4033e-06
0.527, -6.40328e-06
0.528, -6.40326e-06
0.529, -6.40328e-06
0.53, -6.4033e-06
0.531, -6.40328e-06
0.532, -6.40326e-06
0.533, -6.40328e-06
0.534, -6.4033e-06
0.535, -6.40328e-06
0.536, -6.40326e-06
0.537, -6.40328e-06
0.538, -6.4033e-06
0.539, -6.40328e-06
0.54, -6.40326e-06
0.541, -6.40328e-06
0.542, -6.4033e-06
0.543, -6.40328e-06
0.544, -6.40326e-06
0.545, -6.40328e-06
0.546, -6.4033e-06
0.547, -6.40328e-06
0.548, -6.40326e-06
0.549, -6.40328e-06
0.55, -6.4033e-06
0.551, -6.40328e-06
0.552, -6.40326e-06
0.553, -6.40328e-06
0.554, -6.4033e-06
0.555, -6.40328e-06
0.556, -6.40326e-06
0.557, -6.40328e-06
0.558, -6.4033e-06
0.559, -6.40328e-06
0.56, -6.40326e-06
0.561, -6.40328e-06
0.562, -6.4033e-06
0.563, -6.40328e-06
0.564, -6.40326e-06
0.565, -6.40328e-06
0.566, -6.4033e-06
0.567, -6.40328e-06
0.568, -6.40326e-06
0.569, -6.40328e-06
0.57, -6.4033e-06
0.571, -6.40328e-06
0.572, -6.40326e-06
0.573, -6.40328e-06
0.574, -6.4033e-06
0.575, -6.40328e-06
0.576, -6.40326e-06
0.577, -6.40328e-06
