Time,X Velocity,Y Velocity,Z Velocity,X Position,Y Position,Z Position,Roll,Yaw,Pitch,X Angular Velocity,Y Angular Velocity,Z Angular Velocity,X Force Applied,Y Force Applied,Z Force Applied
0.000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.002001,-0.000007,0.000001,-0.000022,0,0,0,0,0,0,0,-0.000008,0,0,0.000004,0
0.004001,-0.000001,0.000003,0,0,0,0,0,0,0,-0.000004,-0.000001,0,0,0.010004,0
0.006001,-0.000001,0.000008,0.000001,0,0,0,0,0,0,-0.000008,0,-0.000001,0,0.020004,0
0.008001,-0.000001,0.000013,0.000001,0,0,0,0,0,0,-0.000012,0.000001,-0.000001,0,0.030004,0
0.010001,-0.000001,0.000017,0.000001,0,0,0,0,0,0,-0.000016,0.000001,-0.000001,0,0.040004,0
0.012001,-0.000002,0.000022,0.000002,0,0,0,0,0,0,-0.00002,0.000001,-0.000002,0,0.050004,0
0.014001,-0.000002,0.000026,0.000002,0,0,0,0,0,0,-0.000025,0.000002,-0.000002,0,0.060004,0
0.016001,-0.000003,0.000031,0.000002,0,0,0,0,0,0,-0.000029,0.000002,-0.000003,0,0.070004,0
0.018001,-0.000003,0.000035,0.000003,0,0,0,0,0,0,-0.000033,0.000002,-0.000003,0,0.080003,0
0.020001,-0.000003,0.00004,0.000003,0,0,0,0,0,0,-0.000037,0.000002,-0.000003,0,0.090003,0
0.022001,-0.000004,0.000044,0.000003,0,0,0,0,0,0,-0.000042,0.000003,-0.000004,0,0.100003,0
0.024001,-0.000004,0.000049,0.000004,0,0,0,0,0,0,-0.000046,0.000003,-0.000004,0,0.110003,0
0.026001,-0.000004,0.000053,0.000004,0,0,0,0,0,0,-0.00005,0.000003,-0.000005,0,0.120003,0
0.028001,-0.000005,0.000058,0.000005,0,0,0,0,0,0,-0.000054,0.000004,-0.000005,0,0.130003,0
0.030001,-0.000005,0.000063,0.000005,0,0,0,0,0,0,-0.000059,0.000004,-0.000005,0,0.140003,0
0.032,-0.000006,0.000067,0.000005,0,0,0,0,0,0,-0.000063,0.000004,-0.000006,0,0.150003,0
0.034,-0.000006,0.000072,0.000006,0,0,0,0,0,0,-0.000067,0.000005,-0.000006,0,0.160002,0
0.036,-0.000006,0.000076,0.000006,0,0,0,0,0,0,-0.000071,0.000005,-0.000007,0,0.170002,0
0.038,-0.000007,0.000081,0.000006,0,0,0,0,0,0,-0.000076,0.000005,-0.000007,0,0.180002,0
0.04,-0.000505,-0.000279,-0.000282,0,0,0,0,0,0,0.000221,-0.000564,0.000015,0,0.190002,0
0.042,0.000443,-0.000602,-0.000465,0,0,0,0,0,0,0.000698,0.000507,-0.000002,0,0.200002,0
0.044,0.000064,-0.000012,-0.000011,0,0,0,0,0,0,0.000033,0.000051,0.000001,0,0.210002,0
0.046,0.000003,0.000083,0.000005,0,0,0,0,0,0,-0.000074,0.000014,-0.000007,0,0.220002,0
0.048,-0.000007,0.000101,0.000008,0,0,0,0,0,0,-0.000094,0.000008,-0.000009,0,0.230002,0
0.05,-0.000009,0.000108,0.000008,0,0,0,0,0,0,-0.000101,0.000007,-0.000009,0,0.240001,0
0.052,-0.000009,0.000112,0.000009,0,0,0,0,0,0,-0.000105,0.000007,-0.00001,0,0.250001,0
0.054,-0.00001,0.000117,0.000009,0,0,0,0,0,0,-0.00011,0.000007,-0.00001,0,0.260001,0
0.056,-0.00001,0.000121,0.00001,0,0,0,0,0,0,-0.000114,0.000008,-0.00001,0,0.270001,0
0.058,-0.000011,0.000126,0.00001,0,0,0,0,0,0,-0.000118,0.000008,-0.000011,0,0.280001,0
